# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.378621305480550313e-10 -6.268487616238695064e-10 3.316894735122299931e+00 -1.431612185413859040e+00
-1.225654403117453744e-10 2.542627097994048078e-10 -3.768281501111501822e-10 3.074505742831643573e+00 -1.482042531555023412e+00
-5.190905464379474725e-10 8.581307768575964793e-11 -6.049036241237071592e-10 1.165314275658876575e+00 -7.049084363793755692e+00
3.668416608353331481e-10 2.076340176869462633e-11 3.460782590666385153e-10 9.433995535801075194e-01 1.666770517287910280e+01
6.676827973921091955e-10 4.188569718935793159e-12 6.634942276731733781e-10 9.937267071500180959e-01 1.584059171018764971e+02
4.548721662157189054e-10 3.697361936719944215e-10 8.513597254372448386e-11 1.871646120975217764e-01 2.302613971821528271e-01
4.132488493632760591e-10 2.106083986206573203e-10 2.026404507426187388e-10 4.903593828629947970e-01 9.621669984187560809e-01
-2.152952783550507314e-10 7.002698068837050758e-11 -2.853222590434212390e-10 1.325260178594751315e+00 -4.074461817983324075e+00
-5.335946767176399797e-10 1.684567163970147475e-11 -5.504403483573414383e-10 1.031570164348951435e+00 -3.267547653369170746e+01
-6.226714681408482057e-10 3.470283383213918388e-12 -6.261417515240620914e-10 1.005573217275516740e+00 -1.804295737209150161e+02
8.031198942505501301e-10 3.950149298466460432e-10 4.081049644039040869e-10 5.081494896658445004e-01 1.033138075470564798e+00
1.375952790858379807e-09 2.252195955480670788e-10 1.150733195310312754e-09 8.363173525687860321e-01 5.109383100125138633e+00
5.651602840720748566e-10 7.481688457740758873e-11 4.903433994946672291e-10 8.676182904461379186e-01 6.553913628779136857e+00
-2.374520260922235148e-10 1.769809158112400770e-11 -2.551501176733475354e-10 1.074533335732626327e+00 -1.441681531049817977e+01
-8.374678107506620310e-10 3.332432409546380722e-12 -8.408002431602084432e-10 1.003979176711949473e+00 -2.523082661036357877e+02
6.572999554875109925e-10 4.555024090326650185e-10 2.017975464548459739e-10 3.070098282680930879e-01 4.430219082340235426e-01
1.227491330369275912e-10 2.581125632970938213e-10 -1.353634302601662301e-10 -1.102764857976176405e+00 -5.244356513726131652e-01
4.490879128365858179e-11 8.496267285130468994e-11 -4.005388156764610815e-11 -8.918940016588894348e-01 -4.714291608709793580e-01
4.698350655961977071e-10 1.989284375600100513e-11 4.499422218401967214e-10 9.576599423656088073e-01 2.261829567250605777e+01
5.607438834933431508e-10 3.901769250286817017e-12 5.568421142430563524e-10 9.930417979310279808e-01 1.427152859442221313e+02
1.384959292694439189e-09 5.008885086173507469e-10 8.840707840770884418e-10 6.383370173697511252e-01 1.765005123630149608e+00
9.691182099942607598e-10 2.829822841806617145e-10 6.861359258135990453e-10 7.080002405667956689e-01 2.424660355683452284e+00
2.053444597321272276e-10 9.318855547220888977e-11 1.121559042599183378e-10 5.461842233592579809e-01 1.203537319487326673e+00
-4.316390813605022176e-10 2.204673753508685729e-11 -4.536858188955890846e-10 1.051076787267725576e+00 -2.057836531022147497e+01
-1.747211379157624652e-09 4.389834447981729621e-12 -1.751601213605606302e-09 1.002512480459060384e+00 -3.990130457905816002e+02
8.317422204797886697e-10 5.189337852279575277e-10 3.128084352518311420e-10 3.760882008266795418e-01 6.027906529817103065e-01
7.580061027865223463e-10 2.845764889782205383e-10 4.734296138083018080e-10 6.245722983864075983e-01 1.663628697887739927e+00
2.844631494557852492e-10 9.196928205198519232e-11 1.924938674038000698e-10 6.766917534733961626e-01 2.093023486852858550e+00
1.027189637038914156e-09 2.179793304839661291e-11 1.005391703990517492e-09 9.787790566976184436e-01 4.612325864834560463e+01
8.384874061714122242e-10 4.412491324576525804e-12 8.340749148468356919e-10 9.947375580216234470e-01 1.890258480965700869e+02
4.714240855035933585e-10 5.163868902066681950e-10 -4.496280470307483643e-11 -9.537655390484310602e-02 -8.707193299403831466e-02
1.701078596139051774e-10 2.830044567547867400e-10 -1.128965971408815626e-10 -6.636765484976628882e-01 -3.989216227739566523e-01
-2.352330452311193215e-10 9.161938940041718892e-11 -3.268524346315364846e-10 1.389483498419195273e+00 -3.567502869977085656e+00
-6.061980276994505670e-13 2.145696415493058438e-11 -2.206316218263003343e-11 3.639596497263567443e+01 -1.028251807819707375e+00
2.071009717535567680e-10 3.842005898054212867e-12 2.032589658555025478e-10 9.814486341347249398e-01 5.290438673153605009e+01
7.932316545130758828e-10 6.089577861683505235e-10 1.842738683447253593e-10 2.323077593995434009e-01 3.026053242609851313e-01
4.934104617171754979e-10 3.320687589509504493e-10 1.613417027662250486e-10 3.269928695972941224e-01 4.858683583361621539e-01
7.480987540808805037e-10 1.065491850241153887e-10 6.415495690567650891e-10 8.575733692338218805e-01 6.021158856462041520e+00
6.432603244535268608e-10 2.466913808639655332e-11 6.185911863671303430e-10 9.616498373230870644e-01 2.507550868622539042e+01
-1.013339224233582006e-10 4.575497186033369226e-12 -1.059094196093915634e-10 1.045152670266898509e+00 -2.314708441580476617e+01
3.353162618682934715e-10 7.031431116864036300e-10 -3.678268498181101585e-10 -1.096954999345025161e+00 -5.231180448257851667e-01
