# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.385788376832603560e-10 -6.275654687590748311e-10 3.320687104620213326e+00 -1.430906862889494313e+00
-1.225654403117453744e-10 2.558767069459228526e-10 -3.784421472576682270e-10 3.087674195067549920e+00 -1.479001945017404118e+00
-5.190905464379474725e-10 8.645352134294002774e-11 -6.055440677808875131e-10 1.166548055895436642e+00 -7.004273028727678430e+00
3.668416608353331481e-10 2.079346669843192846e-11 3.460481941369012229e-10 9.433175974313189327e-01 1.664215973005585170e+01
6.676827973921091955e-10 4.233437470343761497e-12 6.634493599217654251e-10 9.936595079476675529e-01 1.567164661269680437e+02
4.548721662157189054e-10 3.712781217707730249e-10 8.359404444494588047e-11 1.837748067559319132e-01 2.251520882680957125e-01
4.132488493632760591e-10 2.127946656053430968e-10 2.004541837579329623e-10 4.850689459070193776e-01 9.420075601411115329e-01
-2.152952783550507314e-10 7.093712414197809141e-11 -2.862324024970288228e-10 1.329487598074460708e+00 -4.035015599506754924e+00
-5.335946767176399797e-10 1.684605382151739623e-11 -5.504407305391574179e-10 1.031570880588885242e+00 -3.267475792081832964e+01
-6.226714681408482057e-10 3.356329075878132564e-12 -6.260277972167263322e-10 1.005390208557169540e+00 -1.865215785055092113e+02
8.031198942505501301e-10 3.955745627269785322e-10 4.075453315235715978e-10 5.074526660852822779e-01 1.030261725410425822e+00
1.375952790858379807e-09 2.266924982952293447e-10 1.149260292563150514e-09 8.352468923342867280e-01 5.069688239380686134e+00
5.651602840720748566e-10 7.528500947881625089e-11 4.898752745932586574e-10 8.667899857782378481e-01 6.506943121672849273e+00
-2.374520260922235148e-10 1.745959897493622536e-11 -2.549116250671597272e-10 1.073528953457550728e+00 -1.460008476901977836e+01
-8.374678107506620310e-10 3.049522365576049899e-12 -8.405173331162380446e-10 1.003641360690439743e+00 -2.756226163822431090e+02
6.572999554875109925e-10 4.544700639937775534e-10 2.028298914937334391e-10 3.085804126417399651e-01 4.462997842174936114e-01
1.227491330369275912e-10 2.586931641880988080e-10 -1.359440311511712168e-10 -1.107494837542144506e+00 -5.255029895274879737e-01
4.490879128365858179e-11 8.514836019749728893e-11 -4.023956891383870714e-11 -8.960287677232828818e-01 -4.725818420989561508e-01
4.698350655961977071e-10 1.976544170066577580e-11 4.500696238955319152e-10 9.579311057262521745e-01 2.277053205850551976e+01
5.607438834933431508e-10 3.932517245525870052e-12 5.568113662478173026e-10 9.929869636365413754e-01 1.415915891739105348e+02
