# data theory diff diff_frac
-1.223751890611969187e-10 2.354837244840580764e-11 -1.459235615096027166e-10 1.192427669604087859e+00
-3.844160029037763043e-10 4.090307884062579554e-11 -4.253190817444020805e-10 1.106403163582303506e+00
-3.987478334725143385e-10 4.333751118552620717e-11 -4.420853446580405522e-10 1.108684004143970947e+00
-1.847084910398366460e-10 3.301100520311598570e-11 -2.177194962429526317e-10 1.178719478553892808e+00
-7.554481973658228739e-11 1.975246382860985761e-11 -9.529728356519214176e-11 1.261466820590542826e+00
2.432920031015911630e-10 2.410169086759812349e-11 2.191903122339930266e-10 9.009351291438295606e-01
3.016535445510622607e-10 4.430559298551794373e-11 2.573479515655443235e-10 8.531242420789186820e-01
3.966344817317361189e-10 5.011888813864333693e-11 3.465155935930927820e-10 8.736396091438634048e-01
3.845865521925598789e-10 4.065239418595271768e-11 3.439341580066071612e-10 8.942958510790612880e-01
2.559522092791161302e-10 2.557052696009146529e-11 2.303816823190246520e-10 9.000964788227056035e-01
1.143328895332927644e-10 1.595104398606400894e-11 9.838184554722875223e-11 8.604859542063860722e-01
2.297124845314896128e-10 3.225221839263941042e-11 1.974602661388501959e-10 8.595974508811766723e-01
5.507183821619248917e-10 4.011132868019085211e-11 5.106070534817340460e-10 9.271654443007186774e-01
9.207533493957056672e-10 3.522259635019262655e-11 8.855307530455130341e-10 9.617458938668977941e-01
1.019227766774279538e-09 2.346332313532103989e-11 9.957644436389583982e-10 9.769793132602936359e-01
1.689250290239560018e-10 1.118522750344846121e-11 1.577398015205075341e-10 9.337858482660835735e-01
2.585656158284657158e-10 2.522176114062395139e-11 2.333438546878417870e-10 9.024550845254063480e-01
4.063660238169919185e-10 3.435963450659039073e-11 3.720063893104015342e-10 9.154465863463419062e-01
4.159879621584125085e-10 3.224071257431723200e-11 3.837472495840952895e-10 9.224960443397647314e-01
3.205652640513668472e-10 2.242753025939304743e-11 2.981377337919738095e-10 9.300375531149274178e-01
2.042070151772417225e-10 1.141395455088645090e-11 1.927930606263552700e-10 9.441059625646077702e-01
3.693692769340349337e-10 2.514034104411710248e-11 3.442289358899178377e-10 9.319371084330685395e-01
5.788546665938469869e-10 3.384259588674512101e-11 5.450120707071018853e-10 9.415352456500264422e-01
9.019672089934667974e-10 3.169692843065068829e-11 8.702702805628161091e-10 9.648580035786198383e-01
1.058103635684731691e-09 2.215376515292362752e-11 1.035949870531808028e-09 9.790627643590060769e-01
5.813869431833552791e-10 1.596068614312432930e-10 4.217800817521119602e-10 7.254722292913495796e-01
6.399253854988849307e-10 2.662908457841750357e-10 3.736345397147098950e-10 5.838720391181621006e-01
6.588788168647590581e-10 2.668222165159711766e-10 3.920566003487878815e-10 5.950359767435976499e-01
7.047942036513303181e-10 1.899357819709438595e-10 5.148584216803864069e-10 7.305088762266448432e-01
6.385909446357404041e-10 1.056656039949180906e-10 5.329253406408222618e-10 8.345331939287190526e-01
4.037284440388027498e-10 1.974274463231643912e-10 2.063009977156383586e-10 5.109895048559188746e-01
3.567957787563106508e-10 3.292906160134127865e-10 2.750516274289786429e-11 7.708937263432066866e-02
2.209600246600226293e-10 3.294431764590877473e-10 -1.084831517990651180e-10 -4.909627973022783753e-01
2.864821594032062829e-10 2.336830267430845619e-10 5.279913266012172097e-11 1.843016429718059290e-01
2.492912371964653566e-10 1.292229702249816651e-10 1.200682669714836915e-10 4.816385378073213541e-01
4.783565003658931193e-10 2.279046350475833867e-10 2.504518653183097326e-10 5.235673919487663364e-01
5.532993793957984026e-10 3.828736226250122703e-10 1.704257567707861323e-10 3.080172563303625322e-01
5.258686106614813186e-10 3.860778575001811981e-10 1.397907531613001205e-10 2.658282892859105684e-01
