# data theory diff diff_frac
-1.223751890611969187e-10 -6.216184484719418016e-10 4.992432594107449346e-10 -4.079611751701444078e+00
-3.844160029037763043e-10 1.008980131440276671e-09 -1.393396134344053027e-09 3.624708971059240614e+00
-3.987478334725143385e-10 -1.235841835598775315e-09 8.370940021262610277e-10 -2.099306709296420159e+00
-1.847084910398366460e-10 1.438187853366164055e-09 -1.622896344406000778e-09 8.786257390062191419e+00
-7.554481973658228739e-11 -1.563933851455347756e-09 1.488389031718765391e-09 -1.970206609677061493e+01
2.432920031015911630e-10 -7.859353744800305977e-10 1.029227377581621761e-09 4.230420089688885277e+00
3.016535445510622607e-10 1.253709330786901176e-09 -9.520557862358389153e-10 -3.156123319063735000e+00
3.966344817317361189e-10 -1.569873944160828551e-09 1.966508425892564670e-09 4.957986550505241397e+00
3.845865521925598789e-10 1.786134340529670021e-09 -1.401547788337110194e-09 -3.644297441880819388e+00
2.559522092791161302e-10 -1.977715620746551183e-09 2.233667830025667261e-09 8.726894119479352341e+00
1.143328895332927644e-10 -8.092363225095920852e-10 9.235692120428847979e-10 8.077896183791885676e+00
2.297124845314896128e-10 1.272781564495067722e-09 -1.043069079963578032e-09 -4.540759210762840503e+00
5.507183821619248917e-10 -1.622115088659623326e-09 2.172833470821548114e-09 3.945452959626615463e+00
9.207533493957056672e-10 1.813162735004872979e-09 -8.924093856091673114e-10 -9.692165509849726135e-01
1.019227766774279538e-09 -2.035672710199590553e-09 3.054900476973870091e-09 2.997269674708945786e+00
1.689250290239560018e-10 -8.404917918837170799e-10 1.009416820907673056e-09 5.975531433915119983e+00
2.585656158284657158e-10 1.311166980233214186e-09 -1.052601364404748470e-09 -4.070925521292250160e+00
4.063660238169919185e-10 -1.689345981826545946e-09 2.095712005643537968e-09 5.157202824090794557e+00
4.159879621584125085e-10 1.866062079740975243e-09 -1.450074117582562683e-09 -3.485855960972157774e+00
3.205652640513668472e-10 -2.116409670127871073e-09 2.436974934179237765e-09 7.602117906913148815e+00
2.042070151772417225e-10 -8.527371025386006529e-10 1.056944117715842298e-09 5.175846269524416066e+00
3.693692769340349337e-10 1.332052246432253241e-09 -9.626829694982182037e-10 -2.606288691601554852e+00
5.788546665938469869e-10 -1.715949217744397680e-09 2.294803884338244564e-09 3.964386946798845290e+00
9.019672089934667974e-10 1.892553852569689958e-09 -9.905866435762230576e-10 -1.098251281974706561e+00
1.058103635684731691e-09 -2.151863600372296996e-09 3.209967236057028481e-09 3.033698333320402174e+00
5.813869431833552791e-10 -1.355678373254053250e-09 1.937065316437408426e-09 3.331800514526700230e+00
6.399253854988849307e-10 2.294125441005216941e-09 -1.654200055506332010e-09 -2.584988958074729393e+00
6.588788168647590581e-10 -2.658054369144390188e-09 3.316933186009149246e-09 5.034208265781870750e+00
7.047942036513303181e-10 3.284624233667790181e-09 -2.579830030016459759e-09 -3.660401882778154814e+00
6.385909446357404041e-10 -3.389898092758567540e-09 4.028489037394307738e-09 6.308403010149485013e+00
4.037284440388027498e-10 -1.503019243059391159e-09 1.906747687098193858e-09 4.722847040509571492e+00
3.567957787563106508e-10 2.560137279130771412e-09 -2.203341500374460968e-09 -6.175357533810202249e+00
2.209600246600226293e-10 -2.934700274260952477e-09 3.155660298920975080e-09 1.428158918689655366e+01
2.864821594032062829e-10 3.676478387436824296e-09 -3.389996228033618013e-09 -1.183318442968870343e+01
2.492912371964653566e-10 -3.741540743031548986e-09 3.990831980228014498e-09 1.600871344339655522e+01
4.783565003658931193e-10 -1.665250666276042498e-09 2.143607166641935618e-09 4.481191673996900882e+00
5.532993793957984026e-10 2.826735952828570215e-09 -2.273436573432772020e-09 -4.108872444273043101e+00
5.258686106614813186e-10 -3.241959464520643288e-09 3.767828075182124917e-09 7.164960978451703433e+00
6.296552018376762313e-10 4.078025528836996850e-09 -3.448370326999320619e-09 -5.476601030111560853e+00
7.194801456597276229e-10 -4.116413176148881114e-09 4.835893321808608737e-09 6.721371466580685627e+00
3.836160435032663905e-10 -1.721757840314980815e-09 2.105373883818247154e-09 5.488232099448991264e+00
3.986342514158669681e-10 2.915933045519528671e-09 -2.517298794103661806e-09 -6.314808085764666679e+00
3.311006001129592253e-10 -3.349953486856949039e-09 3.681054086969908420e-09 1.111763036887903411e+01
3.532151553244417146e-10 4.213150423303149614e-09 -3.859935267978708106e-09 -1.092800014323623436e+01
3.311161335821406603e-10 -4.245931019193095686e-09 4.577047152775235985e-09 1.382308709412312098e+01
4.270169184447948488e-10 -1.759145172298627038e-09 2.186162090743421783e-09 5.119614695140120020e+00
4.861424270527550717e-10 3.313670391215642903e-09 -2.827527964162887831e-09 -5.816254263806625247e+00
3.972518380854153803e-10 -3.363589127061183636e-09 3.760840965146598810e-09 9.467145534863350420e+00
4.339548998200543503e-10 4.714221011624656376e-09 -4.280266111804601612e-09 -9.863389291328374497e+00
4.314994933028632835e-10 -4.457479763840013488e-09 4.888979257142876617e-09 1.133020857039888263e+01
5.955679530658226314e-10 -2.023295424687610302e-09 2.618863377753432829e-09 4.397253687462921334e+00
5.860386037689289781e-10 4.042247784921829501e-09 -3.456209181152900419e-09 -5.897579372630646688e+00
4.560033396327038563e-10 -3.812794415248310877e-09 4.268797754881015043e-09 9.361330025169104729e+00
3.862612306772576598e-10 5.726170639133507881e-09 -5.339909408456250273e-09 -1.382460621039660076e+01
3.172924875405456166e-10 -5.177663260926512732e-09 5.494955748467058659e-09 1.731826615581271511e+01
7.951995715020861165e-10 -2.118671233190602283e-09 2.913870804692688503e-09 3.664326427123891339e+00
9.344857620487649518e-10 4.289033814863895868e-09 -3.354548052815130916e-09 -3.589726231313172367e+00
8.224298184586634380e-10 -3.973302283429179948e-09 4.795732101887843075e-09 5.831174884776972434e+00
