# data theory diff diff_frac
-1.889866310758144751e-10 4.612650282946465547e-11 -2.351131339052791241e-10 1.244072835030116009e+00
-1.225654403117453744e-10 2.239079790859748090e-11 -1.449562382203428682e-10 1.182684432509249373e+00
-5.190905464379474725e-10 7.413150072519437425e-12 -5.265036965104668614e-10 1.014281034635265755e+00
3.668416608353331481e-10 1.761100863998742149e-12 3.650805599713344254e-10 9.951992888158107675e-01
6.676827973921091955e-10 3.418421590624562073e-13 6.673409552330467718e-10 9.994880171237036093e-01
4.548721662157189054e-10 5.467263678156837440e-11 4.001995294341505568e-10 8.798065899779843324e-01
4.132488493632760591e-10 2.776067693609696260e-11 3.854881724271791094e-10 9.328233412413127201e-01
-2.152952783550507314e-10 9.445212584791490564e-12 -2.247404909398422268e-10 1.043870969474839372e+00
-5.335946767176399797e-10 2.265832450161425074e-12 -5.358605091678014468e-10 1.004246355050053330e+00
-6.226714681408482057e-10 4.402330106171703240e-13 -6.231117011514653525e-10 1.000707006877850969e+00
8.031198942505501301e-10 4.731182727844231050e-11 7.558080669721078325e-10 9.410899572814188652e-01
1.375952790858379807e-09 2.482836313513295687e-11 1.351124427723246854e-09 9.819555123547196729e-01
5.651602840720748566e-10 8.725208324573535867e-12 5.564350757475012771e-10 9.845615331252455249e-01
-2.374520260922235148e-10 2.087009675088416463e-12 -2.395390357673119418e-10 1.008789184533122718e+00
-8.374678107506620310e-10 3.779897889052757224e-13 -8.378458005395672893e-10 1.000451348438773369e+00
6.572999554875109925e-10 4.338738285852765503e-11 6.139125726289833439e-10 9.339915019066937774e-01
1.227491330369275912e-10 2.324282942501104042e-11 9.950630361191654430e-11 8.106477100899871502e-01
4.490879128365858179e-11 8.308191665047602502e-12 3.660059961861098090e-11 8.149985464411555469e-01
4.698350655961977071e-10 1.972653628214664737e-12 4.678624119679830925e-10 9.958013912271289625e-01
5.607438834933431508e-10 3.668845012957631526e-13 5.603769989920473959e-10 9.993457182287747154e-01
1.384959292694439189e-09 4.313628610081086715e-11 1.341823006593628250e-09 9.688537516385126169e-01
9.691182099942607598e-10 2.295147891956352874e-11 9.461667310746972085e-10 9.763171523526531503e-01
