# data theory diff diff_frac
-1.223751890611969187e-10 2.345902963222476050e-11 -1.458342186934216760e-10 1.191697596646763557e+00
-3.844160029037763043e-10 4.074798451133708341e-11 -4.251639874151133683e-10 1.105999709178435930e+00
-3.987478334725143385e-10 4.317253793974681617e-11 -4.419203714122611288e-10 1.108270275887837997e+00
-1.847084910398366460e-10 3.288381455691398310e-11 -2.175923055967506355e-10 1.178030876500538504e+00
-7.554481973658228739e-11 1.967459912658738514e-11 -9.521941886316967252e-11 1.260436111902720313e+00
2.432920031015911630e-10 2.410482484482701384e-11 2.191871782567641588e-10 9.009222475974206779e-01
3.016535445510622607e-10 4.429469981968872920e-11 2.573588447313735121e-10 8.531603535916987280e-01
3.966344817317361189e-10 5.008424137797726197e-11 3.465502403537588763e-10 8.737269610062502467e-01
3.845865521925598789e-10 4.060551556278779897e-11 3.439810366297720864e-10 8.944177446369552253e-01
2.559522092791161302e-10 2.552972234897674621e-11 2.304224869301393873e-10 9.002559015963149669e-01
1.143328895332927644e-10 1.606101741192978930e-11 9.827187212136297832e-11 8.595240837742235129e-01
2.297124845314896128e-10 3.240902862223534762e-11 1.973034559092542652e-10 8.589148139321411968e-01
5.507183821619248917e-10 4.023122617295627645e-11 5.104871559889686669e-10 9.269477332225180000e-01
9.207533493957056672e-10 3.527524259579266874e-11 8.854781067999130243e-10 9.616887165070385768e-01
1.019227766774279538e-09 2.347256310959271064e-11 9.957552036646868082e-10 9.769702475984536338e-01
1.689250290239560018e-10 1.139058875435057857e-11 1.575344402696054345e-10 9.325701536346326925e-01
2.585656158284657158e-10 2.552551569706145462e-11 2.330401001314042418e-10 9.012803167378786728e-01
4.063660238169919185e-10 3.461140878335623705e-11 3.717546150336356620e-10 9.148270112293058753e-01
4.159879621584125085e-10 3.237562093428756479e-11 3.836123412241249567e-10 9.221717360129796370e-01
3.205652640513668472e-10 2.247690904797877171e-11 2.980883550033880949e-10 9.298835164986026802e-01
2.042070151772417225e-10 1.165138469353437936e-11 1.925556304837073335e-10 9.429432691946377787e-01
3.693692769340349337e-10 2.549179922975125884e-11 3.438774777042836651e-10 9.309855994484786956e-01
5.788546665938469869e-10 3.413533558946871137e-11 5.447193310043782820e-10 9.410295233683937388e-01
9.019672089934667974e-10 3.185640877484701608e-11 8.701108002186197555e-10 9.646811896738500813e-01
1.058103635684731691e-09 2.221511881385872784e-11 1.035888516870872989e-09 9.790047798111168875e-01
5.813869431833552791e-10 1.590953876811229841e-10 4.222915555022323208e-10 7.263519768607047400e-01
6.399253854988849307e-10 2.653971241103014875e-10 3.745282613885834432e-10 5.852686420567637660e-01
6.588788168647590581e-10 2.658643192301956973e-10 3.930144976345633608e-10 5.964898059778316330e-01
7.047942036513303181e-10 1.891926458586664832e-10 5.156015577926638608e-10 7.315632777929851338e-01
6.385909446357404041e-10 1.052099824237415382e-10 5.333809622119988401e-10 8.352466734651952107e-01
4.037284440388027498e-10 1.969149385634824795e-10 2.068135054753202703e-10 5.122589416945891871e-01
3.567957787563106508e-10 3.283620170354894720e-10 2.843376172082117885e-11 7.969197903611204004e-02
2.209600246600226293e-10 3.284061070761230681e-10 -1.074460824161004388e-10 -4.862693266866756070e-01
2.864821594032062829e-10 2.328474794426636639e-10 5.363467996054261905e-11 1.872182200534695529e-01
2.492912371964653566e-10 1.286965364557337329e-10 1.205947007407316237e-10 4.837502597240971314e-01
4.783565003658931193e-10 2.274533386829557548e-10 2.509031616829373646e-10 5.245108229762164287e-01
5.532993793957984026e-10 3.819979932550275867e-10 1.713013861407708159e-10 3.095998161570893692e-01
5.258686106614813186e-10 3.850303187432836671e-10 1.408382919181976515e-10 2.678203054200925526e-01
6.296552018376762313e-10 2.747711086021378726e-10 3.548840932355383587e-10 5.636165510898561992e-01
7.194801456597276229e-10 1.524019622418139156e-10 5.670781834179137332e-10 7.881776680549414937e-01
3.836160435032663905e-10 2.361749217702863684e-10 1.474411217329800221e-10 3.843455565270814667e-01
3.986342514158669681e-10 3.977256587339469082e-10 9.085926819200599187e-13 2.279263958610995826e-03
3.311006001129592253e-10 4.021429473402452307e-10 -7.104234722728600542e-11 -2.145642357732030492e-01
3.532151553244417146e-10 2.878354202881324728e-10 6.537973503630924183e-11 1.850988952505603635e-01
3.311161335821406603e-10 1.600191954544132343e-10 1.710969381277274260e-10 5.167278811718881704e-01
4.270169184447948488e-10 3.844754023832995420e-10 4.254151606149530676e-11 9.962489593253695541e-02
4.861424270527550717e-10 6.141492493961531511e-10 -1.280068223433980794e-10 -2.633113573720383682e-01
3.972518380854153803e-10 5.799926621249755431e-10 -1.827408240395601627e-10 -4.600125324033567109e-01
4.339548998200543503e-10 3.852980149362027659e-10 4.865688488385158436e-11 1.121242896532055749e-01
4.314994933028632835e-10 2.005428947172292224e-10 2.309565985856340611e-10 5.352418766886684054e-01
5.955679530658226314e-10 5.569747268671507985e-10 3.859322619867183284e-11 6.480070997776886388e-02
5.860386037689289781e-10 8.790054472706310712e-10 -2.929668435017020931e-10 -4.999104864723500907e-01
4.560033396327038563e-10 8.157706857997723115e-10 -3.597673461670684551e-10 -7.889577003029178970e-01
3.862612306772576598e-10 5.302857553236704459e-10 -1.440245246464127860e-10 -3.728681866256288724e-01
3.172924875405456166e-10 2.700104108655983416e-10 4.728207667494727502e-11 1.490173216562692138e-01
7.951995715020861165e-10 6.127964515763705000e-10 1.824031199257156166e-10 2.293803045959477149e-01
9.344857620487649518e-10 9.662436188449617619e-10 -3.175785679619681006e-11 -3.398431317623389070e-02
8.224298184586634380e-10 8.953028173217355351e-10 -7.287299886307209711e-11 -8.860695128934555076e-02
7.185779071383472777e-10 5.806050251067985194e-10 1.379728820315487582e-10 1.920082438674042546e-01
6.184403392499368687e-10 2.948477509809548084e-10 3.235925882689820603e-10 5.232397819674002859e-01
