# data theory diff diff_frac
-1.223751890611969187e-10 2.378057113603942014e-11 -1.461557601972363291e-10 1.194325102322393972e+00
-3.844160029037763043e-10 4.130662749112496497e-11 -4.257226303949012822e-10 1.107452934266798694e+00
-3.987478334725143385e-10 4.376458030057475832e-11 -4.425124137730890710e-10 1.109755029687431227e+00
-1.847084910398366460e-10 3.333487280349773131e-11 -2.180433638433343773e-10 1.180472877104000062e+00
-7.554481973658228739e-11 1.994450871722032623e-11 -9.548932845380261685e-11 1.264008952390977436e+00
2.432920031015911630e-10 2.444267117356340373e-11 2.188493319280277657e-10 8.995336021654731784e-01
3.016535445510622607e-10 4.491412557280953936e-11 2.567394189782527407e-10 8.511069192319512533e-01
3.966344817317361189e-10 5.078280074196268755e-11 3.458516809897734443e-10 8.719657440769115198e-01
3.845865521925598789e-10 4.117039629973690914e-11 3.434161558928229504e-10 8.929489446133228592e-01
2.559522092791161302e-10 2.588405826175946179e-11 2.300681510173566652e-10 8.988715184969047201e-01
1.143328895332927644e-10 1.629411479542767179e-11 9.803877473786509583e-11 8.574853232351574706e-01
2.297124845314896128e-10 3.287424315669081889e-11 1.968382413747987939e-10 8.568896104025885974e-01
5.507183821619248917e-10 4.080280466413948211e-11 5.099155774977854613e-10 9.259098552258921977e-01
9.207533493957056672e-10 3.577226747236475843e-11 8.849810819233409540e-10 9.611489140975243428e-01
1.019227766774279538e-09 2.380129120691237693e-11 9.954264755673671710e-10 9.766477209679634841e-01
1.689250290239560018e-10 1.156505293734108394e-11 1.573599760866149081e-10 9.315373630292465013e-01
2.585656158284657158e-10 2.590472314383289366e-11 2.326608926846328092e-10 8.998137356321256330e-01
4.063660238169919185e-10 3.511350016546362604e-11 3.712525236515283183e-10 9.135914468546291189e-01
4.159879621584125085e-10 3.283763093478685994e-11 3.831503312236256227e-10 9.210611029117184989e-01
3.205652640513668472e-10 2.279428915952147460e-11 2.977709748918453564e-10 9.288934525486548521e-01
2.042070151772417225e-10 1.183146025442004515e-11 1.923755549228216822e-10 9.420614407191109096e-01
3.693692769340349337e-10 2.587360473205742687e-11 3.434956722019774842e-10 9.299519306347772130e-01
5.788546665938469869e-10 3.463358003792368445e-11 5.442210865559233024e-10 9.401687814979224900e-01
9.019672089934667974e-10 3.231295664034997704e-11 8.696542523531167751e-10 9.641750206458069572e-01
1.058103635684731691e-09 2.252974494431338705e-11 1.035573890740418395e-09 9.787074307426100184e-01
5.813869431833552791e-10 1.612815800039497538e-10 4.201053631794054994e-10 7.225916716999860601e-01
6.399253854988849307e-10 2.690424667616583931e-10 3.708829187372265376e-10 5.795721300352645322e-01
6.588788168647590581e-10 2.695139012933602035e-10 3.893649155713988546e-10 5.909507266057995034e-01
7.047942036513303181e-10 1.917878863500758362e-10 5.130063173012545078e-10 7.278810107170582411e-01
6.385909446357404041e-10 1.066521259673256170e-10 5.319388186684148259e-10 8.329883521474593655e-01
4.037284440388027498e-10 1.996288070621628065e-10 2.040996369766399433e-10 5.055369270861275188e-01
3.567957787563106508e-10 3.328839269609285797e-10 2.391185179538207114e-11 6.701831473099831293e-02
2.209600246600226293e-10 3.329239128545331574e-10 -1.119638881945105282e-10 -5.067155851687759061e-01
2.864821594032062829e-10 2.360469158434913585e-10 5.043524355971492439e-11 1.760502073315161342e-01
2.492912371964653566e-10 1.304629011307441890e-10 1.188283360657211676e-10 4.766647131365995826e-01
4.783565003658931193e-10 2.305972143979008531e-10 2.477592859679922921e-10 5.179385788182707673e-01
5.532993793957984026e-10 3.872716892474839962e-10 1.660276901483144065e-10 3.000684553986238678e-01
5.258686106614813186e-10 3.903377532019980821e-10 1.355308574594832364e-10 2.577276047889628385e-01
6.296552018376762313e-10 2.785523989038006839e-10 3.511028029338755474e-10 5.576112162802223660e-01
7.194801456597276229e-10 1.544961658747794147e-10 5.649839797849482341e-10 7.852669503018543384e-01
3.836160435032663905e-10 2.394434976431513811e-10 1.441725458601150094e-10 3.758251207209675204e-01
3.986342514158669681e-10 4.032224812476415988e-10 -4.588229831774630653e-12 -1.150987356324294913e-02
3.311006001129592253e-10 4.076911821846682143e-10 -7.659058207170898900e-11 -2.313211816758384831e-01
3.532151553244417146e-10 2.917992451742266874e-10 6.141591015021502724e-11 1.738767695112123646e-01
3.311161335821406603e-10 1.622193046612886832e-10 1.688968289208519772e-10 5.100833568381631933e-01
4.270169184447948488e-10 3.897598418701885360e-10 3.725707657460631277e-11 8.724964975696376801e-02
4.861424270527550717e-10 6.225848494598802491e-10 -1.364424224071251774e-10 -2.806634739418017443e-01
