# data theory diff diff_frac
-1.223751890611969187e-10 1.482835920700989911e-09 -1.605211109762186881e-09 1.311712874216242497e+01
-3.844160029037763043e-10 2.576040870934695974e-09 -2.960456873838472330e-09 7.701180105604262138e+00
-3.987478334725143385e-10 2.725611533884878202e-09 -3.124359367357392489e-09 7.835426565578454294e+00
-1.847084910398366460e-10 2.067913131880179290e-09 -2.252621622920016014e-09 1.219554991889455842e+01
-7.554481973658228739e-11 1.228256147540737723e-09 -1.303800967277320088e-09 1.725864158288486294e+01
2.432920031015911630e-10 2.584457176742041456e-09 -2.341165173640450293e-09 -9.622861186534160893e+00
3.016535445510622607e-10 4.418875142272745536e-09 -4.117221597721683275e-09 -1.364884209747697064e+01
3.966344817317361189e-10 4.577882012348897610e-09 -4.181247530617161284e-09 -1.054181550822691626e+01
3.845865521925598789e-10 3.390239393649598660e-09 -3.005652841457038626e-09 -7.815283255021690856e+00
2.559522092791161302e-10 1.965192769420831759e-09 -1.709240560141715681e-09 -6.677967597762703100e+00
1.143328895332927644e-10 3.130058383424128275e-09 -3.015725493890835355e-09 -2.637671020299615421e+01
2.297124845314896128e-10 5.302559066251030658e-09 -5.072846581719540967e-09 -2.208346051398064702e+01
5.507183821619248917e-10 5.428737128752625953e-09 -4.878018746590700751e-09 -8.857555702864557290e+00
9.207533493957056672e-10 3.968758608475715888e-09 -3.048005259080010221e-09 -3.310338497362435906e+00
1.019227766774279538e-09 2.273178439529071479e-09 -1.253950672754791941e-09 -1.230294850309444854e+00
1.689250290239560018e-10 3.726381344404304851e-09 -3.557456315380348876e-09 -2.105937963092402399e+01
2.585656158284657158e-10 6.262498408836887263e-09 -6.003932793008421754e-09 -2.322015158036895954e+01
4.063660238169919185e-10 6.345996414014747303e-09 -5.939630390197755281e-09 -1.461645423602807092e+01
4.159879621584125085e-10 4.587505790055897633e-09 -4.171517827897485280e-09 -1.002797726706555004e+01
3.205652640513668472e-10 2.600339712981514500e-09 -2.279774448930147807e-09 -7.111732631657934789e+00
2.042070151772417225e-10 3.965329358789886916e-09 -3.761122343612645168e-09 -1.841818382364667883e+01
3.693692769340349337e-10 6.640621016190732531e-09 -6.271251739256697701e-09 -1.697827115268352571e+01
5.788546665938469869e-10 6.699393167576824254e-09 -6.120538500982977577e-09 -1.057353227710514432e+01
9.019672089934667974e-10 4.820265271241293040e-09 -3.918298062247826552e-09 -4.344169081956290590e+00
1.058103635684731691e-09 2.720987622648005604e-09 -1.662883986963273912e-09 -1.571570053142450574e+00
5.813869431833552791e-10 5.410110418807685584e-09 -4.828723475624329995e-09 -8.305524457059346943e+00
6.399253854988849307e-10 9.052432694479735290e-09 -8.412507308980849532e-09 -1.314607530754928710e+01
6.588788168647590581e-10 9.108109485981900585e-09 -8.449230669117141527e-09 -1.282364898195144676e+01
7.047942036513303181e-10 6.517898815764600880e-09 -5.813104612113270872e-09 -8.247946112492547499e+00
6.385909446357404041e-10 3.648313360410356717e-09 -3.009722415774616520e-09 -4.713067795678494321e+00
4.037284440388027498e-10 7.081464539789598368e-09 -6.677736095750795256e-09 -1.654016751692875786e+01
3.567957787563106508e-10 1.171389262550227149e-08 -1.135709684674596146e-08 -3.183080496729415998e+01
2.209600246600226293e-10 1.160636106876713986e-08 -1.138540104410711767e-08 -5.152697218252542655e+01
2.864821594032062829e-10 8.160372650372246614e-09 -7.873890490969040331e-09 -2.748474986146350574e+01
2.492912371964653566e-10 4.490100828208500718e-09 -4.240809591012035207e-09 -1.701146674349356047e+01
4.783565003658931193e-10 8.807866507419455054e-09 -8.329510007053562762e-09 -1.741276642145000864e+01
5.532993793957984026e-10 1.446243576491009747e-08 -1.390913638551429844e-08 -2.513853603216226773e+01
5.258686106614813186e-10 1.418635641527765192e-08 -1.366048780461617030e-08 -2.597699791861102270e+01
6.296552018376762313e-10 9.857352935088548473e-09 -9.227697733250871829e-09 -1.465516000871497937e+01
7.194801456597276229e-10 5.360683908171726518e-09 -4.641203762511998895e-09 -6.450773924075758003e+00
3.836160435032663905e-10 9.470150851261360146e-09 -9.086534807758093394e-09 -2.368653491334161032e+01
3.986342514158669681e-10 1.550989191098144619e-08 -1.511125765956557850e-08 -3.790757469006613434e+01
3.311006001129592253e-10 1.516096984341704561e-08 -1.482986924330408705e-08 -4.478961753087939712e+01
3.532151553244417146e-10 1.049206834053123544e-08 -1.013885318520679310e-08 -2.870446817576065257e+01
3.311161335821406603e-10 5.683463131310629032e-09 -5.352346997728488734e-09 -1.616456117623975786e+01
4.270169184447948488e-10 1.039879339115626432e-08 -9.971776472711470195e-09 -2.335218124150420849e+01
4.861424270527550717e-10 1.685203142385927472e-08 -1.636588899680652048e-08 -3.366480291799450697e+01
3.972518380854153803e-10 1.624283707934694581e-08 -1.584558524126153105e-08 -3.988800987713612756e+01
4.339548998200543503e-10 1.106382663209435133e-08 -1.062987173227429657e-08 -2.449533750323391956e+01
4.314994933028632835e-10 5.907604723530663368e-09 -5.476105230227800240e-09 -1.269087290998091788e+01
5.955679530658226314e-10 1.402280992474486138e-08 -1.342724197167903926e-08 -2.254527279810680085e+01
5.860386037689289781e-10 2.242653035407868327e-08 -2.184049175030975542e-08 -3.726800864285949189e+01
4.560033396327038563e-10 2.122513669287237197e-08 -2.076913335323966698e-08 -4.554601150502217877e+01
3.862612306772576598e-10 1.414792682679287654e-08 -1.376166559611561810e-08 -3.562787176954407187e+01
3.172924875405456166e-10 7.395282345334870142e-09 -7.077989857794324215e-09 -2.230746120924106179e+01
7.951995715020861165e-10 1.552014263675286063e-08 -1.472494306525077400e-08 -1.851729250486919298e+01
9.344857620487649518e-10 2.470726574661481826e-08 -2.377277998456605372e-08 -2.543942449422306140e+01
8.224298184586634380e-10 2.323483412670408446e-08 -2.241240430824541968e-08 -2.725144906619397034e+01
7.185779071383472777e-10 1.536970619176021930e-08 -1.465112828462187150e-08 -2.038906030797451407e+01
6.184403392499368687e-10 7.973615194291670161e-09 -7.355174855041733499e-09 -1.189310332499059086e+01
9.834593532304424539e-10 2.045076224318014742e-08 -1.946730288994970641e-08 -1.979472036744986241e+01
9.837631843821504121e-10 3.205502367553630621e-08 -3.107126049115415642e-08 -3.158408546327983402e+01
6.077260774606390035e-10 2.949722933698831216e-08 -2.888950325952767202e-08 -4.753704725036877932e+01
1.973227230955908512e-10 1.900521115278362233e-08 -1.880788842968803122e-08 -9.531537034676311748e+01
-1.589247280147989279e-10 9.599426312268626077e-09 -9.758351040283424333e-09 6.140234538815592913e+01
1.316260416306449731e-09 2.346734424665382515e-08 -2.215108383034737521e-08 -1.682880040752527862e+01
1.575438175835238518e-09 3.648346452097968330e-08 -3.490802634514444478e-08 -2.215766183692832669e+01
1.279007265785400783e-09 3.318613690988747760e-08 -3.190712964410207806e-08 -2.494679310872315270e+01
8.958808550711044409e-10 2.107987835876888304e-08 -2.018399750369778005e-08 -2.252977880869639904e+01
5.324071257016447241e-10 1.049281005326615232e-08 -9.960402927564507388e-09 -1.870824496279603011e+01
1.873464116877816716e-09 2.772068477013173494e-08 -2.584722065325391822e-08 -1.379648556937886461e+01
2.010364346276874761e-09 4.257404240496725420e-08 -4.056367805869037861e-08 -2.017727688705428335e+01
1.356284587593224505e-09 3.806744719679193844e-08 -3.671116260919871083e-08 -2.706744804521002479e+01
7.108314526429422101e-10 2.367984836388410557e-08 -2.296901691124116201e-08 -3.231288771176355112e+01
3.859665783837698134e-10 1.154508026120420946e-08 -1.115911368282044042e-08 -2.891212428171653670e+01
