# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 3.610167422150841531e-11 -2.250883052973228775e-10 1.191027661671082649e+00 -6.234843955331613508e+00
-1.225654403117453744e-10 2.019113603287641951e-11 -1.427565763446217907e-10 1.164737596352774851e+00 -7.070259747256269378e+00
-5.190905464379474725e-10 6.656391088090236074e-12 -5.257469375260377069e-10 1.012823179180909916e+00 -7.898378123645947824e+01
3.668416608353331481e-10 1.591451218746427882e-12 3.652502096165867003e-10 9.956617489542420874e-01 2.295076376291892188e+02
6.676827973921091955e-10 3.096384195538471191e-13 6.673731589725552971e-10 9.995362492177972680e-01 2.155330594743902566e+03
4.548721662157189054e-10 4.376576661797388516e-11 4.111063995977449944e-10 9.037844698608830107e-01 9.393332537420018724e+00
4.132488493632760591e-10 2.603706700092568430e-11 3.872117823623503522e-10 9.369942177914276638e-01 1.487155916404040390e+01
-2.152952783550507314e-10 8.836152149649797756e-12 -2.241314305047005195e-10 1.041042015492219974e+00 -2.536527514565075592e+01
-5.335946767176399797e-10 2.102385627210562427e-12 -5.356970623448505046e-10 1.003940042356012974e+00 -2.548043781366653491e+02
-6.226714681408482057e-10 4.062051533103091790e-13 -6.230776732941585342e-10 1.000652358706145995e+00 -1.533898987288759372e+03
8.031198942505501301e-10 3.711311597045414634e-11 7.660067782800959320e-10 9.537888225205937154e-01 2.063978618475247373e+01
1.375952790858379807e-09 2.372509912560664232e-11 1.352227691732773233e-09 9.827573305688738214e-01 5.699566035841366585e+01
5.651602840720748566e-10 8.330904236789465583e-12 5.568293798352853425e-10 9.852592185410412595e-01 6.683900858880527096e+01
-2.374520260922235148e-10 1.953032227776789459e-12 -2.394050583200002812e-10 1.008224954993722555e+00 -1.225812123912180027e+02
-8.374678107506620310e-10 3.309014182148532658e-13 -8.377987121688768556e-10 1.000395121357462447e+00 -2.531868000713423044e+03
6.572999554875109925e-10 3.370933633760589945e-11 6.235906191499051253e-10 9.487154440584070203e-01 1.849904764972283999e+01
1.227491330369275912e-10 2.265187808714614877e-11 1.000972549497814456e-10 8.154620116108550754e-01 4.418938445840471907e+00
4.490879128365858179e-11 8.080940612259929454e-12 3.682785067139865395e-11 8.200588263171442183e-01 4.557371776192192137e+00
4.698350655961977071e-10 1.852253314819109700e-12 4.679828122813785817e-10 9.960576520348290996e-01 2.526559453489662701e+02
