# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.454451804075545051e-10 -6.344318114833689802e-10 3.357019530280204389e+00 -1.424264621974141720e+00
-1.225654403117453744e-10 2.601092478427084782e-10 -3.826746881544538526e-10 3.122207101619512315e+00 -1.471207545784232629e+00
-5.190905464379474725e-10 8.800121865264144351e-11 -6.070917650905889160e-10 1.169529611464733554e+00 -6.898674522757492156e+00
3.668416608353331481e-10 2.123755444593710316e-11 3.456041063893960547e-10 9.421070267821348709e-01 1.627325346094698943e+01
6.676827973921091955e-10 4.349428954833310605e-12 6.633333684372758517e-10 9.934857855079961553e-01 1.525104502971925626e+02
4.548721662157189054e-10 3.724258982421574061e-10 8.244626797356149927e-11 1.812515121764168846e-01 2.213763016017580854e-01
4.132488493632760591e-10 2.135807063420072410e-10 1.996681430212688181e-10 4.831668456643321008e-01 9.348603927807027647e-01
-2.152952783550507314e-10 7.125465879336734328e-11 -2.865499371484180876e-10 1.330962477848022685e+00 -4.021490552349557213e+00
-5.335946767176399797e-10 1.697829893095466184e-11 -5.505729756485946028e-10 1.031818718723723327e+00 -3.242804110633224468e+01
-6.226714681408482057e-10 3.424812967681447965e-12 -6.260962811085296702e-10 1.005500192546010085e+00 -1.828118168836496693e+02
8.031198942505501301e-10 3.952394948883666475e-10 4.078803993621834825e-10 5.078698738284979086e-01 1.031982898058776188e+00
1.375952790858379807e-09 2.266725509078592498e-10 1.149280239950520558e-09 8.352613894794668203e-01 5.070222377378612144e+00
5.651602840720748566e-10 7.534467430139780149e-11 4.898156097706770551e-10 8.666844142717765598e-01 6.500998435686248911e+00
-2.374520260922235148e-10 1.753126219056236178e-11 -2.549832882827858766e-10 1.073830754275195920e+00 -1.454449117873848962e+01
-8.374678107506620310e-10 3.110174846986937909e-12 -8.405779855976489790e-10 1.003713784347364024e+00 -2.702671158221154428e+02
6.572999554875109925e-10 4.547584593009460500e-10 2.025414961865649425e-10 3.081416551083477340e-01 4.453825806735104975e-01
1.227491330369275912e-10 2.590985118116827527e-10 -1.363493787747551615e-10 -1.110797081831413902e+00 -5.262453181277098047e-01
4.490879128365858179e-11 8.541055026664817139e-11 -4.050175898298958960e-11 -9.018670470814336149e-01 -4.742008903647709772e-01
4.698350655961977071e-10 1.991524086518574838e-11 4.499198247310119588e-10 9.576122722131983345e-01 2.259173402805919650e+01
5.607438834933431508e-10 4.001767938783377024e-12 5.567421155545597649e-10 9.928634657343865522e-01 1.391240381929346199e+02
1.384959292694439189e-09 5.003800112525603373e-10 8.845792814418788514e-10 6.387041742728259974e-01 1.767814983711247567e+00
9.691182099942607598e-10 2.844403841094718393e-10 6.846778258847888689e-10 7.064956770225622185e-01 2.407104842121428945e+00
2.053444597321272276e-10 9.395390099575588403e-11 1.113905587363713435e-10 5.424570932260885936e-01 1.185587373763257624e+00
-4.316390813605022176e-10 2.213428806860834621e-11 -4.537733694291105412e-10 1.051279619998361392e+00 -2.050092453945552862e+01
-1.747211379157624652e-09 4.388365016533171673e-12 -1.751599744174157798e-09 1.002511639443791180e+00 -3.991463193182433997e+02
8.317422204797886697e-10 5.269205669239404315e-10 3.048216535558482382e-10 3.664857284508324375e-01 5.784964047528788900e-01
7.580061027865223463e-10 2.918718132334835950e-10 4.661342895530387513e-10 6.149479375422870486e-01 1.597051405509148703e+00
2.844631494557852492e-10 9.512100257468803474e-11 1.893421468810972016e-10 6.656122145990902572e-01 1.990539857193238671e+00
1.027189637038914156e-09 2.242269934374089656e-11 1.004766937695173360e-09 9.781708279219221147e-01 4.481025777905038154e+01
8.384874061714122242e-10 4.221478990358659985e-12 8.342659271810535893e-10 9.949653638691674518e-01 1.976240860339266305e+02
4.714240855035933585e-10 5.194482810819298969e-10 -4.802419557833653837e-11 -1.018704751307630829e-01 -9.245231397880385171e-02
1.701078596139051774e-10 2.870607402381918039e-10 -1.169528806242866265e-10 -6.875219104498480061e-01 -4.074151015121179054e-01
-2.352330452311193215e-10 9.303386080461735452e-11 -3.282669060357366890e-10 1.395496562624568559e+00 -3.528466981770625566e+00
-6.061980276994505670e-13 2.109208607187175297e-11 -2.169828409957120203e-11 3.579405261662957116e+01 -1.028740543995213086e+00
2.071009717535567680e-10 2.858025121933662576e-12 2.042429466316231135e-10 9.861998468779055171e-01 7.146296408109871834e+01
7.932316545130758828e-10 6.105162443481378361e-10 1.827154101649380467e-10 2.303430645075525141e-01 2.992801778108745703e-01
4.934104617171754979e-10 3.356108017283379919e-10 1.577996599888375059e-10 3.198141754831473338e-01 4.701864754536992375e-01
7.480987540808805037e-10 1.080060649106367643e-10 6.400926891702437523e-10 8.556259259603582468e-01 5.926451349744578323e+00
6.432603244535268608e-10 2.471071435642870062e-11 6.185496100970982022e-10 9.615852036616414633e-01 2.503163612249749903e+01
-1.013339224233582006e-10 4.262818365888590282e-12 -1.055967407892467893e-10 1.042067041953425699e+00 -2.477157873632155116e+01
3.353162618682934715e-10 7.057257260144620416e-10 -3.704094641461685700e-10 -1.104657024632044626e+00 -5.248632017965828567e-01
4.414665288075374389e-10 3.869605950478558510e-10 5.450593375968158797e-11 1.234656088354188636e-01 1.408565483339221658e-01
-1.932452923128313336e-10 1.248220057753875539e-10 -3.180672980882189134e-10 1.645925208741033208e+00 -2.548166856576306927e+00
-1.633424719608339354e-10 2.885720116434895277e-11 -1.921996731251828817e-10 1.176666857173976677e+00 -6.660371254667348140e+00
-1.312878356660587447e-10 4.802750026631385074e-12 -1.360905856926901314e-10 1.036581835645821625e+00 -2.833597104535192912e+01
5.243143576250069932e-10 6.511933372806217042e-10 -1.268789796556147110e-10 -2.419902827577332383e-01 -1.948407214752232164e-01
4.848811860811812985e-10 3.457917739564198396e-10 1.390894121247614589e-10 2.868525653653107299e-01 4.022345891382913541e-01
-3.759829428745306495e-11 1.017847732767611965e-10 -1.393830675642142679e-10 3.707164652166889063e+00 -1.369390165906448464e+00
2.974464036561868337e-10 1.431396012293800615e-11 2.831324435332488357e-10 9.518771787219748592e-01 1.978016154170580521e+01
-2.458381650188194397e-10 -4.591077540726825162e-12 -2.412470874780926089e-10 9.813247973910992350e-01 5.254694248529293077e+01
5.632866116741176282e-10 7.661880143770371142e-10 -2.029014027029194860e-10 -3.602098798334399943e-01 -2.648193379374279566e-01
3.552798407750990445e-10 3.969564199237898531e-10 -4.167657914869080859e-11 -1.173063438042720730e-01 -1.049903139409916475e-01
-2.078952733090685192e-10 1.104106820447190797e-10 -3.183059553537876118e-10 1.531087986212060326e+00 -2.882927172072587751e+00
-1.442956260428126750e-10 1.389480346065123528e-11 -1.581904295034639006e-10 1.096294003094235414e+00 -1.138486268995773720e+01
-2.648102702146158892e-10 -2.661067326868137896e-12 -2.621492028877477711e-10 9.899510418356831654e-01 9.851280358106394885e+01
7.259947424319820492e-10 8.927622595278285178e-10 -1.667675170958464686e-10 -2.297089873367379187e-01 -1.867994702016725628e-01
8.868885298187272894e-10 4.644768279429792731e-10 4.224117018757480163e-10 4.762849982534845816e-01 9.094354690340002989e-01
2.886404154093102008e-10 1.327583248165314158e-10 1.558820905927787849e-10 5.400563547960814947e-01 1.174179403123712273e+00
-1.314381489561711098e-10 1.887866167553987834e-11 -1.503168106317109946e-10 1.143631524222355589e+00 -7.962259889771150512e+00
-7.308511046704866833e-10 -3.422722307059800226e-12 -7.274283823634269190e-10 9.953167994339928715e-01 2.125291849890986953e+02
5.281775264915396830e-10 1.037819304279959693e-09 -5.096417777884200103e-10 -9.649062147224536368e-01 -4.910698574276474160e-01
-5.419666256695689987e-10 4.905405876429929804e-10 -1.032507213312561979e-09 1.905112168183710430e+00 -2.104835439354109106e+00
3.018834755226183122e-10 1.120546094690815059e-10 1.898288660535367933e-10 6.288150278013944217e-01 1.694074585177283820e+00
6.503704506129455257e-10 1.403543968044317562e-11 6.363350109325023129e-10 9.784193152268596538e-01 4.533773258412163187e+01
5.795016297527579246e-11 1.354356154919222116e-11 4.440660142608357130e-11 7.662895002560988766e-01 3.278797919202583344e+00
1.352349073539644995e-09 1.199367098919120893e-09 1.529819746205241028e-10 1.131231407731942695e-01 1.275522521489814709e-01
5.619686650340384022e-10 5.734957568976089312e-10 -1.152709186357052900e-11 -2.051198328446361685e-02 -2.009969860270223105e-02
4.991054217839956411e-10 1.452959390843066810e-10 3.538094826996889601e-10 7.088872756281371368e-01 2.435095467426616533e+00
2.864546895915383006e-10 3.029610661551119663e-11 2.561585829760271040e-10 8.942377007033431857e-01 8.455165088601759749e+00
-1.652498442680650529e-10 1.983330549891848988e-11 -1.850831497669835492e-10 1.120020116126374754e+00 -9.331936614251020501e+00
1.283787225956523034e-09 1.468702178705247375e-09 -1.849149527487243410e-10 -1.440386296186644821e-01 -1.259036416162590544e-01
5.194962200390622909e-10 7.087010894027037769e-10 -1.892048693636414860e-10 -3.642083658460780748e-01 -2.669741477653211348e-01
7.247182187875589696e-10 2.101165777038429188e-10 5.146016410837160250e-10 7.100713459979461906e-01 2.449124418012564419e+00
-3.516667382857595751e-10 6.958017878704498825e-11 -4.212469170728045763e-10 1.197858288009328698e+00 -6.054122372436844479e+00
-4.030469475903973660e-10 3.295421405409630291e-11 -4.360011616444936754e-10 1.081762718341156004e+00 -1.323051312735821305e+01
