# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.384295808224942676e-10 -6.274162118983087427e-10 3.319897329915429296e+00 -1.431053558752298116e+00
-1.225654403117453744e-10 2.554576842811874831e-10 -3.780231245929328575e-10 3.084255428213944494e+00 -1.479787643329746549e+00
-5.190905464379474725e-10 8.621636651039947632e-11 -6.053069129483469876e-10 1.166091189874338907e+00 -7.020788945859072427e+00
3.668416608353331481e-10 2.071379788839768084e-11 3.461278629469354705e-10 9.435347723559248667e-01 1.671001449429080310e+01
6.676827973921091955e-10 4.209758564376959249e-12 6.634730388277322322e-10 9.936949722520637129e-01 1.576035843105234449e+02
4.548721662157189054e-10 3.716282561276942123e-10 8.324391008802469314e-11 1.830050644350638134e-01 2.239977954190368881e-01
4.132488493632760591e-10 2.127141042734891996e-10 2.005347450897868595e-10 4.852638922014326228e-01 9.427430577520934385e-01
-2.152952783550507314e-10 7.083600072008707898e-11 -2.861312790751378233e-10 1.329017901652580713e+00 -4.039348299825728184e+00
-5.335946767176399797e-10 1.680542559165466254e-11 -5.504001023092946196e-10 1.031494739968231489e+00 -3.275133374679993636e+01
-6.226714681408482057e-10 3.339839202173704611e-12 -6.260113073430218772e-10 1.005363726094830712e+00 -1.874375589506189499e+02
8.031198942505501301e-10 3.961635107296539266e-10 4.069563835208962034e-10 5.067193409530179604e-01 1.027243480277534760e+00
1.375952790858379807e-09 2.267314518703640088e-10 1.149221338988015721e-09 8.352185820787361159e-01 5.068645437180434143e+00
5.651602840720748566e-10 7.522075942954243763e-11 4.899395246425323673e-10 8.669036704285654205e-01 6.513355200853130356e+00
-2.374520260922235148e-10 1.743218358986301004e-11 -2.548842096820865119e-10 1.073413496935555989e+00 -1.462147345845441038e+01
-8.374678107506620310e-10 3.041418782929082215e-12 -8.405092295335911185e-10 1.003631684398953672e+00 -2.763543232688681428e+02
6.572999554875109925e-10 4.553967392989501662e-10 2.019032161885608263e-10 3.071705916042726248e-01 4.433567453719058360e-01
1.227491330369275912e-10 2.588806186351478643e-10 -1.361314855982202731e-10 -1.109021972132925526e+00 -5.258465709635703478e-01
4.490879128365858179e-11 8.513068513409319793e-11 -4.022189385043461614e-11 -8.956351908110821158e-01 -4.724723381126240129e-01
4.698350655961977071e-10 1.975256350335317008e-11 4.500825020928445306e-10 9.579585157649139759e-01 2.278602987487872511e+01
5.607438834933431508e-10 3.926116170928894148e-12 5.568177673224142260e-10 9.929983789631910973e-01 1.418240681326234665e+02
1.384959292694439189e-09 5.010374392250998175e-10 8.839218534693393712e-10 6.382294830844225109e-01 1.764183241149414494e+00
9.691182099942607598e-10 2.841723829590987090e-10 6.849458270351619991e-10 7.067722182614011306e-01 2.410318060829109932e+00
2.053444597321272276e-10 9.368953988424123776e-11 1.116549198478859898e-10 5.437444964112513324e-01 1.191754383529281869e+00
-4.316390813605022176e-10 2.202525931547287602e-11 -4.536643406759751098e-10 1.051027027594560126e+00 -2.059745740915173684e+01
-1.747211379157624652e-09 4.343563027869309257e-12 -1.751554942185493998e-09 1.002485997446950883e+00 -4.032530277440687883e+02
8.317422204797886697e-10 5.248693754006693061e-10 3.068728450791193636e-10 3.689518669643828130e-01 5.846651747301163660e-01
7.580061027865223463e-10 2.902427321340820719e-10 4.677633706524403261e-10 6.170971037474308751e-01 1.611628195521360718e+00
2.844631494557852492e-10 9.449312303941971988e-11 1.899700264163655164e-10 6.678194584423420288e-01 2.010411131581667288e+00
1.027189637038914156e-09 2.223179824548434959e-11 1.004957838793429800e-09 9.783566758816102382e-01 4.520362355292395762e+01
8.384874061714122242e-10 4.130930093052313848e-12 8.343564760783599144e-10 9.950733546352062975e-01 2.019778735741955131e+02
4.714240855035933585e-10 5.210296729445670290e-10 -4.960558744097367047e-11 -1.052249746382454554e-01 -9.520683756959705257e-02
1.701078596139051774e-10 2.874357126608997815e-10 -1.173278530469946041e-10 -6.897262320112329537e-01 -4.081881543557925873e-01
-2.352330452311193215e-10 9.302741383308469197e-11 -3.282604590642040006e-10 1.395469155881921663e+00 -3.528642209200703039e+00
-6.061980276994505670e-13 2.102374473774538764e-11 -2.162994276544483669e-11 3.568131497809629593e+01 -1.028833970125745401e+00
2.071009717535567680e-10 2.771233822204017936e-12 2.043297379313527440e-10 9.866189240990056453e-01 7.373240622793971966e+01
7.932316545130758828e-10 6.105102105565453128e-10 1.827214439565305700e-10 2.303506711021181541e-01 2.992930188505126821e-01
