# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.440148658694650638e-10 -3.330014969452795389e-10 1.762037320045625854e+00 -2.312271687612525994e+00
-1.225654403117453744e-10 7.507716549646382499e-11 -1.976426058082091994e-10 1.612547593395862178e+00 -2.632526208218639585e+00
-5.190905464379474725e-10 2.333473054416776658e-11 -5.424252769821152067e-10 1.044953102506475995e+00 -2.324540563926451142e+01
3.668416608353331481e-10 5.349338269402225364e-12 3.614923225659309123e-10 9.854178550570802386e-01 6.757701688704885612e+01
6.676827973921091955e-10 1.026217324859855807e-12 6.666565800672493879e-10 9.984630166766792492e-01 6.496251465626841082e+02
4.548721662157189054e-10 2.281089190914876790e-10 2.267632471242312264e-10 4.985208240169411997e-01 9.941007481311296967e-01
4.132488493632760591e-10 1.157653596741464163e-10 2.974834896891296299e-10 7.198652583001382554e-01 2.569710753946423232e+00
-2.152952783550507314e-10 3.516527970815711116e-11 -2.504605580632078232e-10 1.163335118061274098e+00 -7.122382080899807733e+00
-5.335946767176399797e-10 7.979120709948550536e-12 -5.415737974275885399e-10 1.014953523822672787e+00 -6.787386945435503094e+01
-6.226714681408482057e-10 1.571607924767841157e-12 -6.242430760656159982e-10 1.002523976133771200e+00 -3.972002598280544703e+02
8.031198942505501301e-10 2.386454391245049591e-10 5.644744551260451709e-10 7.028520388637583549e-01 2.365326809499804561e+00
1.375952790858379807e-09 1.214833529674646022e-10 1.254469437890915154e-09 9.117096503785729888e-01 1.032626616938111930e+01
5.651602840720748566e-10 3.715345352075287810e-11 5.280068305513219397e-10 9.342603247824563528e-01 1.421151415322379385e+01
-2.374520260922235148e-10 8.710248965911600793e-12 -2.461622750581351398e-10 1.036682142112060445e+00 -2.826122146697699833e+01
-8.374678107506620310e-10 1.893695268290385447e-12 -8.393615060189523757e-10 1.002261215588206245e+00 -4.432400080804563345e+02
6.572999554875109925e-10 2.492360315351418606e-10 4.080639239523691318e-10 6.208184262688917210e-01 1.637258952643983134e+00
1.227491330369275912e-10 1.272406363636537975e-10 -4.491503326726206281e-12 -3.659091690183255419e-02 -3.529928374367358179e-02
4.490879128365858179e-11 3.911922452240068871e-11 5.789566761257893078e-12 1.289183386096744433e-01 1.479979941305491764e-01
4.698350655961977071e-10 9.322578065815837231e-12 4.605124875303818909e-10 9.801577643976276955e-01 4.939754693167930100e+01
5.607438834933431508e-10 2.034602390248235287e-12 5.587092811030949002e-10 9.963716012779791908e-01 2.746036688942101023e+02
1.384959292694439189e-09 2.497190400122667328e-10 1.135240252682172404e-09 8.196921445059672795e-01 4.546070065888476286e+00
9.691182099942607598e-10 1.280970957173294365e-10 8.410211142769312975e-10 8.678209795293310158e-01 6.565497129870953685e+00
2.053444597321272276e-10 3.942241364750694905e-11 1.659220460846202785e-10 8.080181286656885620e-01 4.208825151301031298e+00
-4.316390813605022176e-10 9.254685827382503148e-12 -4.408937671878847434e-10 1.021440796783767313e+00 -4.764005774062915322e+01
-1.747211379157624652e-09 1.879968680465245071e-12 -1.749091347838089872e-09 1.001075982392795272e+00 -9.303832377703407701e+02
8.317422204797886697e-10 4.855871870795888742e-10 3.461550334001997955e-10 4.161806685736369471e-01 7.128586639240630518e-01
7.580061027865223463e-10 2.293581312860931687e-10 5.286479715004292034e-10 6.974191494726166285e-01 2.304901808085507042e+00
2.844631494557852492e-10 6.659225819979443693e-11 2.178708912559908123e-10 7.659019865061817978e-01 3.271715018318200663e+00
1.027189637038914156e-09 1.526609526961914634e-11 1.011923541769295084e-09 9.851379971923911461e-01 6.628568235016263088e+01
8.384874061714122242e-10 3.448211891222695030e-12 8.350391942801895764e-10 9.958875805816006510e-01 2.421658588921850139e+02
4.714240855035933585e-10 5.408712473630881041e-10 -6.944716185949474558e-11 -1.473135632968532172e-01 -1.283986941403721938e-01
1.701078596139051774e-10 2.544216682079902146e-10 -8.431380859408503720e-11 -4.956491063108582340e-01 -3.313939775175058222e-01
-2.352330452311193215e-10 7.462610856989977737e-11 -3.098591538010190860e-10 1.317243304385991909e+00 -4.152154785222177402e+00
-6.061980276994505670e-13 1.786915037218158589e-11 -1.847534839988103494e-11 3.047741423705357988e+01 -1.033924278159479071e+00
2.071009717535567680e-10 4.169174449572955326e-12 2.029317973039838224e-10 9.798688803134437686e-01 4.867433583278577913e+01
7.932316545130758828e-10 5.811270448820306104e-10 2.121046096310452725e-10 2.673930224850209481e-01 3.649883644188384180e-01
4.934104617171754979e-10 2.751476601358748015e-10 2.182628015813006963e-10 4.423554393672537444e-01 7.932569787201426692e-01
7.480987540808805037e-10 8.164970488460497138e-11 6.664490491962755582e-10 8.908570500362343880e-01 8.162295872816244469e+00
6.432603244535268608e-10 1.959630382275455704e-11 6.236640206307722779e-10 9.695359668896067484e-01 3.182559457496239474e+01
-1.013339224233582006e-10 3.821102830460176774e-12 -1.051550252538183733e-10 1.037708032404945024e+00 -2.751954865374678150e+01
3.353162618682934715e-10 5.864934194079992874e-10 -2.511771575397058159e-10 -7.490753837592402098e-01 -4.282693534622120102e-01
4.414665288075374389e-10 2.787332998988807844e-10 1.627332289086566546e-10 3.686196309111401392e-01 5.838313146211565607e-01
-1.932452923128313336e-10 8.290097206786515272e-11 -2.761462643806964734e-10 1.428993488408827783e+00 -3.331037712737977330e+00
-1.633424719608339354e-10 1.967490047136600894e-11 -1.830173724321999443e-10 1.120451834940294322e+00 -9.302073608888413503e+00
-1.312878356660587447e-10 3.490715118362707921e-12 -1.347785507844214514e-10 1.026588260067304414e+00 -3.861058442593225948e+01
5.243143576250069932e-10 6.713543103230965731e-10 -1.470399526980895800e-10 -2.804423540185666530e-01 -2.190198981925430832e-01
