# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.217549055939039965e-10 -3.107415366697184716e-10 1.644251420858761303e+00 -2.552189048596959609e+00
-1.225654403117453744e-10 6.384277964880315014e-11 -1.864082199605485116e-10 1.520887286713276776e+00 -2.919801126861541363e+00
-5.190905464379474725e-10 1.995972552367669889e-11 -5.390502719616241617e-10 1.038451336978957418e+00 -2.700689803184868154e+01
3.668416608353331481e-10 4.605723012087041399e-12 3.622359378232460841e-10 9.874449292329573469e-01 7.864909306803974687e+01
6.676827973921091955e-10 8.802264838747046327e-13 6.668025709082344747e-10 9.986816696681226624e-01 7.575352288572472617e+02
4.548721662157189054e-10 2.015634610286023813e-10 2.533087051871165240e-10 5.568788859835122063e-01 1.256719367163334100e+00
4.132488493632760591e-10 1.023106910322349295e-10 3.109381583310411425e-10 7.524235307856930177e-01 3.039156076397472095e+00
-2.152952783550507314e-10 3.125236540210219937e-11 -2.465476437571529566e-10 1.145160477465571258e+00 -7.888927464689404090e+00
-5.335946767176399797e-10 7.186532699881764889e-12 -5.407812094175217268e-10 1.013468149165372312e+00 -7.524925189951738957e+01
-6.226714681408482057e-10 1.422263911701218054e-12 -6.240937320525494621e-10 1.002284132137847505e+00 -4.388030427531904252e+02
8.031198942505501301e-10 2.186733667912165805e-10 5.844465274593336013e-10 7.277201469460837790e-01 2.672691860172196066e+00
1.375952790858379807e-09 1.106937874912529657e-10 1.265259003367126906e-09 9.195511733929495612e-01 1.143026209548668426e+01
5.651602840720748566e-10 3.378682816748550589e-11 5.313734559045893959e-10 9.402172638104615565e-01 1.572723705434867014e+01
-2.374520260922235148e-10 7.782783999796577355e-12 -2.452348100920200825e-10 1.032776237490489191e+00 -3.150990829225504797e+01
-8.374678107506620310e-10 1.517460987030908866e-12 -8.389852717376929890e-10 1.001811963358532953e+00 -5.528875397180829623e+02
6.572999554875109925e-10 2.370466374274016526e-10 4.202533180601093399e-10 6.393630709261387546e-01 1.772871881335236877e+00
1.227491330369275912e-10 1.196275703817313781e-10 3.121562655196213095e-12 2.543042527442640824e-02 2.609400696875571399e-02
4.490879128365858179e-11 3.644150671654299792e-11 8.467284567115583861e-12 1.885440316937824212e-01 2.323527573373296573e-01
4.698350655961977071e-10 8.410507445197205608e-12 4.614245581510004789e-10 9.820990214203686453e-01 5.486286780644793737e+01
5.607438834933431508e-10 1.646613302326675164e-12 5.590972701910164773e-10 9.970635198157338230e-01 3.395437589390347171e+02
1.384959292694439189e-09 2.419056049683910094e-10 1.143053687726048231e-09 8.253337796681637917e-01 4.725205469610376241e+00
9.691182099942607598e-10 1.220091260099380840e-10 8.471090839843226500e-10 8.741029476572722556e-01 6.942997722279582007e+00
2.053444597321272276e-10 3.715356888835287466e-11 1.681908908437743464e-10 8.190670985873206300e-01 4.526910761902602331e+00
-4.316390813605022176e-10 8.591986014993130591e-12 -4.402310673754953466e-10 1.019905486750438905e+00 -5.123740501989717444e+01
-1.747211379157624652e-09 1.685922199414839194e-12 -1.748897301357039422e-09 1.000964921714410760e+00 -1.037353504191390357e+03
8.317422204797886697e-10 4.472338480738553521e-10 3.845083724059333176e-10 4.622927187514065395e-01 8.597479239595396949e-01
7.580061027865223463e-10 2.095112721740918371e-10 5.484948306124305092e-10 7.236021301096350333e-01 2.617972889576379636e+00
2.844631494557852492e-10 6.067417136224728918e-11 2.237889780935379730e-10 7.867063924507451400e-01 3.688373043571289145e+00
1.027189637038914156e-09 1.335821462231085414e-11 1.013831422416603321e-09 9.869953763739102159e-01 7.589572791586270739e+01
8.384874061714122242e-10 2.134353310532871589e-12 8.363530528608793724e-10 9.974545195374150408e-01 3.918531429325878435e+02
4.714240855035933585e-10 5.240726459668402633e-10 -5.264856046324690476e-11 -1.116798273193990165e-01 -1.004604244629439119e-01
1.701078596139051774e-10 2.406963434676381538e-10 -7.058848385373297638e-11 -4.149630946738621096e-01 -2.932677864432272075e-01
-2.352330452311193215e-10 6.786610751573780835e-11 -3.030991527468571299e-10 1.288505840873923614e+00 -4.466134331876481234e+00
-6.061980276994505670e-13 1.401006676671332972e-11 -1.461626479441277877e-11 2.411136976126790898e+01 -1.043268746523015933e+00
2.071009717535567680e-10 1.973382668068486726e-12 2.051275890854882805e-10 9.904713983166784086e-01 1.039471930126272241e+02
7.932316545130758828e-10 5.973085364930393609e-10 1.959231180200365219e-10 2.469935697917951256e-01 3.280099078616126040e-01
4.934104617171754979e-10 2.710820004866136818e-10 2.223284612305618161e-10 4.505953531200179718e-01 8.201520603782789243e-01
7.480987540808805037e-10 7.467206597073440427e-11 6.734266881101460994e-10 9.001842128951583755e-01 9.018455286533475501e+00
6.432603244535268608e-10 1.473071077902217662e-11 6.285296136745046325e-10 9.770999232829469250e-01 4.266797597910793627e+01
-1.013339224233582006e-10 2.188818496295727192e-12 -1.035227409196539250e-10 1.021600056959713454e+00 -4.729617421218426898e+01
3.353162618682934715e-10 6.167019149169743317e-10 -2.813856530486808602e-10 -8.391649467904552795e-01 -4.562749786281487530e-01
4.414665288075374389e-10 2.791502191833165271e-10 1.623163096242209118e-10 3.676752347741059079e-01 5.814658147111416708e-01
-1.932452923128313336e-10 7.638877002859789060e-11 -2.696340623414292501e-10 1.395294338684005098e+00 -3.529760490193591949e+00
-1.633424719608339354e-10 1.490787135749988257e-11 -1.782503433183338180e-10 1.091267575288529246e+00 -1.195679376644602421e+01
-1.312878356660587447e-10 2.294359923148049931e-12 -1.335821955892067987e-10 1.017475799730478858e+00 -5.822198785878419613e+01
5.243143576250069932e-10 6.658752590179081650e-10 -1.415609013929011719e-10 -2.699924183540028944e-01 -2.125937245388689334e-01
4.848811860811812985e-10 2.886682380202384478e-10 1.962129480609428507e-10 4.046619124300109838e-01 6.797178290435486048e-01
-3.759829428745306495e-11 7.867059269023529550e-11 -1.162688869776883669e-10 3.092397918074929475e+00 -1.477920567288669051e+00
2.974464036561868337e-10 1.747285105078070826e-11 2.799735526054061481e-10 9.412571446956297105e-01 1.602334683628500400e+01
-2.458381650188194397e-10 4.040065053498222885e-12 -2.498782300723176545e-10 1.016433839933636563e+00 -6.185005111636813524e+01
5.632866116741176282e-10 7.944066116705562270e-10 -2.311199999964385988e-10 -4.103062192611638959e-01 -2.909341344861377521e-01
3.552798407750990445e-10 3.337077237333096115e-10 2.157211704178943299e-11 6.071866333515139880e-02 6.464374513257985233e-02
-2.078952733090685192e-10 8.916726669466576072e-11 -2.970625400037342541e-10 1.428904733019614071e+00 -3.331520085963399769e+00
-1.442956260428126750e-10 2.128366158186447898e-11 -1.655792876246771508e-10 1.147500393224321291e+00 -7.779642942911901393e+00
-2.648102702146158892e-10 6.218333217875721650e-12 -2.710286034324916367e-10 1.023482220734249104e+00 -4.358541009886234008e+01
7.259947424319820492e-10 8.281808282388055077e-10 -1.021860858068234585e-10 -1.407532036175829504e-01 -1.233862006008163148e-01
8.868885298187272894e-10 3.452298307738347770e-10 5.416586990448925641e-10 6.107404491470908026e-01 1.568979997559194928e+00
2.886404154093102008e-10 9.177650502384701992e-11 1.968639103854631938e-10 6.820386192498296696e-01 2.145036034378411838e+00
-1.314381489561711098e-10 2.292444421379935657e-11 -1.543625931699704566e-10 1.174412409151042169e+00 -6.733536993540369942e+00
-7.308511046704866833e-10 7.219906553548331498e-12 -7.380710112240350568e-10 1.009878765329093264e+00 -1.022272249301203146e+02
5.281775264915396830e-10 9.932174960366052866e-10 -4.650399695450656037e-10 -8.804614854292074355e-01 -4.682156440062614777e-01
-5.419666256695689987e-10 3.997994266074090861e-10 -9.417660522769781365e-10 1.737682742204798458e+00 -2.355596305548891767e+00
3.018834755226183122e-10 1.082212901783672145e-10 1.936621853442511106e-10 6.415130374691249138e-01 1.789501723968201397e+00
6.503704506129455257e-10 2.771702199790375844e-11 6.226534286150417737e-10 9.573827163091717107e-01 2.246465831221453513e+01
5.795016297527579246e-11 7.062710033807729414e-12 5.088745294146806144e-11 8.781244146488249580e-01 7.205088797059538308e+00
1.352349073539644995e-09 1.048334288668195911e-09 3.040147848714490841e-10 2.248049640583694164e-01 2.899979406928199777e-01
5.619686650340384022e-10 4.177190141131504423e-10 1.442496509208879599e-10 2.566862885711799769e-01 3.453269926607029361e-01
4.991054217839956411e-10 1.140188716581041055e-10 3.850865501258915097e-10 7.715535302130026585e-01 3.377393097526945720e+00
2.864546895915383006e-10 3.074319783279926190e-11 2.557114917587390193e-10 8.926769260554378027e-01 8.317660809049794324e+00
-1.652498442680650529e-10 7.286522875638567256e-12 -1.725363671437036153e-10 1.044093977261597361e+00 -2.367883421056069793e+01
1.283787225956523034e-09 1.121180890206852936e-09 1.626063357496700979e-10 1.266614377071056396e-01 1.450313122262277821e-01
5.194962200390622909e-10 4.415183285325490712e-10 7.797789150651321965e-11 1.501029045036167131e-01 1.766130338590567173e-01
7.247182187875589696e-10 1.215264724423454551e-10 6.031917463452135145e-10 8.323121051852993002e-01 4.963459682674320028e+00
-3.516667382857595751e-10 3.216895774504604580e-11 -3.838356960308056403e-10 1.091475690598028736e+00 -1.193186608882022526e+01
-4.030469475903973660e-10 6.750586355007883229e-12 -4.097975339454052597e-10 1.016748883462251785e+00 -6.070547244261224051e+01
