# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 5.060192797281285438e-11 -2.395885590486273101e-10 1.267754008232006679e+00 -4.734771354509500263e+00
-1.225654403117453744e-10 2.809034867492256026e-11 -1.506557889866679347e-10 1.229186535808746150e+00 -5.363258061697351309e+00
-5.190905464379474725e-10 9.159569403189347498e-12 -5.282501158411368103e-10 1.017645417482640147e+00 -5.767193768488734662e+01
3.668416608353331481e-10 2.157209743173136345e-12 3.646844510921600098e-10 9.941195072057492643e-01 1.690537752512323380e+02
6.676827973921091955e-10 4.242791850146132882e-13 6.672585182070945559e-10 9.993645497732278615e-01 1.572687376082596302e+03
4.548721662157189054e-10 7.871874242634624378e-11 3.761534237893726745e-10 8.269431539827069022e-01 4.778448082314365131e+00
4.132488493632760591e-10 4.403774951825674889e-11 3.692110998450192844e-10 8.934352761390405018e-01 8.383968388120180748e+00
-2.152952783550507314e-10 1.435079966877985667e-11 -2.296460780238305832e-10 1.066656360410809690e+00 -1.600231926611206745e+01
-5.335946767176399797e-10 3.355676183352219863e-12 -5.369503529009922012e-10 1.006288811207777245e+00 -1.600125648490299000e+02
-6.226714681408482057e-10 6.316323028938971492e-13 -6.233031004437421398e-10 1.001014390951266542e+00 -9.868132101350836365e+02
8.031198942505501301e-10 7.940638708758065739e-11 7.237135071629694339e-10 9.011276054097991928e-01 9.114046535888293832e+00
1.375952790858379807e-09 4.524791999898199282e-11 1.330704870859397795e-09 9.671152089667593987e-01 2.940919429864039358e+01
5.651602840720748566e-10 1.483875805589096319e-11 5.503215260161839257e-10 9.737441598886333871e-01 3.708676453537209028e+01
-2.374520260922235148e-10 3.424872401384771329e-12 -2.408768984936083003e-10 1.014423428840546482e+00 -7.033164166823121377e+01
-8.374678107506620310e-10 5.934946619148779550e-13 -8.380613054125769288e-10 1.000708677580554262e+00 -1.412078927059963917e+03
6.572999554875109925e-10 8.297612654603091176e-11 5.743238289414800678e-10 8.737621601016409834e-01 6.921555064671216506e+00
1.227491330369275912e-10 4.760133300455259166e-11 7.514780003237499952e-11 6.122063608365175824e-01 1.578691084663277566e+00
4.490879128365858179e-11 1.560574066918056072e-11 2.930305061447802106e-11 6.525014318330322194e-01 1.877709698992242160e+00
4.698350655961977071e-10 3.582804872267896782e-12 4.662522607239298136e-10 9.923743348791527197e-01 1.301361021173320580e+02
5.607438834933431508e-10 6.306056798497003599e-13 5.601132778134934004e-10 9.988754122899724530e-01 8.882147682954453103e+02
1.384959292694439189e-09 8.482648944835278013e-11 1.300132803246086473e-09 9.387516370366938423e-01 1.532696698520904555e+01
9.691182099942607598e-10 4.853861942725666654e-11 9.205795905670040545e-10 9.499146554809405618e-01 1.896592036258156000e+01
2.053444597321272276e-10 1.596391698648244544e-11 1.893805427456447853e-10 9.222578636535534446e-01 1.186303730506767451e+01
-4.316390813605022176e-10 3.724560792940738559e-12 -4.353636421534429392e-10 1.008628877582634864e+00 -1.168899277946005100e+02
-1.747211379157624652e-09 6.616805943535317586e-13 -1.747873059751978234e-09 1.000378706664944328e+00 -2.641566149389142538e+03
8.317422204797886697e-10 2.834942663039222244e-10 5.482479541758664453e-10 6.591560950935144714e-01 1.933894329940743839e+00
7.580061027865223463e-10 1.418442149356801238e-10 6.161618878508421966e-10 8.128719354445252954e-01 4.343933858213699040e+00
2.844631494557852492e-10 4.272091628361398299e-11 2.417422331721712598e-10 8.498191545536052383e-01 5.658638769995057771e+00
1.027189637038914156e-09 9.655872387419615954e-12 1.017533764651494561e-09 9.905997178717119711e-01 1.053797858779920062e+02
8.384874061714122242e-10 1.818924863912365728e-12 8.366684813074999078e-10 9.978307069962831788e-01 4.599796824525731722e+02
4.714240855035933585e-10 3.503828039792465805e-10 1.210412815243467780e-10 2.567566767299253039e-01 3.454544005861547307e-01
1.701078596139051774e-10 1.734469021941912611e-10 -3.339042580286083719e-12 -1.962897298140561103e-02 -1.925109378170207844e-02
-2.352330452311193215e-10 5.201162997816527585e-11 -2.872446752092845780e-10 1.221106817399159272e+00 -5.522700890740614099e+00
-6.061980276994505670e-13 1.201245914807474218e-11 -1.261865717577419285e-11 2.081606438685156846e+01 -1.050464107326151142e+00
2.071009717535567680e-10 2.496800686026486404e-12 2.046041710675302824e-10 9.879440416677639503e-01 8.194653750802430636e+01
7.932316545130758828e-10 4.137755921113183284e-10 3.794560624017575544e-10 4.783672717078923387e-01 9.170576264915892839e-01
4.934104617171754979e-10 2.051644374430859526e-10 2.882460242740895453e-10 5.841911484222097606e-01 1.404951208242661398e+00
7.480987540808805037e-10 6.192296051796778867e-11 6.861757935629127409e-10 9.172262215647628558e-01 1.108112060249137265e+01
6.432603244535268608e-10 1.459620356491739210e-11 6.286641208886094526e-10 9.773090255841327956e-01 4.307038594608469850e+01
-1.013339224233582006e-10 3.038805854205923095e-12 -1.043727282775641205e-10 1.029988041334374049e+00 -3.434662603835149497e+01
3.353162618682934715e-10 4.341493585955028317e-10 -9.883309672720936017e-11 -2.947459099553880746e-01 -2.276476856880311761e-01
4.414665288075374389e-10 2.156979174332365390e-10 2.257686113743008999e-10 5.114059541141960930e-01 1.046688878877013229e+00
-1.932452923128313336e-10 6.538142938698859364e-11 -2.586267216998199014e-10 1.338333879208540411e+00 -3.955660255896586541e+00
-1.633424719608339354e-10 1.553552221443357032e-11 -1.788779941752674992e-10 1.095110120643690621e+00 -1.151412818354297229e+01
-1.312878356660587447e-10 3.182695366218207053e-12 -1.344705310322769542e-10 1.024242119234211934e+00 -4.225051899706620873e+01
