# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.429281591852588959e-08 -1.448180254960170360e-08 7.662871424906313678e+01 -1.013222491085948640e+00
-1.225654403117453744e-10 7.320392372387743071e-09 -7.442957812699488704e-09 6.072639884267795907e+01 -1.016743015138650064e+00
-5.190905464379474725e-10 2.260184435977734053e-09 -2.779274982415681629e-09 5.354123671654880567e+00 -1.229667339609563426e+00
3.668416608353331481e-10 5.192207840527942128e-10 -1.523791232174610647e-10 -4.153811834524993585e-01 -2.934765477376714560e-01
6.676827973921091955e-10 9.799893828829946105e-11 5.696838591038097474e-10 8.532253059820145147e-01 5.813163581710220740e+00
4.548721662157189054e-10 3.104010979365196181e-08 -3.058523762743624606e-08 -6.723919355604510883e+01 -9.853456650366377856e-01
4.132488493632760591e-10 1.493913684094720013e-08 -1.452588799158392485e-08 -3.515046203749886899e+01 -9.723378362643692041e-01
-2.152952783550507314e-10 4.416183163004065171e-09 -4.631478441359115541e-09 2.151221558013542534e+01 -1.048751437702732936e+00
-5.335946767176399797e-10 9.980138565603414555e-10 -1.531608533277981435e-09 2.870359469662505880e+00 -1.534656581379216567e+00
-6.226714681408482057e-10 1.852906339304345030e-10 -8.079621020712827087e-10 1.297573669922068351e+00 -4.360512374169025485e+00
8.031198942505501301e-10 3.865062676465881416e-08 -3.784750687040826124e-08 -4.712559997748098795e+01 -9.792210382734360952e-01
1.375952790858379807e-09 1.780510242303179116e-08 -1.642914963217341073e-08 -1.194019863277735460e+01 -9.227214335437623483e-01
5.651602840720748566e-10 5.229119124898305963e-09 -4.663958840826230899e-09 -8.252453281433053789e+00 -8.919205566801720053e-01
-2.374520260922235148e-10 1.223937785070156674e-09 -1.461389811162380085e-09 6.154463430835472870e+00 -1.194006614542594935e+00
-8.374678107506620310e-10 2.206646961288983532e-10 -1.058132506879560358e-09 1.263490361415928520e+00 -4.795205238727749730e+00
6.572999554875109925e-10 4.657327591925760158e-08 -4.591597596377008934e-08 -6.985543750678455410e+01 -9.858867571045023537e-01
1.227491330369275912e-10 2.080043459470239179e-08 -2.067768546166546489e-08 -1.684548391510417673e+02 -9.940987226743719374e-01
4.490879128365858179e-11 6.073976588433667808e-09 -6.029067797150009446e-09 -1.342513932087027229e+02 -9.926063608198333332e-01
4.698350655961977071e-10 1.403951717418452343e-09 -9.341166518222547394e-10 -1.988179938500133970e+00 -6.653481314442085681e-01
5.607438834933431508e-10 2.397379066602911955e-10 3.210059768330519553e-10 5.724645177281951769e-01 1.338987151864630576e+00
1.384959292694439189e-09 4.922144385800661652e-08 -4.783648456531217899e-08 -3.453999320965331066e+01 -9.718626845508687717e-01
9.691182099942607598e-10 2.170001807591317545e-08 -2.073089986591891634e-08 -2.139150792145541047e+01 -9.553402118558614875e-01
2.053444597321272276e-10 6.302420278201154562e-09 -6.097075818469027438e-09 -2.969194214649224151e+01 -9.674181583157229758e-01
-4.316390813605022176e-10 1.458279112581195201e-09 -1.889918193941697212e-09 4.378468668742368841e+00 -1.295992089330888497e+00
-1.747211379157624652e-09 2.506090310906249683e-10 -1.997820410248249723e-09 1.143433721918323487e+00 -7.971861195719639248e+00
8.317422204797886697e-10 8.775646771976749937e-08 -8.692472549928771412e-08 -1.045092137431058603e+02 -9.905221547529033943e-01
7.580061027865223463e-10 3.889274626779129403e-08 -3.813474016500477117e-08 -5.030927854646135700e+01 -9.805103476733845191e-01
2.844631494557852492e-10 1.077612042111078612e-08 -1.049165727165500082e-08 -3.688230722231296710e+01 -9.736024526137893043e-01
1.027189637038914156e-09 2.342076310925011413e-09 -1.314886673886097257e-09 -1.280081716630756761e+00 -5.614192277820264643e-01
8.384874061714122242e-10 4.245807455631170114e-10 4.139066606082952128e-10 4.936349163527927186e-01 9.748597055651573307e-01
4.714240855035933585e-10 1.184778702539721640e-07 -1.180064461684685745e-07 -2.503190859296243787e+02 -9.960209946001473691e-01
1.701078596139051774e-10 4.975882118780311433e-08 -4.958871332818920799e-08 -2.915133577057580396e+02 -9.965813527018280160e-01
-2.352330452311193215e-10 1.343498092142025363e-08 -1.367021396665137290e-08 5.811349316683045885e+01 -1.017508997341117993e+00
-6.061980276994505670e-13 3.055454281223309829e-09 -3.056060479251009420e-09 5.041356684793086060e+03 -1.000198398657582644e+00
2.071009717535567680e-10 6.313612489560330969e-10 -4.242602772024763547e-10 -2.048567293577607806e+00 -6.719770621082592488e-01
7.932316545130758828e-10 1.481663119853511193e-07 -1.473730803308380506e-07 -1.857881988097194608e+02 -9.946463427220116893e-01
4.934104617171754979e-10 6.040115524556598770e-08 -5.990774478384880972e-08 -1.214156355245424947e+02 -9.918311088635445305e-01
7.480987540808805037e-10 1.613797940783750193e-08 -1.538988065375662091e-08 -2.057199075630695262e+01 -9.536435922258295061e-01
6.432603244535268608e-10 3.737865766444068020e-09 -3.094605441990541366e-09 -4.810813483047507333e+00 -8.279070558851348016e-01
-1.013339224233582006e-10 7.796387467661686449e-10 -8.809726691895267938e-10 8.693758695226982525e+00 -1.129975482675376286e+00
3.353162618682934715e-10 1.574694474451942692e-07 -1.571341311833259693e-07 -4.686147051378187598e+02 -9.978705947896019390e-01
4.414665288075374389e-10 6.359526167258320488e-08 -6.315379514377567199e-08 -1.430545489243836244e+02 -9.930581851981300501e-01
-1.932452923128313336e-10 1.694018692452905160e-08 -1.713343221684188440e-08 8.866157623703331581e+01 -1.011407506491738717e+00
-1.633424719608339354e-10 3.961417904939191296e-09 -4.124760376900025438e-09 2.525222207907479088e+01 -1.041233335103871394e+00
-1.312878356660587447e-10 8.282879565580187032e-10 -9.595757922240774996e-10 7.308946692249816302e+00 -1.158505064122422157e+00
5.243143576250069932e-10 1.811978554980317710e-07 -1.806735411404067717e-07 -3.445901080390128186e+02 -9.971063986591679473e-01
4.848811860811812985e-10 6.953011991254803020e-08 -6.904523872646684362e-08 -1.423962007775383825e+02 -9.930263145426607707e-01
