# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.098997937414277334e-11 -2.299766104499572614e-10 1.216893539721860540e+00 -5.610556871737063744e+00
-1.225654403117453744e-10 2.290908903314651888e-11 -1.454745293448918836e-10 1.186913121471086852e+00 -6.350079181865715405e+00
-5.190905464379474725e-10 7.550414042927895609e-12 -5.266409604808753374e-10 1.014545466286642217e+00 -6.974994450458703454e+01
3.668416608353331481e-10 1.806175542605228214e-12 3.650354852927279080e-10 9.950764165158002550e-01 2.021041015571501873e+02
6.676827973921091955e-10 3.522463261162619982e-13 6.673305510659929078e-10 9.994724346239081125e-01 1.894499677040590541e+03
4.548721662157189054e-10 4.886460891973651114e-11 4.060075572959823684e-10 8.925750737261797241e-01 8.308826495733912409e+00
4.132488493632760591e-10 2.913516428764258655e-11 3.841136850756334726e-10 9.294972887824530794e-01 1.318385169492769116e+01
-2.152952783550507314e-10 9.902325504332055638e-12 -2.251976038593827806e-10 1.045994160113450366e+00 -2.274189065597405701e+01
-5.335946767176399797e-10 2.357693753528041198e-12 -5.359523704711679765e-10 1.004418510634384809e+00 -2.273206050061300516e+02
-6.226714681408482057e-10 4.555323880072706752e-13 -6.231270005288555186e-10 1.000731577422950602e+00 -1.367909323099348740e+03
8.031198942505501301e-10 4.069816776993658066e-11 7.624217264806135623e-10 9.493249164149830666e-01 1.873356389876127537e+01
1.375952790858379807e-09 2.624456349908049081e-11 1.349708227359299368e-09 9.809262616614136121e-01 5.142810728807084075e+01
5.651602840720748566e-10 9.255353046299694652e-12 5.559049310257751522e-10 9.836234899954162669e-01 6.006307141876417433e+01
-2.374520260922235148e-10 2.172362926405367256e-12 -2.396243890186288982e-10 1.009148639252131163e+00 -1.103058729763621955e+02
-8.374678107506620310e-10 3.676190657946149078e-13 -8.378354298164566715e-10 1.000438965009849301e+00 -2.279085901068436215e+03
6.572999554875109925e-10 3.612069118899325561e-11 6.211792642985177045e-10 9.450468680433683488e-01 1.719732496391996790e+01
1.227491330369275912e-10 2.474658874220636441e-11 9.800254429472122678e-11 7.983970384967065126e-01 3.960244594341752578e+00
4.490879128365858179e-11 8.905870098734181376e-12 3.600292118492439879e-11 8.016898285575801975e-01 4.042605695544740030e+00
4.698350655961977071e-10 2.046578705052262880e-12 4.677884868911454677e-10 9.956440486142615898e-01 2.285709734672528555e+02
5.607438834933431508e-10 3.391571238871442498e-13 5.604047263694560324e-10 9.993951657184840798e-01 1.652345437850607368e+03
1.384959292694439189e-09 3.560519306908961219e-11 1.349354099625349596e-09 9.742915237603700929e-01 3.789767680818395945e+01
9.691182099942607598e-10 2.445871239197211387e-11 9.446594976022885426e-10 9.747618895819560869e-01 3.862261767763157394e+01
2.053444597321272276e-10 8.900164115023804249e-12 1.964442956171034136e-10 9.566573935004912821e-01 2.207198576097020748e+01
-4.316390813605022176e-10 2.119470033415194400e-12 -4.337585513939174249e-10 1.004910282977006464e+00 -2.046542506170674187e+02
-1.747211379157624652e-09 3.761670281079915556e-13 -1.747587546185732682e-09 1.000215295660614068e+00 -4.645775455056704232e+03
8.317422204797886697e-10 2.442120109631721421e-10 5.875302095166165793e-10 7.063849772802216487e-01 2.405820283774731116e+00
7.580061027865223463e-10 1.249960953755296931e-10 6.330100074109926273e-10 8.350988271518805517e-01 5.064238250876723413e+00
2.844631494557852492e-10 3.825809840960624213e-11 2.462050510461790006e-10 8.655077169651009816e-01 6.435370843846207833e+00
1.027189637038914156e-09 8.697332110830102145e-12 1.018492304928083983e-09 9.915328856549779912e-01 1.171039914251217056e+02
8.384874061714122242e-10 1.659309689740204368e-12 8.368280964816720592e-10 9.980210678448747652e-01 5.043230336421967195e+02
4.714240855035933585e-10 3.009018059886430024e-10 1.705222795149503562e-10 3.617173682010580427e-01 5.667040746222254954e-01
1.701078596139051774e-10 1.530011270354527020e-10 1.710673257845247540e-11 1.005640340033654434e-01 1.118078860588300333e-01
-2.352330452311193215e-10 4.651002977626998533e-11 -2.817430750073893068e-10 1.197718946037421350e+00 -6.057684253540045027e+00
-6.061980276994505670e-13 1.058332878832220138e-11 -1.118952681602165205e-11 1.845853385318065421e+01 -1.057278578396651403e+00
2.071009717535567680e-10 2.091403164811248818e-12 2.050095685887455240e-10 9.899015289638527504e-01 9.802489163166578123e+01
7.932316545130758828e-10 3.533736965781186025e-10 4.398579579349572803e-10 5.545138742666081422e-01 1.244738819539501273e+00
4.934104617171754979e-10 1.807010642662513969e-10 3.127093974509241010e-10 6.337713155951892885e-01 1.730534342565724470e+00
7.480987540808805037e-10 5.528397569654286933e-11 6.928147783843375956e-10 9.261006980763318852e-01 1.253192755505212475e+01
6.432603244535268608e-10 1.288713654537768079e-11 6.303731879081491623e-10 9.799659079606288792e-01 4.891491493773684596e+01
-1.013339224233582006e-10 2.709616464888430197e-12 -1.040435388882466369e-10 1.026739480719675024e+00 -3.839788406826450284e+01
3.353162618682934715e-10 3.694071753655449662e-10 -3.409091349725149469e-11 -1.016679397154970910e-01 -9.228546647345711729e-02
4.414665288075374389e-10 1.895202935805684386e-10 2.519462352269689745e-10 5.707029158190335405e-01 1.329389219840260372e+00
-1.932452923128313336e-10 5.828126866725362902e-11 -2.515265609800849885e-10 1.301592178364201269e+00 -4.315735857023470956e+00
-1.633424719608339354e-10 1.378271429505321074e-11 -1.771251862558871461e-10 1.084379243987185548e+00 -1.285125574426654183e+01
-1.312878356660587447e-10 2.937559615849120241e-12 -1.342253952819078532e-10 1.022374956529263246e+00 -4.569282426055858792e+01
5.243143576250069932e-10 5.171569440589823148e-10 7.157413566024678316e-12 1.365099670061621119e-02 1.383992547764836302e-02
4.848811860811812985e-10 2.450437896714373384e-10 2.398373964097439600e-10 4.946312690498763653e-01 9.787532127679127170e-01
-3.759829428745306495e-11 7.174968133682642138e-11 -1.093479756242794799e-10 2.908322776248124075e+00 -1.524020366180431463e+00
2.974464036561868337e-10 1.644421590412187738e-11 2.810021877520649758e-10 9.447153648455960395e-01 1.708820836398952281e+01
-2.458381650188194397e-10 3.216229447761991771e-12 -2.490543944665814339e-10 1.013082710113442975e+00 -7.743676205685062541e+01
5.632866116741176282e-10 7.207847008531521355e-10 -1.574980891790345074e-10 -2.796055967155722799e-01 -2.185092011423285241e-01
3.552798407750990445e-10 3.334405283475034693e-10 2.183931242759557518e-11 6.147073354893897029e-02 6.549687446762675336e-02
-2.078952733090685192e-10 9.604515253793186341e-11 -3.039404258470003956e-10 1.461988149173290230e+00 -3.164557687874594460e+00
-1.442956260428126750e-10 2.124145268427518758e-11 -1.655370787270878658e-10 1.147207876404880311e+00 -7.793114773625305247e+00
-2.648102702146158892e-10 3.120936812906185672e-12 -2.679312070275220612e-10 1.011785558053986289e+00 -8.584960961706467231e+01
7.259947424319820492e-10 7.900443873284598492e-10 -6.404964489647780003e-11 -8.822329027056083350e-02 -8.107094477699168522e-02
8.868885298187272894e-10 3.647231405452962120e-10 5.221653892734310257e-10 5.887610130442856304e-01 1.431676061169969927e+00
2.886404154093102008e-10 1.048044459292121938e-10 1.838359694800980070e-10 6.369030796307824094e-01 1.754085600569520453e+00
-1.314381489561711098e-10 2.248959547609943737e-11 -1.539277444322705471e-10 1.171104018541821778e+00 -6.844398094925963072e+00
-7.308511046704866833e-10 2.355685029763758177e-12 -7.332067897002504923e-10 1.003223207866431155e+00 -3.112499253662026035e+02
5.281775264915396830e-10 1.174515458342734372e-09 -6.463379318511946889e-10 -1.223713428597662300e+00 -5.503017667925723666e-01
-5.419666256695689987e-10 5.028065787531573784e-10 -1.044773204422726377e-09 1.927744541708575454e+00 -2.077882924709376855e+00
3.018834755226183122e-10 1.322478325925062395e-10 1.696356429301120727e-10 5.619242412538154596e-01 1.282710193465389059e+00
6.503704506129455257e-10 2.510548807223099512e-11 6.252649625407145532e-10 9.613981723053836026e-01 2.490550913576206327e+01
