# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.051118678722136802e-10 -2.940984989480281811e-10 1.556186790959021238e+00 -2.797957118463243464e+00
-1.225654403117453744e-10 5.540235988133088190e-11 -1.779678001930762628e-10 1.452022688780906901e+00 -3.212278332083227106e+00
-5.190905464379474725e-10 1.736362641467937812e-11 -5.364541728526268571e-10 1.033450091768826073e+00 -3.089528420164023359e+01
3.668416608353331481e-10 4.009664866799104910e-12 3.628319959685340667e-10 9.890697668916101915e-01 9.048935709636526781e+01
6.676827973921091955e-10 7.792465739569566289e-13 6.669035508181522848e-10 9.988329090145791067e-01 8.558312260927439183e+02
4.548721662157189054e-10 1.761347258698690749e-10 2.787374403458498305e-10 6.127819221492246671e-01 1.582524053500870442e+00
4.132488493632760591e-10 9.018127573464584155e-11 3.230675736286302434e-10 7.817748896975879047e-01 3.582424078577479687e+00
-2.152952783550507314e-10 2.761986279537416268e-11 -2.429151411504248941e-10 1.128288288560724162e+00 -8.794943803671207760e+00
-5.335946767176399797e-10 6.296358962591760350e-12 -5.398910356802317110e-10 1.011799890885949571e+00 -8.574654635923063495e+01
-6.226714681408482057e-10 1.197291779445111350e-12 -6.238687599202932847e-10 1.001922830642971274e+00 -5.210666026700920384e+02
8.031198942505501301e-10 1.901986144349469087e-10 6.129212798156032472e-10 7.631753169152469818e-01 3.222532833041425793e+00
1.375952790858379807e-09 9.730130685309638192e-11 1.278651484005283490e-09 9.292844147709490299e-01 1.314115426975473788e+01
5.651602840720748566e-10 2.979905237356083790e-11 5.353612316985140575e-10 9.472732723558463519e-01 1.796571330481342699e+01
-2.374520260922235148e-10 6.843419087034740606e-12 -2.442954451792582586e-10 1.028820217707373308e+00 -3.569786419219748552e+01
-8.374678107506620310e-10 1.329365471150099513e-12 -8.387971762218121126e-10 1.001587363065284286e+00 -6.309756003336896129e+02
6.572999554875109925e-10 2.057039536322730258e-10 4.515960018552379408e-10 6.870470598469688994e-01 2.195368605615301671e+00
1.227491330369275912e-10 1.051380724924180693e-10 1.761106054450952184e-11 1.434719749850408010e-01 1.675041222177582334e-01
4.490879128365858179e-11 3.214718098963772885e-11 1.276161029402085293e-11 2.841673073188356047e-01 3.969744749355910707e-01
4.698350655961977071e-10 7.373969995016923769e-12 4.624610956011807979e-10 9.843051944501849393e-01 6.271534816573652193e+01
5.607438834933431508e-10 1.431861939109116735e-12 5.593120215542340185e-10 9.974464956618181999e-01 3.906186806684935391e+02
1.384959292694439189e-09 2.106790641233231610e-10 1.174280228571116002e-09 8.478806812339971799e-01 5.573786998995490904e+00
9.691182099942607598e-10 1.076889777633801744e-10 8.614292322308805466e-10 8.888794198139998715e-01 7.999233070293021441e+00
2.053444597321272276e-10 3.290721888379483364e-11 1.724372408483323810e-10 8.397462540420010946e-01 5.240103743110577028e+00
-4.316390813605022176e-10 7.539695291905589367e-12 -4.391787766524077860e-10 1.017467591831909379e+00 -5.824887606849286215e+01
-1.747211379157624652e-09 1.465782515541704951e-12 -1.748677161673166316e-09 1.000838926836802312e+00 -1.192999058954467728e+03
8.317422204797886697e-10 4.111467925637524673e-10 4.205954279160362024e-10 5.056800262867702234e-01 1.022981172474594080e+00
7.580061027865223463e-10 1.954107512270905215e-10 5.625953515594317730e-10 7.422042507194375194e-01 2.879039909659981245e+00
2.844631494557852492e-10 5.730146255122871655e-11 2.271616869045565327e-10 7.985627921899416393e-01 3.964326158367584174e+00
1.027189637038914156e-09 1.326427328859835839e-11 1.013925363750315759e-09 9.870868310871637741e-01 7.644032520212479653e+01
8.384874061714122242e-10 2.781935706057021655e-12 8.357054704653552539e-10 9.966821973883192021e-01 3.004043079233642288e+02
4.714240855035933585e-10 4.842101794946730904e-10 -1.278609399107973192e-11 -2.712227564151953318e-02 -2.640608259087703566e-02
1.701078596139051774e-10 2.278612365652658316e-10 -5.775337695136065424e-11 -3.395103382197849906e-01 -2.534585426723885426e-01
-2.352330452311193215e-10 6.678204998046017980e-11 -3.020150952115794884e-10 1.283897400192417715e+00 -4.522399286933335816e+00
-6.061980276994505670e-13 1.548955796993109590e-11 -1.609575599763054495e-11 2.655197684940460690e+01 -1.039135915232456853e+00
2.071009717535567680e-10 2.866046492802470754e-12 2.042349252607542851e-10 9.861611151867843983e-01 7.126015777261511630e+01
7.932316545130758828e-10 5.522491186041106299e-10 2.409825359089652529e-10 3.037984358514941308e-01 4.363656324487821814e-01
4.934104617171754979e-10 2.595694307502555126e-10 2.338410309669199853e-10 4.739279952701092591e-01 9.008804707512338972e-01
