# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.108010582748260888e-11 -2.300667369032970904e-10 1.217370432996410123e+00 -5.600441680200890282e+00
-1.225654403117453744e-10 2.295786800936577617e-11 -1.455233083211111538e-10 1.187311104590106359e+00 -6.338711776796704278e+00
-5.190905464379474725e-10 7.565964420429370242e-12 -5.266565108583768847e-10 1.014575423251969921e+00 -6.960864228178448343e+01
3.668416608353331481e-10 1.809374723565870054e-12 3.650322861117672678e-10 9.950676956389147287e-01 2.017449903314504525e+02
6.676827973921091955e-10 3.523213708561831284e-13 6.673304760212530627e-10 9.994723222281115538e-01 1.894095934060315585e+03
4.548721662157189054e-10 4.880660150894958705e-11 4.060655647067692990e-10 8.927025983695746625e-01 8.319890181911349103e+00
4.132488493632760591e-10 2.912693989505312534e-11 3.841219094682229467e-10 9.295171905743204732e-01 1.318785670078104033e+01
-2.152952783550507314e-10 9.904821034370850857e-12 -2.252000993894215823e-10 1.046005751310702170e+00 -2.273641276384012855e+01
-5.335946767176399797e-10 2.358977554774055851e-12 -5.359536542724140444e-10 1.004420916582761114e+00 -2.271974369521917652e+02
-6.226714681408482057e-10 4.560430084315627107e-13 -6.231275111492797492e-10 1.000732397470841528e+00 -1.366378827497781913e+03
8.031198942505501301e-10 4.055126773383466278e-11 7.625686265167154350e-10 9.495078281286057909e-01 1.880505022733118992e+01
1.375952790858379807e-09 2.619999795026642432e-11 1.349752792908113335e-09 9.809586505261407297e-01 5.151728620247422441e+01
5.651602840720748566e-10 9.249023254826688097e-12 5.559112608172481636e-10 9.836346899888542827e-01 6.010486140005548350e+01
-2.374520260922235148e-10 2.171949670360207895e-12 -2.396239757625837223e-10 1.009146898875129539e+00 -1.103266705636153944e+02
-8.374678107506620310e-10 3.684066048749844958e-13 -8.378362173555369671e-10 1.000439905391163231e+00 -2.274216059833805957e+03
6.572999554875109925e-10 3.590743464081890838e-11 6.213925208466920647e-10 9.453713113152626413e-01 1.730540003936411964e+01
1.227491330369275912e-10 2.467093548620763017e-11 9.807819755071995779e-11 7.990133626541729983e-01 3.975455150679263916e+00
4.490879128365858179e-11 8.890491628934788056e-12 3.601829965472379696e-11 8.020322664045991257e-01 4.051328223233400472e+00
4.698350655961977071e-10 2.043985465971951947e-12 4.677910801302257814e-10 9.956495680811345839e-01 2.288622340608389152e+02
5.607438834933431508e-10 3.401631813081890615e-13 5.604037203120349387e-10 9.993933715706553311e-01 1.647455548119145760e+03
1.384959292694439189e-09 3.538574695090117673e-11 1.349573545743538070e-09 9.744499732681253246e-01 3.813890229916901831e+01
9.691182099942607598e-10 2.437604482602435450e-11 9.447421651682363504e-10 9.748471914213966416e-01 3.875699162481070914e+01
2.053444597321272276e-10 8.883040054988338241e-12 1.964614196771389006e-10 9.567407853780116600e-01 2.211646220899504911e+01
-4.316390813605022176e-10 2.117258700565551487e-12 -4.337563400610677885e-10 1.004905159870816300e+00 -2.048669536439760464e+02
-1.747211379157624652e-09 3.776721956953939491e-13 -1.747589051353320078e-09 1.000216157129126149e+00 -4.627264255277115808e+03
8.317422204797886697e-10 2.453033240379195635e-10 5.864388964418691062e-10 7.050728963879976385e-01 2.390668364327651840e+00
7.580061027865223463e-10 1.255415248247857836e-10 6.324645779617365368e-10 8.343792690279405733e-01 5.037891477297625542e+00
2.844631494557852492e-10 3.841904540017328760e-11 2.460441040556119746e-10 8.649419249077644478e-01 6.404222215643655680e+00
1.027189637038914156e-09 8.733852280560083601e-12 1.018455784758354029e-09 9.914973321715576660e-01 1.166101454481026138e+02
8.384874061714122242e-10 1.667457805928822885e-12 8.368199483654833504e-10 9.980113502079386301e-01 5.018537472972817568e+02
4.714240855035933585e-10 3.023741537095707015e-10 1.690499317940226570e-10 3.585941766497505179e-01 5.590753366982368355e-01
1.701078596139051774e-10 1.537255508704619578e-10 1.638230874344321957e-11 9.630541928295520415e-02 1.065685479783897577e-01
-2.352330452311193215e-10 4.671931258671494164e-11 -2.819523578178342761e-10 1.198608628905911910e+00 -6.035027961820011555e+00
-6.061980276994505670e-13 1.062862090471725282e-11 -1.123481893241670349e-11 1.853324890391570179e+01 -1.057034495174289601e+00
2.071009717535567680e-10 2.100348554867209891e-12 2.050006231986895528e-10 9.898583355882725199e-01 9.760314435603298477e+01
7.932316545130758828e-10 3.551968143105327604e-10 4.380348402025431224e-10 5.522155321340903589e-01 1.233217254644600303e+00
4.934104617171754979e-10 1.815978696872721652e-10 3.118125920299033326e-10 6.319537509292523225e-01 1.717049834157595711e+00
7.480987540808805037e-10 5.554109187389620567e-11 6.925576622069843110e-10 9.257570052470754929e-01 1.246928425136848873e+01
6.432603244535268608e-10 1.294306081305183615e-11 6.303172636404750699e-10 9.798789691808718061e-01 4.869924299551003344e+01
-1.013339224233582006e-10 2.721983766656651069e-12 -1.040559061900148533e-10 1.026861525751313620e+00 -3.822796721444973400e+01
3.353162618682934715e-10 3.713330352184374354e-10 -3.601677335014396390e-11 -1.074113529402601491e-01 -9.699318383821418921e-02
4.414665288075374389e-10 1.904677242115795856e-10 2.509988045959578533e-10 5.685568173739934394e-01 1.317802297659302013e+00
-1.932452923128313336e-10 5.855351327816569174e-11 -2.517988055909970254e-10 1.303000981692105098e+00 -4.300319340272474200e+00
-1.633424719608339354e-10 1.384312225025278625e-11 -1.771855942110867346e-10 1.084749067918918675e+00 -1.279953980091819155e+01
-1.312878356660587447e-10 2.951491957523871165e-12 -1.342393276235826150e-10 1.022481077112362691e+00 -4.548185445038500063e+01
5.243143576250069932e-10 5.201591717532835632e-10 4.155185871723429986e-12 7.924989677080798017e-03 7.988296847131773348e-03
4.848811860811812985e-10 2.463599524811585943e-10 2.385212336000227042e-10 4.919168663312258327e-01 9.681818461069260362e-01
-3.759829428745306495e-11 7.210692111165072918e-11 -1.097052153991038006e-10 2.917824265121344851e+00 -1.521424208769580844e+00
2.974464036561868337e-10 1.652500397574623873e-11 2.809213996804406176e-10 9.444437593710254264e-01 1.699977803894929096e+01
-2.458381650188194397e-10 3.234130795663833735e-12 -2.490722958144832730e-10 1.013155527724575400e+00 -7.701367432276622083e+01
5.632866116741176282e-10 7.252843844464665473e-10 -1.619977727723489191e-10 -2.875938632570778641e-01 -2.233575908241631491e-01
3.552798407750990445e-10 3.353378218285798964e-10 1.994201894651914813e-11 5.613045452568456162e-02 5.946844539567992804e-02
-2.078952733090685192e-10 9.654842845424592568e-11 -3.044437017633144320e-10 1.464408963789723739e+00 -3.153274544573136939e+00
-1.442956260428126750e-10 2.135448183349854807e-11 -1.656501078763112198e-10 1.147991192935831961e+00 -7.757158856294871896e+00
-2.648102702146158892e-10 3.142174255253017507e-12 -2.679524444698689140e-10 1.011865756765047086e+00 -8.527612497044425766e+01
7.259947424319820492e-10 7.950791227076410261e-10 -6.908438027565897686e-11 -9.515823770876886967e-02 -8.688994378369815919e-02
8.868885298187272894e-10 3.668299411591196159e-10 5.200585886596076735e-10 5.863855165269792336e-01 1.417710307441949480e+00
2.886404154093102008e-10 1.053635560296926008e-10 1.832768593796176000e-10 6.349660324584813775e-01 1.739471087403012373e+00
-1.314381489561711098e-10 2.261577514253315129e-11 -1.540539240987042740e-10 1.172064011264146277e+00 -6.811790581034622427e+00
-7.308511046704866833e-10 2.375766681684017372e-12 -7.332268713521707184e-10 1.003250684943214566e+00 -3.086274746611214823e+02
5.281775264915396830e-10 1.182295315125974496e-09 -6.541177886344348134e-10 -1.238443053379160386e+00 -5.532609156661828509e-01
-5.419666256695689987e-10 5.057591253837410277e-10 -1.047725751053310026e-09 1.933192380174525216e+00 -2.071590404341900449e+00
3.018834755226183122e-10 1.329381748350822823e-10 1.689453006875360299e-10 5.596374574496310039e-01 1.270856177295368594e+00
6.503704506129455257e-10 2.522587069926311519e-11 6.251445799136823653e-10 9.612130737559050342e-01 2.478188314554168059e+01
5.795016297527579246e-11 3.335340220467107124e-12 5.461482275480868494e-11 9.424446791997787010e-01 1.637458824130391122e+01
1.352349073539644995e-09 1.374330289344527192e-09 -2.198121580488219639e-11 -1.625409905990356230e-02 -1.599412890431594486e-02
5.619686650340384022e-10 5.727053076313863840e-10 -1.073664259734798188e-11 -1.910541150314433445e-02 -1.874723781023253377e-02
4.991054217839956411e-10 1.448675306500011575e-10 3.542378911339944836e-10 7.097456282238157055e-01 2.445253878109032719e+00
2.864546895915383006e-10 2.597702036534448886e-11 2.604776692261938118e-10 9.093154299467547386e-01 1.002723428487174573e+01
-1.652498442680650529e-10 4.447928967690222522e-12 -1.696977732357552827e-10 1.026916388256771340e+00 -3.815208706533775995e+01
1.283787225956523034e-09 1.695063208322934907e-09 -4.112759823664118736e-10 -3.203614851830128840e-01 -2.426316495733046585e-01
5.194962200390622909e-10 6.699875942314549309e-10 -1.504913741923926400e-10 -2.896871399392988988e-01 -2.246181503778764965e-01
7.247182187875589696e-10 1.664770829800516665e-10 5.582411358075072772e-10 7.702871562156047291e-01 3.353261156518457575e+00
-3.516667382857595751e-10 3.721965021152124961e-11 -3.888863884972808183e-10 1.105837846345528064e+00 -1.044841599228415063e+01
-4.030469475903973660e-10 1.219944667136249444e-11 -4.152463942617598701e-10 1.030268053744846535e+00 -3.403813348653977044e+01
