# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.124679361270416644e-11 -2.302334246885186480e-10 1.218252441338866232e+00 -5.581850236659508191e+00
-1.225654403117453744e-10 2.304900606197189193e-11 -1.456144463737172760e-10 1.188054691463978019e+00 -6.317601981716848059e+00
-5.190905464379474725e-10 7.595365618160939435e-12 -5.266859120561084216e-10 1.014632063077012480e+00 -6.934306240594570170e+01
3.668416608353331481e-10 1.816573512420786966e-12 3.650250873229123824e-10 9.950480719439437349e-01 2.009415445216283729e+02
6.676827973921091955e-10 3.540667226302597228e-13 6.673287306694789790e-10 9.994697081847649933e-01 1.884754166424017512e+03
4.548721662157189054e-10 4.916728757980551104e-11 4.057048786359133879e-10 8.919096589513274553e-01 8.251520443900766111e+00
4.132488493632760591e-10 2.931963825063608721e-11 3.839292111126399525e-10 9.290508895649410848e-01 1.309460941607322404e+01
-2.152952783550507314e-10 9.965201025900068001e-12 -2.252604793809507978e-10 1.046286203311278085e+00 -2.260471000991222112e+01
-5.335946767176399797e-10 2.372566125545746184e-12 -5.359672428431856875e-10 1.004446382674093252e+00 -2.259019198969219815e+02
-6.226714681408482057e-10 4.584441303627128568e-13 -6.231299122712109115e-10 1.000736253632644290e+00 -1.359227593945202443e+03
8.031198942505501301e-10 4.096697751541542045e-11 7.621529167351347484e-10 9.489902095456810294e-01 1.860407974809332643e+01
1.375952790858379807e-09 2.642156560659169886e-11 1.349531225251788164e-09 9.807976219953674635e-01 5.107688338177450049e+01
5.651602840720748566e-10 9.317961057016527851e-12 5.558423230150583513e-10 9.835127107837815519e-01 5.965278451088856571e+01
-2.374520260922235148e-10 2.186894102503568075e-12 -2.396389201947270623e-10 1.009209835512855147e+00 -1.095795721980260282e+02
-8.374678107506620310e-10 3.702166256974977183e-13 -8.378380273763594793e-10 1.000442066693125298e+00 -2.263102111629511455e+03
6.572999554875109925e-10 3.638573530653769965e-11 6.209142201809733251e-10 9.446436364360456528e-01 1.706477043682030370e+01
1.227491330369275912e-10 2.492395135045807813e-11 9.782518168646951628e-11 7.969521190592848692e-01 3.924946743433263219e+00
4.490879128365858179e-11 8.968732461696623955e-12 3.594005882196195783e-11 8.002900500027448905e-01 4.007261781467293282e+00
4.698350655961977071e-10 2.060862279516825254e-12 4.677742033166808827e-10 9.956136473617572813e-01 2.269798462352136426e+02
5.607438834933431508e-10 3.420765469775191700e-13 5.604018069463656230e-10 9.993899593788764246e-01 1.638235102341566062e+03
1.384959292694439189e-09 3.588511999737220761e-11 1.349074172697066994e-09 9.740894045141517132e-01 3.759425000657255111e+01
9.691182099942607598e-10 2.463954267139449760e-11 9.444786673228662396e-10 9.745752969892698125e-01 3.833182619981690920e+01
2.053444597321272276e-10 8.964827989576586370e-12 1.963796317425506509e-10 9.563424890972406223e-01 2.190556606003834261e+01
-4.316390813605022176e-10 2.135032739152734739e-12 -4.337741140996549737e-10 1.004946337881230001e+00 -2.031697716597047076e+02
-1.747211379157624652e-09 3.794271955234518836e-13 -1.747590806353148088e-09 1.000217161586771653e+00 -4.605865965780863007e+03
8.317422204797886697e-10 2.460256986341564791e-10 5.857165218456321906e-10 7.042043885998271469e-01 2.380712767395086527e+00
7.580061027865223463e-10 1.258906206091564182e-10 6.321154821773659281e-10 8.339187242076716577e-01 5.021148351789046949e+00
2.844631494557852492e-10 3.852091145717388635e-11 2.459422379986113629e-10 8.645838255996625143e-01 6.384642229248411738e+00
1.027189637038914156e-09 8.755920308803908923e-12 1.018433716730110158e-09 9.914758482824604924e-01 1.163137261203821993e+02
8.384874061714122242e-10 1.671040468836286877e-12 8.368163657025759351e-10 9.980070774390442656e-01 5.007756432645435325e+02
4.714240855035933585e-10 3.032821265678534527e-10 1.681419589357399058e-10 3.566681552897836838e-01 5.544077418559033577e-01
1.701078596139051774e-10 1.541556908852295055e-10 1.595216872867567191e-11 9.377678823825309762e-02 1.034808941341791022e-01
-2.352330452311193215e-10 4.684457389997493620e-11 -2.820776191310942448e-10 1.199141127701465415e+00 -6.021564412847506986e+00
-6.061980276994505670e-13 1.065743201910165628e-11 -1.126363004680110695e-11 1.858077646597944366e+01 -1.056880309122586237e+00
2.071009717535567680e-10 2.106100107611199150e-12 2.049948716459455814e-10 9.898305638559853348e-01 9.733386884370696635e+01
7.932316545130758828e-10 3.563073768146904624e-10 4.369242776983854204e-10 5.508154839919880974e-01 1.226256614736389361e+00
4.934104617171754979e-10 1.821195592289398874e-10 3.112909024882356363e-10 6.308964374303611677e-01 1.709266724596649745e+00
7.480987540808805037e-10 5.569402795448757514e-11 6.924047261263928963e-10 9.255525722363838748e-01 1.243229752913933517e+01
6.432603244535268608e-10 1.297882402582786292e-11 6.302815004276989898e-10 9.798233723852720622e-01 4.856229648953084421e+01
-1.013339224233582006e-10 2.728358076677644257e-12 -1.040622805000358485e-10 1.026924429760835311e+00 -3.814099087270604826e+01
3.353162618682934715e-10 3.725185032518143467e-10 -3.720224138352087514e-11 -1.109467258648293153e-01 -9.986682824818764181e-02
4.414665288075374389e-10 1.910239222952964272e-10 2.504426065122409859e-10 5.672969300497624490e-01 1.311053628796772008e+00
-1.932452923128313336e-10 5.871723478284990780e-11 -2.519625270956812156e-10 1.303848202872630146e+00 -4.291117046425937609e+00
-1.633424719608339354e-10 1.388131440585838478e-11 -1.772237863666923299e-10 1.084982884360822242e+00 -1.276707530606020136e+01
-1.312878356660587447e-10 2.957574619269036779e-12 -1.342454102853277855e-10 1.022527407846008485e+00 -4.539037135722596616e+01
5.243143576250069932e-10 5.214203070590281743e-10 2.894050565978818829e-12 5.519685898147123383e-03 5.550321931844502156e-03
4.848811860811812985e-10 2.469186185561423503e-10 2.379625675250389482e-10 4.907646952612387814e-01 9.637287334447521836e-01
-3.759829428745306495e-11 7.226328275089367273e-11 -1.098615770383467441e-10 2.921983008016634464e+00 -1.520295962986653704e+00
2.974464036561868337e-10 1.655819561442414061e-11 2.808882080417626931e-10 9.443321707343166338e-01 1.696369668426165589e+01
-2.458381650188194397e-10 3.236714773419884877e-12 -2.490748797922393447e-10 1.013166038613948050e+00 -7.695299006191669378e+01
5.632866116741176282e-10 7.269538888634354506e-10 -1.636672771893178224e-10 -2.905577263817615274e-01 -2.251412086744667418e-01
3.552798407750990445e-10 3.360385330117939509e-10 1.924130776330509357e-11 5.415817492297661517e-02 5.725923033543828949e-02
-2.078952733090685192e-10 9.672696330059312721e-11 -3.046222366096616335e-10 1.465267736783959940e+00 -3.149300114622679558e+00
-1.442956260428126750e-10 2.138051111825366516e-11 -1.656761371610663369e-10 1.148171581527426488e+00 -7.748932485511065060e+00
-2.648102702146158892e-10 3.137278220878351588e-12 -2.679475484354942517e-10 1.011847267926337501e+00 -8.540764623689521784e+01
7.259947424319820492e-10 7.969128823042372237e-10 -7.091813987225517451e-11 -9.768409566533389765e-02 -8.899108227137526861e-02
8.868885298187272894e-10 3.675850994499598500e-10 5.193034303687674911e-10 5.855340473000691937e-01 1.412743419539674194e+00
2.886404154093102008e-10 1.055452923865363139e-10 1.830951230227738869e-10 6.343364035252427868e-01 1.734754046179799891e+00
-1.314381489561711098e-10 2.263306819594011110e-11 -1.540712171521112144e-10 1.172195579256728903e+00 -6.807350016280527605e+00
-7.308511046704866833e-10 2.366338844146146944e-12 -7.332174435146328799e-10 1.003237785137115035e+00 -3.098531071864316573e+02
5.281775264915396830e-10 1.184611529857762259e-09 -6.564340033662225765e-10 -1.242828349260970189e+00 -5.541344034065255331e-01
-5.419666256695689987e-10 5.066125578739518522e-10 -1.048579183543520747e-09 1.934767075828812688e+00 -2.069785218005617100e+00
