# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 7.575956310305251792e-11 -2.647461941788670060e-10 1.400872604965694990e+00 -3.494558090557412289e+00
-1.225654403117453744e-10 4.169587091049989449e-11 -1.642613112222452818e-10 1.340192723205223313e+00 -3.939510259297182238e+00
-5.190905464379474725e-10 1.349503142272648330e-11 -5.325855778606739235e-10 1.025997451726545107e+00 -3.946530846632681744e+01
3.668416608353331481e-10 3.150952403467757809e-12 3.636907084318653964e-10 9.914105927982859168e-01 1.154224697369621424e+02
6.676827973921091955e-10 5.973495430699842427e-13 6.670854478490392567e-10 9.991053393236981606e-01 1.116742208290071403e+03
4.548721662157189054e-10 1.304781683527833552e-10 3.243939978629355502e-10 7.131542045355545589e-01 2.486193682500568158e+00
4.132488493632760591e-10 7.077248596006126958e-11 3.424763634032147637e-10 8.287412389191020079e-01 4.839117331507655884e+00
-2.152952783550507314e-10 2.259120268660832964e-11 -2.378864810416590610e-10 1.104931250045123603e+00 -1.053004943303324126e+01
-5.335946767176399797e-10 5.262464067193044039e-12 -5.388571407848330149e-10 1.009862287419291071e+00 -1.023963553773498916e+02
-6.226714681408482057e-10 1.022007931881918754e-12 -6.236934760727301238e-10 1.001641327705175666e+00 -6.102628527787107942e+02
8.031198942505501301e-10 1.411917071753944359e-10 6.619281870751557459e-10 8.241959784757284524e-01 4.688152019104634860e+00
1.375952790858379807e-09 7.645146968103054833e-11 1.299501321177349324e-09 9.444374326001863107e-01 1.699772844916004289e+01
5.651602840720748566e-10 2.425963674363937606e-11 5.409006473284355064e-10 9.570747672344479540e-01 2.229632096491527449e+01
-2.374520260922235148e-10 5.566943987207980592e-12 -2.430189700794314833e-10 1.023444499837814936e+00 -4.365392765543418108e+01
-8.374678107506620310e-10 1.084764396860974612e-12 -8.385525751475229662e-10 1.001295290855285014e+00 -7.730273758744991710e+02
6.572999554875109925e-10 1.555797424237461071e-10 5.017202130637649112e-10 7.633048030433007280e-01 3.224842805673571178e+00
1.227491330369275912e-10 8.349946440591435131e-11 3.924966863101323987e-11 3.197551596491149950e-01 4.700589268478367333e-01
4.490879128365858179e-11 2.631554077203079118e-11 1.859325051162779061e-11 4.140225105188592436e-01 7.065501968095385665e-01
4.698350655961977071e-10 6.080995773208486356e-12 4.637540698229892022e-10 9.870571691674566717e-01 7.626285021709543344e+01
5.607438834933431508e-10 1.280760005726207558e-12 5.594631234876168958e-10 9.977159625928555542e-01 4.368212006826321954e+02
1.384959292694439189e-09 1.614978412917175980e-10 1.223461451402721591e-09 8.833916331378062203e-01 7.575713963834058262e+00
9.691182099942607598e-10 8.614676225024874675e-11 8.829714477440120648e-10 9.111080966575183515e-01 1.024961849615494458e+01
2.053444597321272276e-10 2.719503256979581232e-11 1.781494271623314152e-10 8.675638358820497720e-01 6.550807641252587743e+00
-4.316390813605022176e-10 6.350974668987287762e-12 -4.379900560294894908e-10 1.014713622892925660e+00 -6.896422657269556566e+01
-1.747211379157624652e-09 1.314098748950444835e-12 -1.748525477906575117e-09 1.000752112059609011e+00 -1.330589104740493667e+03
8.317422204797886697e-10 4.198720554164676771e-10 4.118701650633209926e-10 4.951896812761706346e-01 9.809420744964566508e-01
7.580061027865223463e-10 2.065777086633163084e-10 5.514283941232060378e-10 7.274722355085115888e-01 2.669350907662225048e+00
2.844631494557852492e-10 6.165792270780692074e-11 2.228052267479783285e-10 7.832481190418987271e-01 3.613570113346804114e+00
1.027189637038914156e-09 1.409203993913835577e-11 1.013097597099775739e-09 9.862809753613153152e-01 7.189147926596925231e+01
8.384874061714122242e-10 2.851786515339250111e-12 8.356356196560729329e-10 9.965988916537688036e-01 2.930218006016012282e+02
4.714240855035933585e-10 5.289649403375477832e-10 -5.754085483395442469e-11 -1.220575201890397032e-01 -1.087800919229844343e-01
1.701078596139051774e-10 2.561763664654746643e-10 -8.606850685156948692e-11 -5.059643160928583017e-01 -3.359736420618218422e-01
-2.352330452311193215e-10 7.601886028323930862e-11 -3.112519055143586301e-10 1.323164035939550232e+00 -4.094403735529085431e+00
-6.061980276994505670e-13 1.763004763621427722e-11 -1.823624566391372628e-11 3.008298415803350423e+01 -1.034384366974383296e+00
2.071009717535567680e-10 3.648289754314422871e-12 2.034526819992423443e-10 9.823840046551989280e-01 5.576659084126793431e+01
7.932316545130758828e-10 6.341696926840241305e-10 1.590619618290517523e-10 2.005239716847806719e-01 2.508192423322010978e-01
4.934104617171754979e-10 3.058310152537249769e-10 1.875794464634505210e-10 3.801691715466132271e-01 6.133434383946636537e-01
7.480987540808805037e-10 9.071927618295683546e-11 6.573794778979236682e-10 8.787335553119385301e-01 7.246304264731596945e+00
6.432603244535268608e-10 2.103269629668077595e-11 6.222276281568460913e-10 9.673029790628718816e-01 2.958382602876462641e+01
-1.013339224233582006e-10 4.071549895070920290e-12 -1.054054723184291201e-10 1.040179535122114141e+00 -2.588829193669825202e+01
3.353162618682934715e-10 6.690425339404702668e-10 -3.337262720721767953e-10 -9.952582383351834538e-01 -4.988117423665487382e-01
4.414665288075374389e-10 3.225613399614364716e-10 1.189051888461009674e-10 2.693413454634498438e-01 3.686281463870300645e-01
-1.932452923128313336e-10 9.581190702819743569e-11 -2.890571993410287564e-10 1.495804611235207693e+00 -3.016923556859788302e+00
-1.633424719608339354e-10 2.216273964221250563e-11 -1.855052116030464313e-10 1.135682651157175149e+00 -8.370139007982654533e+00
-1.312878356660587447e-10 4.077432914228645507e-12 -1.353652685802873902e-10 1.031057202623097080e+00 -3.319865008886242208e+01
5.243143576250069932e-10 8.176016315176418893e-10 -2.932872738926348961e-10 -5.593729594229343016e-01 -3.587165956949371348e-01
4.848811860811812985e-10 3.697736218241986744e-10 1.151075642569826241e-10 2.373933399793959620e-01 3.112919836983616961e-01
-3.759829428745306495e-11 1.034827467448603181e-10 -1.410810410323133896e-10 3.752325569710580400e+00 -1.363329110118740362e+00
2.974464036561868337e-10 2.177579172021659974e-11 2.756706119359702308e-10 9.267908723973450336e-01 1.265949892788688835e+01
-2.458381650188194397e-10 3.172508443634215201e-12 -2.490106734624536444e-10 1.012904865456473624e+00 -7.849015310332903539e+01
5.632866116741176282e-10 1.097459925879964486e-09 -5.341733142058468575e-10 -9.483153036750784359e-01 -4.867360544190589833e-01
3.552798407750990445e-10 4.788116266569961313e-10 -1.235317858818970868e-10 -3.477027731502946861e-01 -2.579966295814093424e-01
-2.078952733090685192e-10 1.279317520634375616e-10 -3.358270253725060549e-10 1.615366333380976682e+00 -2.625048277350093606e+00
