# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.098993134565158218e-11 -2.299765624214660573e-10 1.216893285584883078e+00 -5.610562273992759863e+00
-1.225654403117453744e-10 2.290907301379952737e-11 -1.454745133255448953e-10 1.186912990770728316e+00 -6.350082922950079478e+00
-5.190905464379474725e-10 7.550411233789795506e-12 -5.266409576717373035e-10 1.014545460874989091e+00 -6.974997008307310864e+01
3.668416608353331481e-10 1.806175645795438116e-12 3.650354851895376953e-10 9.950764162345067110e-01 2.021040899534310711e+02
6.676827973921091955e-10 3.522465098959526275e-13 6.673305508822132281e-10 9.994724343486580675e-01 1.894498688090141286e+03
4.548721662157189054e-10 4.886445859140218937e-11 4.060077076243167160e-10 8.925754042109741437e-01 8.308855133734249776e+00
4.132488493632760591e-10 2.913510059682224155e-11 3.841137487664538175e-10 9.294974429046495290e-01 1.318388270155308817e+01
-2.152952783550507314e-10 9.902306510602118950e-12 -2.251975848656528439e-10 1.045994071891682919e+00 -2.274193235934882296e+01
-5.335946767176399797e-10 2.357683483371744017e-12 -5.359523602010116745e-10 1.004418491387273127e+00 -2.273215908670410101e+02
-6.226714681408482057e-10 4.555283091389527356e-13 -6.231269964499871794e-10 1.000731570872355869e+00 -1.367921562608989689e+03
8.031198942505501301e-10 4.069841432231134042e-11 7.624214799282387897e-10 9.493246094217476783e-01 1.873344435216166559e+01
1.375952790858379807e-09 2.624468512810606697e-11 1.349708105730273737e-09 9.809261732651936017e-01 5.142786431393832203e+01
5.651602840720748566e-10 9.255416258121539572e-12 5.559048678139533348e-10 9.836233781478155302e-01 6.006265437560975329e+01
-2.374520260922235148e-10 2.172394230173239463e-12 -2.396244203223967337e-10 1.009148771084098950e+00 -1.103042979005185771e+02
-8.374678107506620310e-10 3.676278500304527981e-13 -8.378354386006925011e-10 1.000438975498892269e+00 -2.279031467641229028e+03
6.572999554875109925e-10 3.612109527974481800e-11 6.211788602077661680e-10 9.450462532696289886e-01 1.719712138840089466e+01
1.227491330369275912e-10 2.474674148858191032e-11 9.800239154834568087e-11 7.983957941182594498e-01 3.960213977810523645e+00
4.490879128365858179e-11 8.905902592986238383e-12 3.600288869067234502e-11 8.016891049965328975e-01 4.042587296994028634e+00
4.698350655961977071e-10 2.046582952543987144e-12 4.677884826436536723e-10 9.956440395738725968e-01 2.285704970141441095e+02
5.607438834933431508e-10 3.391597312501465006e-13 5.604047237620929925e-10 9.993951610686553355e-01 1.652332727403795843e+03
