# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 3.990313244889120085e-10 -5.880179555647264320e-10 3.111426200982625456e+00 -1.473613522241324247e+00
-1.225654403117453744e-10 1.753863633342067930e-10 -2.979518036459521416e-10 2.430960986132071788e+00 -1.698831072049719504e+00
-5.190905464379474725e-10 4.815471897387354563e-11 -5.672452654118210504e-10 1.092767474392119409e+00 -1.177964024085741812e+01
3.668416608353331481e-10 1.030275848333430142e-11 3.565389023519988419e-10 9.719149715441971482e-01 3.460615940174999139e+01
6.676827973921091955e-10 1.905734358990592035e-12 6.657770630331185715e-10 9.971457488998755059e-01 3.493545991298387889e+02
4.548721662157189054e-10 6.208884611659829126e-10 -1.660162949502640072e-10 -3.649735184533852705e-01 -2.673850543759463960e-01
4.132488493632760591e-10 2.566088818753406963e-10 1.566399674879353628e-10 3.790451388534595289e-01 6.104230155370470312e-01
-2.152952783550507314e-10 6.851443764392996659e-11 -2.838097159989806980e-10 1.318234743313508650e+00 -4.142334459109799027e+00
-5.335946767176399797e-10 1.559367035289744762e-11 -5.491883470705374144e-10 1.029223811693213531e+00 -3.521867107883893055e+01
-6.226714681408482057e-10 3.322179347938048673e-12 -6.259936474887862132e-10 1.005335364663258568e+00 -1.884286132466980916e+02
8.031198942505501301e-10 6.859017057968081172e-10 1.172181884537420129e-10 1.459535360696385953e-01 1.708964819056257023e-01
1.375952790858379807e-09 2.786842835014568283e-10 1.097268507356923083e-09 7.974608683139475795e-01 3.937317503414888620e+00
5.651602840720748566e-10 7.440900176651353517e-11 4.907512823055613343e-10 8.683400021841871652e-01 6.595321408093601789e+00
-2.374520260922235148e-10 1.696027218227845433e-11 -2.544122982745019788e-10 1.071426100090177025e+00 -1.500048439908492348e+01
-8.374678107506620310e-10 3.451119253967120970e-12 -8.409189300046291278e-10 1.004120897794117839e+00 -2.436655670585646476e+02
6.572999554875109925e-10 7.474459165693228595e-10 -9.014596108181186702e-11 -1.371458499718773982e-01 -1.206053295408580361e-01
1.227491330369275912e-10 2.997754720248067276e-10 -1.770263389878791365e-10 -1.442179953601977038e+00 -5.905297648008708267e-01
4.490879128365858179e-11 7.987914818091413128e-11 -3.497035689725554950e-11 -7.786973529608348654e-01 -4.377908089111441914e-01
4.698350655961977071e-10 1.821954709434996200e-11 4.516155185018477354e-10 9.612213978298315142e-01 2.478741739095685759e+01
5.607438834933431508e-10 3.655128659815657177e-12 5.570887548335274436e-10 9.934816432824111754e-01 1.524128988831883191e+02
1.384959292694439189e-09 7.603227901436672484e-10 6.246365025507719402e-10 4.510143408876236548e-01 8.215412067718546041e-01
9.691182099942607598e-10 3.041692473264292832e-10 6.649489626678314766e-10 6.861381365146047573e-01 2.186115028105453106e+00
2.053444597321272276e-10 8.101520853751912092e-11 1.243292511946081066e-10 6.054667915404008394e-01 1.534640883347596851e+00
-4.316390813605022176e-10 1.846289484583178103e-11 -4.501019762063339792e-10 1.042773918403397948e+00 -2.437873258580302505e+01
-1.747211379157624652e-09 3.700191154606196909e-12 -1.750911570312230768e-09 1.002117769606325481e+00 -4.731948964670654618e+02
8.317422204797886697e-10 1.070745151951484660e-09 -2.390029314716959904e-10 -2.873521694423876727e-01 -2.232117801664584844e-01
7.580061027865223463e-10 4.064655788806751192e-10 3.515405239058472271e-10 4.637700443486426072e-01 8.648715713490906509e-01
2.844631494557852492e-10 1.096117253848218861e-10 1.748514240709633761e-10 6.146716170634992649e-01 1.595189049867609565e+00
1.027189637038914156e-09 3.072893477991060611e-11 9.964607022590034790e-10 9.700844579502445608e-01 3.242744043670693799e+01
8.384874061714122242e-10 7.240239427849161345e-12 8.312471667435630225e-10 9.913651184566878438e-01 1.148093478160706979e+02
4.714240855035933585e-10 1.229303816333168669e-09 -7.578797308295753104e-10 -1.607638969103538651e+00 -6.165113300389958306e-01
1.701078596139051774e-10 4.560377835465929638e-10 -2.859299239326877606e-10 -1.680874267548040368e+00 -6.269873555410668819e-01
-2.352330452311193215e-10 1.263011146980043685e-10 -3.615341599291236642e-10 1.536919098989310672e+00 -2.862477982031904400e+00
-6.061980276994505670e-13 3.564575786466661639e-11 -3.625195589236606545e-11 5.980216733786467387e+01 -1.017006175882161134e+00
2.071009717535567680e-10 6.454286179568769110e-12 2.006466855739879868e-10 9.688350753503505164e-01 3.108735497492207855e+01
7.932316545130758828e-10 1.374547613810514278e-09 -5.813159592974383953e-10 -7.328451354532471429e-01 -4.229143853998022506e-01
4.934104617171754979e-10 5.019270331786891896e-10 -8.516571461513691694e-12 -1.726062198169486459e-02 -1.696774809593038641e-02
7.480987540808805037e-10 1.413266732079126517e-10 6.067720808729678779e-10 8.110855385910278326e-01 4.293401005628395772e+00
6.432603244535268608e-10 4.009643570280943806e-11 6.031638887507174680e-10 9.376668602453093193e-01 1.504283057031065596e+01
-1.013339224233582006e-10 5.959325058290804807e-12 -1.072932474816490006e-10 1.058808786986391581e+00 -1.800426162898752835e+01
3.353162618682934715e-10 1.405326296292207163e-09 -1.070010034423913744e-09 -3.191047247342258419e+00 -7.613961520872504218e-01
4.414665288075374389e-10 5.116622837983773823e-10 -7.019575499083994337e-11 -1.590058371592710518e-01 -1.371915757982678785e-01
-1.932452923128313336e-10 1.445937001782333353e-10 -3.378389924910646431e-10 1.748239185791706785e+00 -2.336471036252807831e+00
-1.633424719608339354e-10 4.097814387638468654e-11 -2.043206158372186284e-10 1.250872558646047628e+00 -4.986087619136079674e+00
-1.312878356660587447e-10 5.788759495812147509e-12 -1.370765951618708825e-10 1.044092123740514078e+00 -2.367978757124705780e+01
