# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.093576702759499933e-11 -2.299223981034094874e-10 1.216606681618516594e+00 -5.616662757251321914e+00
-1.225654403117453744e-10 2.287644244796499919e-11 -1.454418827597103639e-10 1.186646761026425745e+00 -6.357714189631278323e+00
-5.190905464379474725e-10 7.538611800259384689e-12 -5.266291582382068846e-10 1.014522729901344178e+00 -6.985757752111427976e+01
3.668416608353331481e-10 1.803186162461376481e-12 3.650384746728717737e-10 9.950845654815885233e-01 2.024408140835490428e+02
6.676827973921091955e-10 3.517580946655775815e-13 6.673310392974436499e-10 9.994731658565422228e-01 1.897130583254627481e+03
4.548721662157189054e-10 4.894024669052588495e-11 4.059319195251930398e-10 8.924087901493704678e-01 8.294439586545351517e+00
4.132488493632760591e-10 2.916502211152901079e-11 3.840838272517470418e-10 9.294250373438043278e-01 1.316933091231628694e+01
-2.152952783550507314e-10 9.908357434365521989e-12 -2.252036357894162437e-10 1.046022177123760777e+00 -2.272865480289741669e+01
-5.335946767176399797e-10 2.358382840941334200e-12 -5.359530595585813511e-10 1.004419802040471543e+00 -2.272544772012753072e+02
-6.226714681408482057e-10 4.555102130118468486e-13 -6.231269783538600060e-10 1.000731541810277347e+00 -1.367975866520590671e+03
8.031198942505501301e-10 4.087740545637100182e-11 7.622424887941790895e-10 9.491017396667570383e-01 1.864703692135574897e+01
1.375952790858379807e-09 2.632389157817275234e-11 1.349628899280206955e-09 9.808686084631211832e-01 5.127011313172602769e+01
5.651602840720748566e-10 9.275723897145460503e-12 5.558845601749293573e-10 9.835874456175293101e-01 5.992896795321806991e+01
-2.374520260922235148e-10 2.176055718493595489e-12 -2.396280818107171345e-10 1.009164190991777232e+00 -1.101203796273208297e+02
-8.374678107506620310e-10 3.678044387769206350e-13 -8.378356151894389206e-10 1.000439186359231236e+00 -2.277937748591446052e+03
6.572999554875109925e-10 3.639259116580763596e-11 6.209073643217033436e-10 9.446332061002259417e-01 1.706136728469809682e+01
1.227491330369275912e-10 2.486811569795642284e-11 9.788101733897117158e-11 7.974069952048040699e-01 3.936004582245638428e+00
4.490879128365858179e-11 8.938288768226042242e-12 3.597050251543253631e-11 8.009679505340302486e-01 4.024316448949489811e+00
4.698350655961977071e-10 2.053081058963692395e-12 4.677819845372339756e-10 9.956302089620354678e-01 2.278438946650018408e+02
5.607438834933431508e-10 3.399017327487588638e-13 5.604039817605943721e-10 9.993938378237293696e-01 1.648723521438537546e+03
1.384959292694439189e-09 3.590764323229177896e-11 1.349051649462147436e-09 9.740731417726845587e-01 3.757004158515599812e+01
9.691182099942607598e-10 2.459341344529877098e-11 9.445247965489619953e-10 9.746228961630548637e-01 3.840559988347268217e+01
2.053444597321272276e-10 8.936756811666206948e-12 1.964077029204610222e-10 9.564791919717520186e-01 2.197751455696621292e+01
-4.316390813605022176e-10 2.126991489939932853e-12 -4.337660728504421714e-10 1.004927708314167889e+00 -2.039340894883843305e+02
-1.747211379157624652e-09 3.767756325620513183e-13 -1.747588154790186787e-09 1.000215643989649239e+00 -4.638272764368262870e+03
8.317422204797886697e-10 2.440217113554953052e-10 5.877205091242933645e-10 7.066137736584636730e-01 2.408476302619201537e+00
7.580061027865223463e-10 1.248426521014312500e-10 6.331634506850911221e-10 8.353012572821056914e-01 5.071691765813041819e+00
2.844631494557852492e-10 3.819497166566268925e-11 2.462681777901225535e-10 8.657296323311662878e-01 6.447659653888887732e+00
1.027189637038914156e-09 8.680592269460828217e-12 1.018509044769453407e-09 9.915491823939303062e-01 1.173317457096409981e+02
8.384874061714122242e-10 1.655816745522103241e-12 8.368315894258901719e-10 9.980252336131288926e-01 5.053890122134408784e+02
4.714240855035933585e-10 3.007709909094543245e-10 1.706530945941390340e-10 3.619948573731459618e-01 5.673854851431244795e-01
1.701078596139051774e-10 1.528499359015524364e-10 1.725792371235274101e-11 1.014528297018324338e-01 1.129076280638300206e-01
-2.352330452311193215e-10 4.644217830118000924e-11 -2.816752235322993501e-10 1.197430502400502528e+00 -6.065073470620186313e+00
-6.061980276994505670e-13 1.056590420450546664e-11 -1.117210223220491731e-11 1.842978980747192352e+01 -1.057373038404129995e+00
2.071009717535567680e-10 2.088156845257647592e-12 2.050128149082991204e-10 9.899172040209329726e-01 9.817883909146851806e+01
7.932316545130758828e-10 3.533453100487249385e-10 4.398863444643509443e-10 5.545496601927397684e-01 1.244919154024408448e+00
4.934104617171754979e-10 1.805693266315650527e-10 3.128411350856104194e-10 6.340383095989804429e-01 1.732526453531799016e+00
7.480987540808805037e-10 5.521458015810233595e-11 6.928841739227781742e-10 9.261934606134462067e-01 1.254893493600353871e+01
6.432603244535268608e-10 1.286784889523274055e-11 6.303924755582940718e-10 9.799958921667296652e-01 4.898973252567807180e+01
-1.013339224233582006e-10 2.704957555332867757e-12 -1.040388799786910744e-10 1.026693504905809906e+00 -3.846229667211477476e+01
3.353162618682934715e-10 3.694328641392830850e-10 -3.411660227098961347e-11 -1.017445502967882776e-01 -9.234858504122421541e-02
4.414665288075374389e-10 1.894034950967229993e-10 2.520630337108144397e-10 5.709674851039596710e-01 1.330825672367307533e+00
-1.932452923128313336e-10 5.821376096543148072e-11 -2.514590532782628014e-10 1.301242841513537529e+00 -4.319580956598635169e+00
-1.633424719608339354e-10 1.376304651297100505e-11 -1.771055184738049518e-10 1.084258835731781501e+00 -1.286819152335869632e+01
-1.312878356660587447e-10 2.932088490914716896e-12 -1.342199241569734551e-10 1.022333283780934021e+00 -4.577621875085399239e+01
5.243143576250069932e-10 5.166271262210691488e-10 7.687231403937844350e-12 1.466149322852570470e-02 1.487965113285285093e-02
4.848811860811812985e-10 2.446265056634656508e-10 2.402546804177156477e-10 4.954918592726981208e-01 9.821285709253257945e-01
-3.759829428745306495e-11 7.158797022752769803e-11 -1.091862645149807565e-10 2.904021753758582847e+00 -1.525204083422879275e+00
2.974464036561868337e-10 1.640210472006077739e-11 2.810442989361260693e-10 9.448569405498017382e-01 1.713464849376261512e+01
-2.458381650188194397e-10 3.204486569928009043e-12 -2.490426515887474673e-10 1.013034943413618105e+00 -7.771686544916379091e+01
5.632866116741176282e-10 7.200225095521513626e-10 -1.567358978780337344e-10 -2.782524821816843019e-01 -2.176819416041899657e-01
3.552798407750990445e-10 3.328100832948282521e-10 2.246975748027079237e-11 6.324523629387321377e-02 6.751525451939323352e-02
