# data theory diff diff_frac diff_frac2
-1.223751890611971255e-10 4.612650282946465547e-11 -1.685016918906617745e-10 1.376926917811728934e+00 -3.653034189772270679e+00
-3.844160029037760458e-10 2.239079790859748090e-11 -4.068068008123735396e-10 1.058246268988448424e+00 -1.816848164469254456e+01
-3.987478334725136147e-10 7.413150072519437425e-12 -4.061609835450330554e-10 1.018591072979536216e+00 -5.478925687079675555e+01
-1.847084910398361031e-10 1.761100863998742149e-12 -1.864695919038348517e-10 1.009534487852098428e+00 -1.058824032829320316e+02
-7.554481973658184795e-11 3.418421590624562073e-13 -7.588666189564431042e-11 1.004525024485523055e+00 -2.219932793069548040e+02
2.432920031015912147e-10 5.467263678156837440e-11 1.886193663200228403e-10 7.752797622421696566e-01 3.449977491914411054e+00
3.016535445510623641e-10 2.776067693609696260e-11 2.738928676149654144e-10 9.079716534496157232e-01 9.866217176383942800e+00
3.966344817317357053e-10 9.445212584791490564e-12 3.871892691469442357e-10 9.761866075194648440e-01 4.099317677300237506e+01
3.845865521925592068e-10 2.265832450161425074e-12 3.823207197423977914e-10 9.941083939694622673e-01 1.687330057062074786e+02
2.559522092791160785e-10 4.402330106171703240e-13 2.555119762684989317e-10 9.982800187118640034e-01 5.804016739005833188e+02
1.143328895332927256e-10 4.731182727844231050e-11 6.702106225485041512e-11 5.861923242597176786e-01 1.416581563430517443e+00
2.297124845314894836e-10 2.482836313513295687e-11 2.048841213963565299e-10 8.919154821481658502e-01 8.252018881842383635e+00
5.507183821619242713e-10 8.725208324573535867e-12 5.419931738373506918e-10 9.841566786089079866e-01 6.211807829400358116e+01
9.207533493957055638e-10 2.087009675088416463e-12 9.186663397206171885e-10 9.977333672731594216e-01 4.401830766221521003e+02
1.019227766774279745e-09 3.779897889052757224e-13 1.018849776985374487e-09 9.996291410014255252e-01 2.695442593664080050e+03
1.689250290239560793e-10 4.338738285852765503e-11 1.255376461654284308e-10 7.431559839934988032e-01 2.893413658407709033e+00
2.585656158284659743e-10 2.324282942501104042e-11 2.353227864034549274e-10 9.101085836547173624e-01 1.012453269352094587e+01
4.063660238169923838e-10 8.308191665047602502e-12 3.980578321519447635e-10 9.795549057300390050e-01 4.791148882934010089e+01
4.159879621584130772e-10 1.972653628214664737e-12 4.140153085301984109e-10 9.952579069404333678e-01 2.098773462348277690e+02
3.205652640513674159e-10 3.668845012957631526e-13 3.201983795500716610e-10 9.988555076221952156e-01 8.727498120503717018e+02
2.042070151772416191e-10 4.313628610081086715e-11 1.610707290764307584e-10 7.887619773328027328e-01 3.733996216085996966e+00
3.693692769340346235e-10 2.295147891956352874e-11 3.464177980144710721e-10 9.378630537166673387e-01 1.509348479148283850e+01
5.788546665938460563e-10 8.281032480739100381e-12 5.705736341131069624e-10 9.856941077637549897e-01 6.890126749776761983e+01
9.019672089934657634e-10 2.040214445770277360e-12 8.999269945476954356e-10 9.977380392264514342e-01 4.410943155575640731e+02
1.058103635684731898e-09 4.022535426474504905e-13 1.057701382142084412e-09 9.996198354026190058e-01 2.629439569831438348e+03
5.813869431833550723e-10 2.357887743043103873e-10 3.455981688790446849e-10 5.944374446848413873e-01 1.465710867274002016e+00
6.399253854988847239e-10 1.157234636613931106e-10 5.242019218374916521e-10 8.191610048862567606e-01 4.529780783016541967e+00
6.588788168647592649e-10 3.613115870285954617e-11 6.227476581618996929e-10 9.451626645476510769e-01 1.723575109459784116e+01
7.047942036513302147e-10 8.317300277411000324e-12 6.964769033739191740e-10 9.881989661175963890e-01 8.373833817993616435e+01
6.385909446357400939e-10 1.589330199161197428e-12 6.370016144365788820e-10 9.975111920823309664e-01 4.007987860375206424e+02
4.037284440388031634e-10 2.878419751599015290e-10 1.158864688789016345e-10 2.870406348376176031e-01 4.026044805123525361e-01
3.567957787563107542e-10 1.414517973062166634e-10 2.153439814500940908e-10 6.035496894069832807e-01 1.522384201198339504e+00
2.209600246600226810e-10 4.404090253347212654e-11 1.769191221265505609e-10 8.006838449568645100e-01 4.017154779970456779e+00
2.864821594032063346e-10 1.019753275028774742e-11 2.762846266529185985e-10 9.644043008767769765e-01 2.709328162198082524e+01
2.492912371964654083e-10 2.029684364032605717e-12 2.472615528324327945e-10 9.918581800673842430e-01 1.218226622888152093e+02
4.783565003658932227e-10 3.355818035423831353e-10 1.427746968235100874e-10 2.984692310322996089e-01 4.254542270063162435e-01
5.532993793957987128e-10 1.666059310199668125e-10 3.866934483758319004e-10 6.988864668492851262e-01 2.321006497238617516e+00
5.258686106614816288e-10 5.233787159527948980e-11 4.735307390662021196e-10 9.004734822840166908e-01 9.047573480403267254e+00
6.296552018376763347e-10 1.238636184051167171e-11 6.172688399971646129e-10 9.803283419173516311e-01 4.983455577555335481e+01
7.194801456597279331e-10 2.566753353341483789e-12 7.169133923063864089e-10 9.964324889730098445e-01 2.793074727546708118e+02
3.836160435032668041e-10 3.501164940775172477e-10 3.349954942574955634e-11 8.732572579557476566e-02 9.568115182352024406e-02
3.986342514158673300e-10 1.745682566414986234e-10 2.240659947743687066e-10 5.620841510194674040e-01 1.283543750078921297e+00
3.311006001129596388e-10 5.515889284808562525e-11 2.759417072648740007e-10 8.334074513025122588e-01 5.002669434008608640e+00
3.532151553244419214e-10 1.322192225655951030e-11 3.399932330678824014e-10 9.625669452251711666e-01 2.571435729772263556e+01
3.311161335821409188e-10 2.756113917451869777e-12 3.283600196646890289e-10 9.916762922795842039e-01 1.191387691145473866e+02
4.270169184447946937e-10 4.913780849311300408e-10 -6.436116648633534715e-11 -1.507227552499328938e-01 -1.309809461595260183e-01
4.861424270527548649e-10 2.297983856960286083e-10 2.563440413567262566e-10 5.273023441109954135e-01 1.115517154658395071e+00
3.972518380854150701e-10 6.860264163426233867e-11 3.286491964511527573e-10 8.273069245824062889e-01 4.790620136805561202e+00
4.339548998200544537e-10 1.560349623654854414e-11 4.183514035835058934e-10 9.640435071869939421e-01 2.681138875809055477e+01
4.314994933028633352e-10 2.943900210623744878e-12 4.285555930922395822e-10 9.931775117785422990e-01 1.455740896195114260e+02
5.955679530658228382e-10 6.826562623856355034e-10 -8.708830931981266529e-11 -1.462273261539772107e-01 -1.275727098957104289e-01
5.860386037689288747e-10 3.141616901822861119e-10 2.718769135866427628e-10 4.639232157031109582e-01 8.654044146149441064e-01
4.560033396327035461e-10 9.204058247413327042e-11 3.639627571585702757e-10 7.981580956221305811e-01 3.954372597118851917e+00
3.862612306772574530e-10 2.005281798964210519e-11 3.662084126876153478e-10 9.480848286159028193e-01 1.826219202093058414e+01
3.172924875405454615e-10 2.933347129123249959e-12 3.143591404114221966e-10 9.907550690788150538e-01 1.071673847566009670e+02
7.951995715020864267e-10 7.475272669901527331e-10 4.767230451193369361e-11 5.995011343112703617e-02 6.377333191320455619e-02
9.344857620487653654e-10 3.439063055639740528e-10 5.905794564847912608e-10 6.319833650434711902e-01 1.717268473796362604e+00
8.224298184586634380e-10 1.004335679245387044e-10 7.219962505341247207e-10 8.778818986490983800e-01 7.188794199530981643e+00
7.185779071383469675e-10 2.120534759113718276e-11 6.973725595472097815e-10 9.704898419774898866e-01 3.288663656891331044e+01
6.184403392499369721e-10 2.325415237039908328e-12 6.161149240128970169e-10 9.962398713514382109e-01 2.649483473743675859e+02
9.834593532304422471e-10 1.115977238158119015e-09 -1.325178849276767674e-10 -1.347466822013389798e-01 -1.187460464215138040e-01
9.837631843821504121e-10 4.801789115755498286e-10 5.035842728066005835e-10 5.118958310305901094e-01 1.048743001133168651e+00
6.077260774606395205e-10 1.288257614287503926e-10 4.789003160318891278e-10 7.880200205213441222e-01 3.717426628964691115e+00
1.973227230955910321e-10 2.477414450934163527e-11 1.725485785862494033e-10 8.744485981103147232e-01 6.964865265930218818e+00
-1.589247280147988762e-10 3.775930533561041002e-12 -1.627006585483599189e-10 1.023759238607659716e+00 -4.308889083161140832e+01
1.316260416306449731e-09 1.299068923166930137e-09 1.719149313951959426e-11 1.306086009010324657e-02 1.323370364184325160e-02
1.575438175835238518e-09 5.461795078908050973e-10 1.029258667944433317e-09 6.533158099960088006e-01 1.884469580191953542e+00
1.279007265785400783e-09 1.413714433063712698e-10 1.137635822479029487e-09 8.894678340864942134e-01 8.047140185260872158e+00
8.958808550711040273e-10 2.607949417081197322e-11 8.698013609002921025e-10 9.708895507441756001e-01 3.335192604593416377e+01
5.324071257016447241e-10 5.017071121325179033e-12 5.273900545803195895e-10 9.905766266469231418e-01 1.051191106976011866e+02
1.873464116877817543e-09 1.609493520701579189e-09 2.639705961762383539e-10 1.408997342399880282e-01 1.640084863846941188e-01
