# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.429281591852588628e-08 -1.448180254960170029e-08 7.662871424906312257e+01 -1.013222491085948640e+00
-1.225654403117453744e-10 7.320392372387747207e-09 -7.442957812699492840e-09 6.072639884267799459e+01 -1.016743015138649842e+00
-5.190905464379474725e-10 2.260184435977734880e-09 -2.779274982415682456e-09 5.354123671654882344e+00 -1.229667339609563204e+00
3.668416608353331481e-10 5.192207840527932823e-10 -1.523791232174601341e-10 -4.153811834524968050e-01 -2.934765477376701792e-01
6.676827973921091955e-10 9.799893828829862094e-11 5.696838591038105745e-10 8.532253059820157359e-01 5.813163581710278471e+00
4.548721662157189054e-10 3.104010977062291607e-08 -3.058523760440720032e-08 -6.723919350541760309e+01 -9.853456650257655935e-01
4.132488493632760591e-10 1.493913682950155824e-08 -1.452588798013828296e-08 -3.515046200980214053e+01 -9.723378362431758237e-01
-2.152952783550507314e-10 4.416183159176153710e-09 -4.631478437531204080e-09 2.151221556235560328e+01 -1.048751437744990245e+00
-5.335946767176399797e-10 9.980138561570216305e-10 -1.531608532874661610e-09 2.870359468906651834e+00 -1.534656581595283287e+00
-6.226714681408482057e-10 1.852906349557080960e-10 -8.079621030965563276e-10 1.297573671568640785e+00 -4.360512355574212684e+00
8.031198942505501301e-10 3.865062671554332417e-08 -3.784750682129277125e-08 -4.712559991632512890e+01 -9.792210382470311059e-01
1.375952790858379807e-09 1.780510242100893752e-08 -1.642914963015055709e-08 -1.194019863130720616e+01 -9.227214335349827046e-01
5.651602840720748566e-10 5.229119132741563048e-09 -4.663958848669487985e-09 -8.252453295310987258e+00 -8.919205568422824415e-01
-2.374520260922235148e-10 1.223937787018793812e-09 -1.461389813111017431e-09 6.154463439041919059e+00 -1.194006614233716457e+00
-8.374678107506620310e-10 2.206646948647306566e-10 -1.058132505615392636e-09 1.263490359906416449e+00 -4.795205260470130071e+00
6.572999554875109925e-10 4.657327590028178054e-08 -4.591597594479426831e-08 -6.985543747791520275e+01 -9.858867570987520645e-01
1.227491330369275912e-10 2.080043458476041205e-08 -2.067768545172348516e-08 -1.684548390700474840e+02 -9.940987226715513048e-01
4.490879128365858179e-11 6.073976582081506348e-09 -6.029067790797847986e-09 -1.342513930672568847e+02 -9.926063608121010740e-01
4.698350655961977071e-10 1.403951714701641107e-09 -9.341166491054432967e-10 -1.988179932717654808e+00 -6.653481307966178093e-01
5.607438834933431508e-10 2.397379069035182779e-10 3.210059765898248729e-10 5.724645172944372584e-01 1.338987149491601469e+00
1.384959292694439189e-09 4.922144385800661652e-08 -4.783648456531217899e-08 -3.453999320965331066e+01 -9.718626845508687717e-01
9.691182099942607598e-10 2.170001807591319199e-08 -2.073089986591892958e-08 -2.139150792145542468e+01 -9.553402118558613765e-01
2.053444597321272276e-10 6.302420278201147117e-09 -6.097075818469019993e-09 -2.969194214649220598e+01 -9.674181583157229758e-01
-4.316390813605022176e-10 1.458279112581198510e-09 -1.889918193941700521e-09 4.378468668742376835e+00 -1.295992089330887831e+00
-1.747211379157624652e-09 2.506090310906298797e-10 -1.997820410248254686e-09 1.143433721918326151e+00 -7.971861195719502469e+00
8.317422204797886697e-10 8.775646770273971515e-08 -8.692472548225992989e-08 -1.045092137226334330e+02 -9.905221547510643099e-01
7.580061027865223463e-10 3.889274626072798555e-08 -3.813474015794146268e-08 -5.030927853714308640e+01 -9.805103476698450171e-01
2.844631494557852492e-10 1.077612041752023993e-08 -1.049165726806445462e-08 -3.688230720969077936e+01 -9.736024526049936734e-01
1.027189637038914156e-09 2.342076310547175575e-09 -1.314886673508261419e-09 -1.280081716262922331e+00 -5.614192277112723950e-01
8.384874061714122242e-10 4.245807472867801004e-10 4.139066588846321239e-10 4.936349142971112047e-01 9.748596975478536208e-01
4.714240855035933585e-10 1.184778701898141828e-07 -1.180064461043105933e-07 -2.503190857935304052e+02 -9.960209945979927593e-01
1.701078596139051774e-10 4.975882119456718195e-08 -4.958871333495327561e-08 -2.915133577455214322e+02 -9.965813527022927554e-01
-2.352330452311193215e-10 1.343498093329916941e-08 -1.367021397853028868e-08 5.811349321732895845e+01 -1.017508997325637043e+00
-6.061980276994505670e-13 3.055454279127926507e-09 -3.056060477155626098e-09 5.041356681336486872e+03 -1.000198398657718535e+00
2.071009717535567680e-10 6.313612451135664627e-10 -4.242602733600097206e-10 -2.048567275024017142e+00 -6.719770601119104958e-01
7.932316545130758828e-10 1.481663119876540431e-07 -1.473730803331409744e-07 -1.857881988126226815e+02 -9.946463427220948450e-01
4.934104617171754979e-10 6.040115525087279470e-08 -5.990774478915561672e-08 -1.214156355352978522e+02 -9.918311088642621787e-01
7.480987540808805037e-10 1.613797940094831496e-08 -1.538988064686743394e-08 -2.057199074709802389e+01 -9.536435922060403358e-01
6.432603244535268608e-10 3.737865762543408506e-09 -3.094605438089881852e-09 -4.810813476983618386e+00 -8.279070557055467905e-01
-1.013339224233582006e-10 7.796387500389582659e-10 -8.809726724623165182e-10 8.693758727524061314e+00 -1.129975482129761621e+00
3.353162618682934715e-10 1.574694474452495381e-07 -1.571341311833812382e-07 -4.686147051379836057e+02 -9.978705947896027162e-01
4.414665288075374389e-10 6.359526167261582888e-08 -6.315379514380829599e-08 -1.430545489244575208e+02 -9.930581851981336028e-01
-1.932452923128313336e-10 1.694018692453981818e-08 -1.713343221685265099e-08 8.866157623708903657e+01 -1.011407506491731390e+00
