# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 3.404926615341567425e-08 -3.423825278449148826e-08 1.811675915359132603e+02 -1.005550387788808564e+00
-1.225654403117453744e-10 1.518320508250425181e-08 -1.530577052281599662e-08 1.248783546478170905e+02 -1.008072435276065493e+00
-5.190905464379474725e-10 4.285771771837489090e-09 -4.804862318275436252e-09 9.256308656065678875e+00 -1.121119502874365903e+00
3.668416608353331481e-10 9.529415611603910287e-10 -5.860999003250578289e-10 -1.597691764317206831e+00 -6.150428569946803092e-01
6.676827973921091955e-10 1.684543888376653307e-10 4.992284085544438647e-10 7.477029668944168428e-01 2.963582082955024788e+00
4.548721662157189054e-10 5.980898149757984370e-08 -5.935410933136412795e-08 -1.304852522086743534e+02 -9.923945843111520171e-01
4.132488493632760591e-10 2.482400424895330551e-08 -2.441075539959003023e-08 -5.907035297787649597e+01 -9.833528529394809370e-01
-2.152952783550507314e-10 6.804695222093490413e-09 -7.019990500448540782e-09 3.260633746399044242e+01 -1.031639224289727208e+00
-5.335946767176399797e-10 1.578294089882526867e-09 -2.111888766600166846e-09 3.957852015299819115e+00 -1.338083174826660837e+00
-6.226714681408482057e-10 2.973873903475503766e-10 -9.200588584883985823e-10 1.477599192452931476e+00 -3.093805885357631347e+00
8.031198942505501301e-10 6.966009092193692970e-08 -6.885697102768637678e-08 -8.573685139743903960e+01 -9.884708750215306372e-01
1.375952790858379807e-09 2.811529790132996874e-08 -2.673934511047158832e-08 -1.943333033525838616e+01 -9.510603517100456594e-01
5.651602840720748566e-10 7.662383742324338102e-09 -7.097223458252263039e-09 -1.255789491631573007e+01 -9.262422370012184381e-01
-2.374520260922235148e-10 1.741143672025811703e-09 -1.978595698118035114e-09 8.332612404619249347e+00 -1.136377043380888407e+00
-8.374678107506620310e-10 3.180300729074379429e-10 -1.155497883658100026e-09 1.379751996225828226e+00 -3.633297546658128319e+00
6.572999554875109925e-10 7.949355791773585084e-08 -7.883625796224833861e-08 -1.199395455667975625e+02 -9.917314060069154502e-01
1.227491330369275912e-10 3.133347852473022082e-08 -3.121072939169329061e-08 -2.542643570631486227e+02 -9.960824926303649685e-01
4.490879128365858179e-11 8.460048977112187129e-09 -8.415140185828527939e-09 -1.873829142422416965e+02 -9.946916629673001609e-01
4.698350655961977071e-10 1.923330604782878657e-09 -1.453495539186680847e-09 -3.093629329991081089e+00 -7.557179902260034998e-01
5.607438834933431508e-10 3.535707988953146092e-10 2.071730845980285416e-10 3.694611581090709862e-01 5.859451211619103317e-01
1.384959292694439189e-09 8.247453540307428273e-08 -8.108957611037984520e-08 -5.855015128467785246e+01 -9.832074314098796508e-01
9.691182099942607598e-10 3.224361686884280563e-08 -3.127449865884854321e-08 -3.227108760966709866e+01 -9.699438740406717274e-01
2.053444597321272276e-10 8.681527420825062192e-09 -8.476182961092934241e-09 -4.127787509899294349e+01 -9.763469664059860609e-01
-4.316390813605022176e-10 1.976137877486862581e-09 -2.407776958847365005e-09 5.578218152207596425e+00 -1.218425589771821027e+00
-1.747211379157624652e-09 3.643361518065277868e-10 -2.111547530964152387e-09 1.208524369834509393e+00 -5.795602551364269495e+00
8.317422204797886697e-10 1.192078830466831391e-07 -1.183761408262033539e-07 -1.423231115500164776e+02 -9.930227582335803271e-01
7.580061027865223463e-10 4.488456417176935599e-08 -4.412655806898283312e-08 -5.821398786469957543e+01 -9.831120984067996948e-01
2.844631494557852492e-10 1.221376741268277952e-08 -1.192930426322699422e-08 -4.193620258388228450e+01 -9.767096310381350177e-01
1.027189637038914156e-09 3.284356334124238583e-09 -2.257166697085324220e-09 -2.197419654263717437e+00 -6.872478097560597021e-01
8.384874061714122242e-10 6.997313129561097955e-10 1.387560932153024287e-10 1.654838131068321339e-01 1.982991051652505110e-01
4.714240855035933585e-10 1.467838998914836782e-07 -1.463124758059800886e-07 -3.103627504515037003e+02 -9.967883120297791333e-01
1.701078596139051774e-10 5.339442470300849188e-08 -5.322431684339458554e-08 -3.128857006619102208e+02 -9.968141269325386800e-01
-2.352330452311193215e-10 1.477773344825192942e-08 -1.501296649348304869e-08 6.382167300828260181e+01 -1.015918073367262142e+00
-6.061980276994505670e-13 3.804783563471661629e-09 -3.805389761499360807e-09 6.277469717182997556e+03 -1.000159325232982788e+00
2.071009717535567680e-10 6.457679407878541293e-10 -4.386669690342973872e-10 -2.118130906485057086e+00 -6.792950552780802065e-01
7.932316545130758828e-10 1.736391571988497700e-07 -1.728459255443367013e-07 -2.179009430106995922e+02 -9.954317236543329672e-01
4.934104617171754979e-10 6.161743472050790484e-08 -6.112402425879072686e-08 -1.238806815041291571e+02 -9.919923563200050420e-01
7.480987540808805037e-10 1.712443009568360758e-08 -1.637633134160272656e-08 -2.189060100991988023e+01 -9.563139473897325216e-01
6.432603244535268608e-10 4.321835925025982551e-09 -3.678575600572455897e-09 -5.718642143361694963e+00 -8.511604013635341026e-01
-1.013339224233582006e-10 6.628838106997756746e-10 -7.642177331231338235e-10 7.541578524221580260e+00 -1.152868301786378780e+00
3.353162618682934715e-10 1.819491542508947983e-07 -1.816138379890264984e-07 -5.416195354711467189e+02 -9.981570880983270388e-01
4.414665288075374389e-10 6.408339669068854487e-08 -6.364193016188101198e-08 -1.441602613312196581e+02 -9.931110622781379460e-01
-1.932452923128313336e-10 1.781201122099167463e-08 -1.800525651330450744e-08 9.317306671645616234e+01 -1.010849156219096212e+00
-1.633424719608339354e-10 4.458491066998599949e-09 -4.621833538959434091e-09 2.829535688713987440e+01 -1.036636267630966612e+00
-1.312878356660587447e-10 6.705493933725864777e-10 -8.018372290386451707e-10 6.107475418196268713e+00 -1.195791446482018516e+00
5.243143576250069932e-10 1.917852225144302712e-07 -1.912609081568052720e-07 -3.647828928873168479e+02 -9.972661378663544296e-01
4.848811860811812985e-10 6.651789503361798667e-08 -6.603301384753680010e-08 -1.361839059609980609e+02 -9.927105151803716776e-01
-3.759829428745306495e-11 1.800837919661626216e-08 -1.804597749090371586e-08 4.799679834658308550e+02 -1.002087822223030500e+00
2.974464036561868337e-10 3.762640304450964410e-09 -3.465193900794777576e-09 -1.164980937137211292e+01 -9.209474253214353645e-01
-2.458381650188194397e-10 6.543071256533401297e-10 -9.001452906721595694e-10 3.661535997078612770e+00 -1.375722891254385516e+00
5.632866116741176282e-10 2.364623515999339741e-07 -2.358990649882598432e-07 -4.187904702495152947e+02 -9.976178592157995961e-01
3.552798407750990445e-10 7.866404798572612925e-08 -7.830876814495103646e-08 -2.204143302195477929e+02 -9.954835804936003063e-01
-2.078952733090685192e-10 2.039634065029619984e-08 -2.060423592360526753e-08 9.910872717617721150e+01 -1.010192773148552492e+00
-1.442956260428126750e-10 3.950381611067915500e-09 -4.094677237110727891e-09 2.837700178033000498e+01 -1.036527009349814232e+00
-2.648102702146158892e-10 8.964210446326106202e-10 -1.161231314847226458e-09 4.385144556161303164e+00 -1.295408359498237516e+00
7.259947424319820492e-10 2.511578574696055369e-07 -2.504318627271735809e-07 -3.449499673899310324e+02 -9.971094086016408786e-01
8.868885298187272894e-10 8.226411065087332837e-08 -8.137722212105459973e-08 -9.175586264227301569e+01 -9.892190102974228738e-01
2.886404154093102008e-10 2.091098450888818253e-08 -2.062234409347887182e-08 -7.144648840750556928e+01 -9.861967084674265749e-01
-1.314381489561711098e-10 3.997179289365682736e-09 -4.128617438321853949e-09 3.141110454696503496e+01 -1.032882725402349822e+00
-7.308511046704866833e-10 1.015844304450136782e-09 -1.746695409120623465e-09 2.389947005564345250e+00 -1.719451889889845653e+00
5.281775264915396830e-10 3.008678052759026641e-07 -3.003396277494111013e-07 -5.686338639669893382e+02 -9.982444863915991284e-01
-5.419666256695689987e-10 9.265070666909941529e-08 -9.319267329476898543e-08 1.719527898597717694e+02 -1.005849568180901210e+00
3.018834755226183122e-10 2.184916301332014398e-08 -2.154727953779752417e-08 -7.137614770233793138e+01 -9.861832933674127277e-01
6.503704506129455257e-10 4.481619723782000530e-09 -3.831249273169054901e-09 -5.890872301406484546e+00 -8.548804917200553133e-01
5.795016297527579246e-11 1.315558810382146925e-09 -1.257608647406871236e-09 -2.170155497135400680e+01 -9.559501540197642422e-01
1.352349073539644995e-09 3.230677470377437090e-07 -3.217153979642040505e-07 -2.378937541045852981e+02 -9.958140387397393933e-01
5.619686650340384022e-10 9.579297480980225053e-08 -9.523100614476821037e-08 -1.694596372895632328e+02 -9.941335085777445180e-01
4.991054217839956411e-10 2.182552989414667185e-08 -2.132642447236267466e-08 -4.272929834369218582e+01 -9.771320364635064371e-01
2.864546895915383006e-10 4.798990829949382715e-09 -4.512536140357844104e-09 -1.575305381382431946e+01 -9.403093900901328128e-01
-1.652498442680650529e-10 1.421398062812873907e-09 -1.586647907080938856e-09 9.601509242617558115e+00 -1.116258667147079109e+00
1.283787225956523034e-09 3.478715690742413572e-07 -3.465877818482848414e-07 -2.699729167269517802e+02 -9.963095942868428478e-01
5.194962200390622909e-10 9.743107575362126857e-08 -9.691157953358220721e-08 -1.865491524198100421e+02 -9.946680644135271754e-01
7.247182187875589696e-10 2.169188767207562219e-08 -2.096716945328806311e-08 -2.893147834528815210e+01 -9.665903571997330745e-01
-3.516667382857595751e-10 5.213563554723299143e-09 -5.565230293009058563e-09 1.582529618848066555e+01 -1.067452278004199728e+00
-4.030469475903973660e-10 1.448443662781841676e-09 -1.851490610372238939e-09 4.593734356360501536e+00 -1.278262080843597381e+00
