# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 8.404307381378042593e-09 -8.593294012453856603e-09 4.547038043662751505e+01 -1.022486877561685104e+00
-1.225654403117453744e-10 4.323464015823989015e-09 -4.446029456135734648e-09 3.627473980289429534e+01 -1.028348897981607557e+00
-5.190905464379474725e-10 1.335788935536051612e-09 -1.854879481973998981e-09 3.573325491481923688e+00 -1.388602220477022087e+00
3.668416608353331481e-10 3.075031750907870033e-10 5.933848574454614488e-11 1.617550351544772835e-01 1.929686928501700705e-01
6.676827973921091955e-10 5.884205384784979113e-11 6.088407435442593656e-10 9.118712447322591119e-01 1.034703419969946658e+01
4.548721662157189054e-10 1.633251783048434508e-08 -1.587764566426862602e-08 -3.490573141980026151e+01 -9.721492931502142554e-01
4.132488493632760591e-10 7.980768845686342837e-09 -7.567519996323067553e-09 -1.831225908549514614e+01 -9.482194187861187062e-01
-2.152952783550507314e-10 2.372562546881449589e-09 -2.587857825236500372e-09 1.202003984949812221e+01 -1.090743773494207591e+00
-5.335946767176399797e-10 5.341948536342681568e-10 -1.067789530351908137e-09 2.001124780555008531e+00 -1.998876483154891970e+00
-6.226714681408482057e-10 9.979757697078373281e-11 -7.224690451116319256e-10 1.160273245325911695e+00 -7.239344551653178250e+00
8.031198942505501301e-10 1.952805720350565721e-08 -1.872493730925510760e-08 -2.331524526201497594e+01 -9.588735384231477088e-01
1.375952790858379807e-09 9.246818237151766661e-09 -7.870865446293386233e-09 -5.720301959911862077e+00 -8.511971625731657998e-01
5.651602840720748566e-10 2.722462557271096371e-09 -2.157302273199021721e-09 -3.817151229480062025e+00 -7.924084272297312603e-01
-2.374520260922235148e-10 6.347271318328359623e-10 -8.721791579250594771e-10 3.673075240833344246e+00 -1.374100954856865453e+00
-8.374678107506620310e-10 1.263901261907978655e-10 -9.638579369414599224e-10 1.150919384086545927e+00 -7.626054075509229868e+00
6.572999554875109925e-10 2.300453292246250464e-08 -2.234723296697499240e-08 -3.399853108220634823e+01 -9.714273722616771911e-01
1.227491330369275912e-10 1.063199553085696597e-08 -1.050924639782003908e-08 -8.561564662667278469e+01 -9.884547418515484685e-01
4.490879128365858179e-11 3.127849690179309775e-09 -3.082940898895650999e-09 -6.864893956781847351e+01 -9.856422796067657588e-01
4.698350655961977071e-10 7.343262688849675824e-10 -2.644912032887698753e-10 -5.629447920264177840e-01 -3.601821349662250871e-01
5.607438834933431508e-10 1.362759379685236979e-10 4.244679455248194529e-10 7.569729390188854046e-01 3.114768108386535950e+00
1.384959292694439189e-09 2.432001728856065059e-08 -2.293505799586621306e-08 -1.656009538825220062e+01 -9.430527011448351926e-01
9.691182099942607598e-10 1.112716663649276958e-08 -1.015804842649850882e-08 -1.048174342587027219e+01 -9.129052128314560921e-01
2.053444597321272276e-10 3.262507403013058047e-09 -3.057162943280930923e-09 -1.488797383318261325e+01 -9.370593122509137674e-01
-4.316390813605022176e-10 7.616544846649402296e-10 -1.193293566025442344e-09 2.764563306603859516e+00 -1.566712453023085150e+00
-1.747211379157624652e-09 1.435993867947180853e-10 -1.890810765952342556e-09 1.082187758451957249e+00 -1.316726211829402438e+01
8.317422204797886697e-10 4.153293911274606991e-08 -4.070119689226627804e-08 -4.893486935025119067e+01 -9.799739137598250105e-01
7.580061027865223463e-10 1.876153349874479118e-08 -1.800352739595826832e-08 -2.375116417898895449e+01 -9.595978600130294911e-01
2.844631494557852492e-10 5.263674061516862480e-09 -4.979210912061077179e-09 -1.750388731048978030e+01 -9.459573016620619335e-01
1.027189637038914156e-09 1.134691385577068704e-09 -1.075017485381545474e-10 -1.046561848579883464e-01 -9.474095767765303155e-02
8.384874061714122242e-10 1.888477590706656048e-10 6.496396471007465677e-10 7.747756761989345042e-01 3.440017770386439189e+00
4.714240855035933585e-10 5.413372791841405075e-08 -5.366230383291045460e-08 -1.138302125051296798e+02 -9.912914904694151152e-01
1.701078596139051774e-10 2.339873862247395396e-08 -2.322863076286004761e-08 -1.365523663373474221e+02 -9.927300414625546132e-01
-2.352330452311193215e-10 6.333908801380087706e-09 -6.569141846611206976e-09 2.792610128460882279e+01 -1.037138685227021906e+00
-6.061980276994505670e-13 1.360280090851248848e-09 -1.360886288878948232e-09 2.244953343123821014e+03 -1.000445642064289986e+00
2.071009717535567680e-10 2.604695013786958175e-10 -5.336852962513904952e-11 -2.576932844556896196e-01 -2.048935838654933617e-01
7.932316545130758828e-10 6.675691102955752066e-08 -6.596367937504443867e-08 -8.315815310665603022e+01 -9.881176099630812892e-01
4.934104617171754979e-10 2.810699328509185055e-08 -2.761358282337467588e-08 -5.596472909648776550e+01 -9.824452777032225415e-01
7.480987540808805037e-10 7.468952892194691102e-09 -6.720854138113810909e-09 -8.983913021444742242e+00 -8.998388710065813312e-01
6.432603244535268608e-10 1.608124989987455934e-09 -9.648646655339290730e-10 -1.499959858947645941e+00 -5.999935773284982288e-01
-1.013339224233582006e-10 3.270748208379090982e-10 -4.284087432612672988e-10 4.227693283907817623e+00 -1.309818781414473277e+00
3.353162618682934715e-10 7.120177206580650388e-08 -7.086645580393820405e-08 -2.113421383415438015e+02 -9.952906191497818966e-01
4.414665288075374389e-10 2.972251925234174234e-08 -2.928105272353420614e-08 -6.632677861813535003e+01 -9.851470689594135077e-01
-1.932452923128313336e-10 7.845857025114930871e-09 -8.039102317427762023e-09 4.160050794103599259e+01 -1.024630233726442352e+00
-1.633424719608339354e-10 1.691779019628662185e-09 -1.855121491589496120e-09 1.135725123612868437e+01 -1.096550713814081313e+00
-1.312878356660587447e-10 3.600005554731829193e-10 -4.912883911392416639e-10 3.742070913476504668e+00 -1.364687869699241718e+00
5.243143576250069932e-10 7.956011604743611116e-08 -7.903580168981109869e-08 -1.507412500543004512e+02 -9.934098341773106577e-01
4.848811860811812985e-10 3.144492491117688980e-08 -3.096004372509570984e-08 -6.385078368438122709e+01 -9.845799858816379757e-01
-3.759829428745306495e-11 8.293722668879869527e-09 -8.331320963167323232e-09 2.215877374508335151e+02 -1.004533343564589121e+00
2.974464036561868337e-10 2.164688640876545550e-09 -1.867242237220358716e-09 -6.277575436342043957e+00 -8.625915995310337037e-01
-2.458381650188194397e-10 6.178542088468588680e-10 -8.636923738656783076e-10 3.513255860006768483e+00 -1.397890249024350107e+00
5.632866116741176282e-10 1.062285291660870838e-07 -1.056652425544129662e-07 -1.875869945503768861e+02 -9.946974074093276608e-01
3.552798407750990445e-10 4.003998260562529564e-08 -3.968470276485019623e-08 -1.116998439266122034e+02 -9.911268732488114352e-01
-2.078952733090685192e-10 1.076595005189253469e-08 -1.097384532520160404e-08 5.278544889708619792e+01 -1.019310443788704390e+00
-1.442956260428126750e-10 3.098412853646862236e-09 -3.242708479689675040e-09 2.247267341788696982e+01 -1.046570819596547741e+00
-2.648102702146158892e-10 7.800930903124869713e-10 -1.044903360527102912e-09 3.945856630410366606e+00 -1.339459833067537131e+00
7.259947424319820492e-10 1.164846476732191433e-07 -1.157586529307871608e-07 -1.594483350430495818e+02 -9.937674641514249174e-01
8.868885298187272894e-10 4.325220562534744289e-08 -4.236531709552871425e-08 -4.776848010898036279e+01 -9.794949525233234144e-01
