# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 6.448003580015758555e-11 -2.534666668759720477e-10 1.341188344556978551e+00 -3.930932477480922671e+00
-1.225654403117453744e-10 3.299306666635607992e-11 -1.555585069781014543e-10 1.269187354791351918e+00 -4.714884752945038393e+00
-5.190905464379474725e-10 1.015437853581787628e-11 -5.292449249737653908e-10 1.019561863735524154e+00 -5.211987352125412798e+01
3.668416608353331481e-10 2.333426416712797370e-12 3.645082344186203576e-10 9.936391455337996170e-01 1.562115830213834045e+02
6.676827973921091955e-10 4.454030883183449317e-13 6.672373943037908648e-10 9.993329121402287907e-01 1.498052913874035085e+03
4.548721662157189054e-10 1.250840903216910233e-10 3.297880758940278821e-10 7.250126527584211944e-01 2.636530953264156540e+00
4.132488493632760591e-10 6.075585289642196475e-11 3.524929964668541073e-10 8.529799829085232821e-01 5.801794883330707364e+00
-2.152952783550507314e-10 1.798511444430944615e-11 -2.332803927993601646e-10 1.083536966447771199e+00 -1.297074831087165592e+01
-5.335946767176399797e-10 4.041195364703613529e-12 -5.376358720823435674e-10 1.007573530136324891e+00 -1.330388223192902899e+02
-6.226714681408482057e-10 7.548771310611811521e-13 -6.234263452719094048e-10 1.001212320091227292e+00 -8.258646601143120733e+02
8.031198942505501301e-10 1.486014997927498419e-10 6.545183944578002882e-10 8.149697188968021422e-01 4.404520784585875148e+00
1.375952790858379807e-09 7.004701125938041388e-11 1.305905779598999290e-09 9.490919952161425144e-01 1.864327622435308029e+01
5.651602840720748566e-10 2.053550407192202966e-11 5.446247800001528431e-10 9.636642831234348838e-01 2.652113033567129818e+01
-2.374520260922235148e-10 4.771994787192905242e-12 -2.422240208794164338e-10 1.020096669065015726e+00 -5.075948983211340249e+01
-8.374678107506620310e-10 9.485186521721907375e-13 -8.384163294028341977e-10 1.001132603116198450e+00 -8.839218158575873758e+02
6.572999554875109925e-10 1.734577925050610820e-10 4.838421629824499105e-10 7.361055769790678660e-01 2.789394215127766863e+00
1.227491330369275912e-10 7.996621458092031847e-11 4.278291845600727272e-11 3.485394755752495022e-01 5.350124259378802316e-01
4.490879128365858179e-11 2.341622641696130718e-11 2.149256486669727461e-11 4.785825726402481162e-01 9.178492078095620288e-01
4.698350655961977071e-10 5.491524437315842602e-12 4.643435411588818710e-10 9.883118037808706902e-01 8.455640076980965603e+01
5.607438834933431508e-10 1.021387636038626315e-12 5.597224958573045203e-10 9.981785131035659786e-01 5.480020279353932438e+02
1.384959292694439189e-09 1.820042700073566224e-10 1.202955022687082463e-09 8.685851122358496657e-01 6.609487912775117380e+00
9.691182099942607598e-10 8.324009749456129684e-11 8.858781124996994889e-10 9.141073847997818191e-01 1.064244443680019181e+01
2.053444597321272276e-10 2.433174852970600050e-11 1.810127112024212271e-10 8.815076454390496918e-01 7.439363060218524559e+00
-4.316390813605022176e-10 5.675985335266225075e-12 -4.373150666957684225e-10 1.013149841106546267e+00 -7.704654625843156168e+01
-1.747211379157624652e-09 1.058834702857392160e-12 -1.748270213860482015e-09 1.000606014083635253e+00 -1.651126667026085897e+03
8.317422204797886697e-10 3.132599165186932086e-10 5.184823039610954611e-10 6.233689852392128028e-01 1.655118566470523689e+00
7.580061027865223463e-10 1.406362032110582390e-10 6.173698995754641072e-10 8.144656056276294853e-01 4.389836226230830363e+00
2.844631494557852492e-10 3.920797586998363583e-11 2.452551735858016199e-10 8.621685236031677579e-01 6.255236801794736401e+00
1.027189637038914156e-09 8.367907369907671509e-12 1.018821729669006425e-09 9.918535905463085056e-01 1.217534665038061661e+02
8.384874061714122242e-10 1.367258724349018595e-12 8.371201474470632177e-10 9.983693747642651273e-01 6.122616974674155017e+02
4.714240855035933585e-10 4.044588885799786133e-10 6.696519692361474520e-11 1.420487390924881355e-01 1.655673761027331159e-01
1.701078596139051774e-10 1.738305456197668901e-10 -3.722686005861712697e-12 -2.188426810090442209e-02 -2.141560329681432492e-02
-2.352330452311193215e-10 4.675520238892987247e-11 -2.819882476200492134e-10 1.198761200166381213e+00 -6.031163019557689964e+00
-6.061980276994505670e-13 9.982605949957239544e-12 -1.058880397765669021e-11 1.746756586761208752e+01 -1.060725428884834232e+00
2.071009717535567680e-10 1.939512473642489075e-12 2.051614592799142886e-10 9.906349426696537952e-01 1.057799122552752209e+02
7.932316545130758828e-10 4.937688885250243262e-10 2.994627659880515566e-10 3.775224605375542275e-01 6.064836666453413683e-01
