# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.051243254872563913e-10 -2.941109565630708794e-10 1.556252708928836270e+00 -2.797744054003221681e+00
-1.225654403117453744e-10 5.264074736739619506e-11 -1.752061876791415565e-10 1.429490949761240692e+00 -3.328337769529047918e+00
-5.190905464379474725e-10 1.594902095116413956e-11 -5.350395673891116120e-10 1.030724930478137180e+00 -3.354685964909077001e+01
3.668416608353331481e-10 3.657314365302319478e-12 3.631843464700308505e-10 9.900302644007928921e-01 9.930356272231726678e+01
6.676827973921091955e-10 7.205210764951654675e-13 6.669622763156140572e-10 9.989208632013444333e-01 9.256665739188674706e+02
4.548721662157189054e-10 1.847446868839385188e-10 2.701274793317803607e-10 5.938536129372112837e-01 1.462166430266444106e+00
4.132488493632760591e-10 8.832146731738379728e-11 3.249273820458922747e-10 7.862753460694025254e-01 3.678917390245154184e+00
-2.152952783550507314e-10 2.585464216010370040e-11 -2.411499205151544318e-10 1.120089220523758700e+00 -9.327142066861512149e+00
-5.335946767176399797e-10 5.809708779618553651e-12 -5.394043854972584986e-10 1.010887868700933057e+00 -9.284533975086338842e+01
-6.226714681408482057e-10 1.136495117256323116e-12 -6.238079632581045292e-10 1.001825192216771354e+00 -5.488874996349077264e+02
8.031198942505501301e-10 2.093935962135410130e-10 5.937262980370091429e-10 7.392747985542788003e-01 2.835455853346742217e+00
1.375952790858379807e-09 9.836126155995670493e-11 1.277591529298423167e-09 9.285140724206136786e-01 1.298876721421125247e+01
5.651602840720748566e-10 2.855046429317055206e-11 5.366098197789043368e-10 9.494825360206495812e-01 1.879513461738220315e+01
-2.374520260922235148e-10 6.515168506849647522e-12 -2.439671945990731583e-10 1.027437830765525861e+00 -3.744602988281593525e+01
-8.374678107506620310e-10 1.336534255464624718e-12 -8.388043450061266767e-10 1.001595923136755051e+00 -6.275965928868241690e+02
6.572999554875109925e-10 2.341395503384613596e-10 4.231604051490496328e-10 6.437858417854249726e-01 1.807299982157428930e+00
1.227491330369275912e-10 1.085746419829041129e-10 1.417449105402347831e-11 1.154752844548340290e-01 1.305506589306125176e-01
4.490879128365858179e-11 3.137227718310545646e-11 1.353651410055312532e-11 3.014223655019366843e-01 4.314801256391673223e-01
4.698350655961977071e-10 7.227598749906407932e-12 4.626074668462913186e-10 9.846167319573414511e-01 6.400569301834606506e+01
5.607438834933431508e-10 1.475696578731273110e-12 5.592681869146118434e-10 9.973683233608577892e-01 3.789858938315364298e+02
1.384959292694439189e-09 2.410293836881420007e-10 1.143929909006297188e-09 8.259664490071624288e-01 4.746018479167589454e+00
9.691182099942607598e-10 1.113845007191902649e-10 8.577337092750704691e-10 8.850661358227394082e-01 7.700655869863703984e+00
2.053444597321272276e-10 3.216373199001655469e-11 1.731807277421106729e-10 8.433669355775447185e-01 5.384348053760210639e+00
-4.316390813605022176e-10 7.425206304613245152e-12 -4.390642876651154385e-10 1.017202349428623087e+00 -5.913159441675403372e+01
-1.747211379157624652e-09 1.506036782749868153e-12 -1.748717415940374591e-09 1.000861965988039781e+00 -1.161138583048016017e+03
8.317422204797886697e-10 3.989947921563290809e-10 4.327474283234595888e-10 5.202903227322405177e-01 1.084594177244062818e+00
7.580061027865223463e-10 1.765611411722620057e-10 5.814449616142603148e-10 7.670716099471998062e-01 3.293164949851412171e+00
