# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 6.261667266611598847e-11 -2.516033037419304377e-10 1.331328582924981907e+00 -4.018151923905747935e+00
-1.225654403117453744e-10 3.227235681782369908e-11 -1.548377971295690735e-10 1.263307150333233597e+00 -4.797845970891525091e+00
-5.190905464379474725e-10 9.980656375920080843e-12 -5.290712028138675259e-10 1.019227197344294344e+00 -5.300966017529025720e+01
3.668416608353331481e-10 2.298410147782465480e-12 3.645432506875506810e-10 9.937345988932969609e-01 1.586067008272072485e+02
6.676827973921091955e-10 4.414404411492787621e-13 6.672413569509599666e-10 9.993388470649933186e-01 1.511509356083947296e+03
4.548721662157189054e-10 1.218747417393438332e-10 3.329974244763750722e-10 7.320681483915068011e-01 2.732292349702483136e+00
4.132488493632760591e-10 5.971348735602446458e-11 3.535353620072515816e-10 8.555023505860219757e-01 5.920527801355811803e+00
-2.152952783550507314e-10 1.778261790445079838e-11 -2.330778962595015104e-10 1.082596413819744141e+00 -1.310706317325553094e+01
-5.335946767176399797e-10 4.003641505496066023e-12 -5.375983182231360627e-10 1.007503151137346675e+00 -1.342773366409402342e+02
-6.226714681408482057e-10 7.459252338759944186e-13 -6.234173933747241831e-10 1.001197943493545850e+00 -8.357639144814928613e+02
8.031198942505501301e-10 1.447253545818693134e-10 6.583945396686808684e-10 8.197960782469184693e-01 4.549268796548260774e+00
1.375952790858379807e-09 6.883168881652142259e-11 1.307121102041858398e-09 9.499752540393618938e-01 1.899010651222195278e+01
5.651602840720748566e-10 2.027153263971471921e-11 5.448887514323600954e-10 9.641313566946796421e-01 2.687950443198597128e+01
-2.374520260922235148e-10 4.710008690285806666e-12 -2.421620347825093360e-10 1.019835622242517781e+00 -5.141434988898391367e+01
-8.374678107506620310e-10 9.494687198232818494e-13 -8.384172794704853636e-10 1.001133737568936866e+00 -8.830383370886976309e+02
6.572999554875109925e-10 1.690168421741303604e-10 4.882831133133806062e-10 7.428619296820540008e-01 2.888961283576252814e+00
1.227491330369275912e-10 7.860643062286841764e-11 4.414270241405917355e-11 3.596172235349260893e-01 5.615660457328671695e-01
4.490879128365858179e-11 2.312386161869331865e-11 2.178492966496526314e-11 4.850927634049319592e-01 9.420973894496209589e-01
4.698350655961977071e-10 5.444684150208768343e-12 4.643903814459889210e-10 9.884114989516592509e-01 8.529243729008275920e+01
5.607438834933431508e-10 1.036238845689197894e-12 5.597076446476539164e-10 9.981520282678187916e-01 5.401338185458535008e+02
1.384959292694439189e-09 1.774623309477681279e-10 1.207496961746670983e-09 8.718645870070916848e-01 6.804243781189087237e+00
9.691182099942607598e-10 8.186848142113563407e-11 8.872497285731250741e-10 9.155227086057742270e-01 1.083750074719313972e+01
2.053444597321272276e-10 2.404836092725229331e-11 1.812960988048749310e-10 8.828877050852821373e-01 7.538813117172779243e+00
