# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.059636226435121356e-10 -2.949502537193266107e-10 1.560693748760479505e+00 -2.783504813832311964e+00
-1.225654403117453744e-10 5.249235858096408196e-11 -1.750577988927094434e-10 1.428280259487908488e+00 -3.334919664977536335e+00
-5.190905464379474725e-10 1.580015436158468383e-11 -5.348907007995321175e-10 1.030438147005386496e+00 -3.385351108341228610e+01
3.668416608353331481e-10 3.625266019634311292e-12 3.632163948156988154e-10 9.901176272853544624e-01 1.001902737201992295e+02
6.676827973921091955e-10 7.250726620104952550e-13 6.669577247300986580e-10 9.989140462134975529e-01 9.198494987809160648e+02
4.548721662157189054e-10 1.855116475550553439e-10 2.693605186606635615e-10 5.921675113726827533e-01 1.451987097363921064e+00
4.132488493632760591e-10 8.752563690210676971e-11 3.257232124611692765e-10 7.882011358604767981e-01 3.721460637018557893e+00
-2.152952783550507314e-10 2.538901607208997270e-11 -2.406842944271407138e-10 1.117926488058972101e+00 -9.479859075426078974e+00
-5.335946767176399797e-10 5.696309617023598504e-12 -5.392909863346636210e-10 1.010675349409525525e+00 -9.467374889928309756e+01
-6.226714681408482057e-10 1.136810967332070898e-12 -6.238082791081803194e-10 1.001825699466728947e+00 -5.487352752869434198e+02
8.031198942505501301e-10 2.106204971566484543e-10 5.924993970939017016e-10 7.377471300805046317e-01 2.813113657467211315e+00
1.375952790858379807e-09 9.752853579159879136e-11 1.278424255066781029e-09 9.291192717951055613e-01 1.310820719997834516e+01
5.651602840720748566e-10 2.807558526216658363e-11 5.370846988099082859e-10 9.503227915099107248e-01 1.912995557509035649e+01
-2.374520260922235148e-10 6.419087274146396770e-12 -2.438711133663698962e-10 1.027033196472508791e+00 -3.799155595665266816e+01
-8.374678107506620310e-10 1.330320225453689036e-12 -8.387981309761157041e-10 1.001588503114240636e+00 -6.305234746694571868e+02
6.572999554875109925e-10 2.356477936498531169e-10 4.216521618376578756e-10 6.414912374745619372e-01 1.789332101552314702e+00
1.227491330369275912e-10 1.076448932350839448e-10 1.510423980184364640e-11 1.230496658359266637e-01 1.403154329751411522e-01
4.490879128365858179e-11 3.085551001691757873e-11 1.405328126674100306e-11 3.129294034652567724e-01 4.554545123070665724e-01
4.698350655961977071e-10 7.114850097741611315e-12 4.627202154984560974e-10 9.848567069196650925e-01 6.503583478804877416e+01
5.607438834933431508e-10 1.454252171983400777e-12 5.592896313213597604e-10 9.974065661440234543e-01 3.845891669245817752e+02
1.384959292694439189e-09 2.424008163127962455e-10 1.142558476381642840e-09 8.249762158415462343e-01 4.713509194239985156e+00
9.691182099942607598e-10 1.103427653692263001e-10 8.587754446250344598e-10 8.861410669706848431e-01 7.782797918390215841e+00
2.053444597321272276e-10 3.161053147309759955e-11 1.737339282590296151e-10 8.460609479586949089e-01 5.496077419858862001e+00
-4.316390813605022176e-10 7.299048199319590485e-12 -4.389381295598218129e-10 1.016910072591928893e+00 -6.013635169592922836e+01
-1.747211379157624652e-09 1.479122303484671983e-12 -1.748690501461109336e-09 1.000846561738968132e+00 -1.182248754779344608e+03
8.317422204797886697e-10 3.931711993794013016e-10 4.385710211003873681e-10 5.272920026199927612e-01 1.115470873229390092e+00
7.580061027865223463e-10 1.711340333364984203e-10 5.868720694500239260e-10 7.742313251735191137e-01 3.429312440127357586e+00
2.844631494557852492e-10 4.599935349054362709e-11 2.384637959652416286e-10 8.382941566296150393e-01 5.184068424228269301e+00
1.027189637038914156e-09 9.290881431675656225e-12 1.017898755607238568e-09 9.909550475426733840e-01 1.095589006374452765e+02
8.384874061714122242e-10 1.542952321901377319e-12 8.369444538495108822e-10 9.981598384059856555e-01 5.424305352599267280e+02
4.714240855035933585e-10 4.759656196361997535e-10 -4.541534132606394954e-12 -9.633648920917888686e-03 -9.541727270296703270e-03
1.701078596139051774e-10 1.998460604111994833e-10 -2.973820079729430585e-11 -1.748196753800281555e-01 -1.488055393041301244e-01
-2.352330452311193215e-10 5.206139325631869742e-11 -2.872944384874380319e-10 1.221318366240456310e+00 -5.518377832744018718e+00
-6.061980276994505670e-13 1.074299446799934168e-11 -1.134919249569879234e-11 1.872192250240321698e+01 -1.056427286591756332e+00
2.071009717535567680e-10 2.397119814710059062e-12 2.047038519388467202e-10 9.884253569917453852e-01 8.539575313785741173e+01
7.932316545130758828e-10 5.537680130238910450e-10 2.394636414891848378e-10 3.018836176377495129e-01 4.324259181774981475e-01
4.934104617171754979e-10 2.274169360712335796e-10 2.659935256459419441e-10 5.390917831783029746e-01 1.169629361124736366e+00
7.480987540808805037e-10 5.797967630091985743e-11 6.901190777799606915e-10 9.224972959991705190e-01 1.190277562430978620e+01
6.432603244535268608e-10 1.215601519278763957e-11 6.311043092607392681e-10 9.811024950075778461e-01 5.191703854032558496e+01
-1.013339224233582006e-10 3.177554750485450250e-12 -1.045114771738436533e-10 1.031357265903614095e+00 -3.289053545273356605e+01
3.353162618682934715e-10 5.746378242588425753e-10 -2.393215623905491038e-10 -7.137189262969612091e-01 -4.164737375219281779e-01
4.414665288075374389e-10 2.347026097679883191e-10 2.067639190395491198e-10 4.683569547119398879e-01 8.809613120362932426e-01
-1.932452923128313336e-10 5.952180198859576250e-11 -2.527670943014270832e-10 1.308011653356295323e+00 -4.246630408633405906e+00
