# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 4.803351078157579124e-11 -2.370201418573902534e-10 1.254163537961087371e+00 -4.934474661558655662e+00
-1.225654403117453744e-10 2.687378187738483571e-11 -1.494392221891302004e-10 1.219260680735379632e+00 -5.560781242884470288e+00
-5.190905464379474725e-10 8.842472543938681633e-12 -5.279330189818861121e-10 1.017034547449604975e+00 -5.970423050324000513e+01
3.668416608353331481e-10 2.111795719188706730e-12 3.647298651161444394e-10 9.942433045516696488e-01 1.727107701763234502e+02
6.676827973921091955e-10 4.224310311770406787e-13 6.672603663609321398e-10 9.993673177849915490e-01 1.579572325692341337e+03
4.548721662157189054e-10 6.754473055445266055e-11 3.873274356612662707e-10 8.515083235002333106e-01 5.734384199652907022e+00
4.132488493632760591e-10 3.902130220394269843e-11 3.742275471593333607e-10 9.055743234032815892e-01 9.590339789365653900e+00
-2.152952783550507314e-10 1.298856314878348504e-11 -2.282838415038342116e-10 1.060329066424594791e+00 -1.757575791015924693e+01
-5.335946767176399797e-10 3.055808177302001072e-12 -5.366504848949419537e-10 1.005726834075818532e+00 -1.756165484735220446e+02
-6.226714681408482057e-10 5.755983162542153783e-13 -6.232470664571023774e-10 1.000924401302620836e+00 -1.082781253623130397e+03
8.031198942505501301e-10 6.430007066787152213e-11 7.388198235826786338e-10 9.199371462116816556e-01 1.149018680553085048e+01
1.375952790858379807e-09 3.844228815594233255e-11 1.337510502702437546e-09 9.720613320374456023e-01 3.479268708659549247e+01
5.651602840720748566e-10 1.298555609467225450e-11 5.521747279774026215e-10 9.770232331240455981e-01 4.252222422757468223e+01
-2.374520260922235148e-10 2.992715112961647360e-12 -2.404447412051851646e-10 1.012603451578043545e+00 -8.034334446463115853e+01
-8.374678107506620310e-10 4.780294858289018382e-13 -8.379458402364908998e-10 1.000570803414402743e+00 -1.752916640243425718e+03
6.572999554875109925e-10 6.480799885224276478e-11 5.924919566352682535e-10 9.014027031172161530e-01 9.142265879650198102e+00
1.227491330369275912e-10 3.925544454568003390e-11 8.349368849124755729e-11 6.801977857239080993e-01 2.126932695771390325e+00
4.490879128365858179e-11 1.328526492507488518e-11 3.162352635858369660e-11 7.041722890923334255e-01 2.380345934908441041e+00
4.698350655961977071e-10 3.024435107221452329e-12 4.668106304889762160e-10 9.935627727075168059e-01 1.543463866605605688e+02
5.607438834933431508e-10 4.816559449248643246e-13 5.602622275484183281e-10 9.991410411078865961e-01 1.163200067292465747e+03
1.384959292694439189e-09 6.612316370205200332e-11 1.318836128992387198e-09 9.522562402730195830e-01 1.994514562151023895e+01
9.691182099942607598e-10 3.978760490750899961e-11 9.293306050867517473e-10 9.589445286475994923e-01 2.335728946859432398e+01
2.053444597321272276e-10 1.354224120165832804e-11 1.918022185304689108e-10 9.340511001888035514e-01 1.416325523038103817e+01
-4.316390813605022176e-10 3.165326391347334703e-12 -4.348044077518495373e-10 1.007333271077703207e+00 -1.373647940194796604e+02
-1.747211379157624652e-09 5.087054932425404301e-13 -1.747720084650867231e-09 1.000291152804583916e+00 -3.435622590805383425e+03
8.317422204797886697e-10 2.933300785847227206e-10 5.384121418950659491e-10 6.473305414079906228e-01 1.835516304679119415e+00
7.580061027865223463e-10 1.485508451940688082e-10 6.094552575924535639e-10 8.040242095044117798e-01 4.102671087439812680e+00
2.844631494557852492e-10 4.510744504356182386e-11 2.393557044122234318e-10 8.414295660796198284e-01 5.306345863328533419e+00
1.027189637038914156e-09 1.020539196472134660e-11 1.016984245074192855e-09 9.900647440387536635e-01 9.965165949429176351e+01
8.384874061714122242e-10 1.918109488907612501e-12 8.365692966825045976e-10 9.977124170562491345e-01 4.361426193449161701e+02
4.714240855035933585e-10 3.674357734871210107e-10 1.039883120164723478e-10 2.205833668964707894e-01 2.830108539230659082e-01
1.701078596139051774e-10 1.840670731431063569e-10 -1.395921352920117951e-11 -8.206095568355566139e-02 -7.583764597782423345e-02
-2.352330452311193215e-10 5.552265710176968664e-11 -2.907557023328890146e-10 1.236032556766069934e+00 -5.236703672159481293e+00
-6.061980276994505670e-13 1.271049939154186141e-11 -1.331669741924131208e-11 2.196756968969165413e+01 -1.047692699478262934e+00
2.071009717535567680e-10 2.546659543393483454e-12 2.045543122101632922e-10 9.877032950553997770e-01 8.032259857459779084e+01
7.932316545130758828e-10 4.372397117194724185e-10 3.559919427936034643e-10 4.487868591327568990e-01 8.141802614260332804e-01
4.934104617171754979e-10 2.194098138840340126e-10 2.740006478331414853e-10 5.553198991354171277e-01 1.248807621604203666e+00
7.480987540808805037e-10 6.654531109256859962e-11 6.815534429883118782e-10 9.110474242477162310e-01 1.024194540228731221e+01
6.432603244535268608e-10 1.555003753770299210e-11 6.277102869158238396e-10 9.758262138257736140e-01 4.036712357728156775e+01
-1.013339224233582006e-10 3.186180187872762973e-12 -1.045201026112309599e-10 1.031442384856685601e+00 -3.280420329303888849e+01
3.353162618682934715e-10 4.592863026692874167e-10 -1.239700408009939451e-10 -3.697107921645842454e-01 -2.699188721294384363e-01
4.414665288075374389e-10 2.309013627854660977e-10 2.105651660220713412e-10 4.769674534348893324e-01 9.119269088840786797e-01
-1.932452923128313336e-10 7.034851201158018147e-11 -2.635938043244115151e-10 1.364037390870551647e+00 -3.746970572469548788e+00
-1.633424719608339354e-10 1.660750032992265063e-11 -1.799499722907565893e-10 1.101672884771235594e+00 -1.083546402022529520e+01
-1.312878356660587447e-10 3.372623952150781957e-12 -1.346604596182095254e-10 1.025688777144055708e+00 -3.992750497200678694e+01
5.243143576250069932e-10 6.151906340921440055e-10 -9.087627646713701231e-11 -1.733240281246166137e-01 -1.477205136603647606e-01
4.848811860811812985e-10 2.875931650841557242e-10 1.972880209970255743e-10 4.068791008195450920e-01 6.859969044789190340e-01
-3.759829428745306495e-11 8.335356779403145220e-11 -1.209518620814845107e-10 3.216950778584851456e+00 -1.451070005549844000e+00
2.974464036561868337e-10 1.875894504077729980e-11 2.786874586154095178e-10 9.369333607325760482e-01 1.485624367519666045e+01
-2.458381650188194397e-10 3.303804286720855811e-12 -2.491419693055402761e-10 1.013438939745046952e+00 -7.541063201198960542e+01
5.632866116741176282e-10 8.522646198703484511e-10 -2.889780081962308229e-10 -5.130212616582042751e-01 -3.390707550903519496e-01
3.552798407750990445e-10 3.872826385430060382e-10 -3.200279776790699374e-11 -9.007771929329803917e-02 -8.263421744983082129e-02
-2.078952733090685192e-10 1.091879747670592063e-10 -3.170832480761277255e-10 1.525206624610143891e+00 -2.904012541239918477e+00
-1.442956260428126750e-10 2.291719642831054129e-11 -1.672128224711232228e-10 1.158821144180149920e+00 -7.296390856281113280e+00
-2.648102702146158892e-10 2.762020638016535865e-12 -2.675722908526324465e-10 1.010430187000595170e+00 -9.687555812210788986e+01
7.259947424319820492e-10 9.344331908033344345e-10 -2.084384483713523853e-10 -2.871073799696019502e-01 -2.230640461220746718e-01
8.868885298187272894e-10 4.225502947425604809e-10 4.643382350761668085e-10 5.235587331037799830e-01 1.098894595160714971e+00
2.886404154093102008e-10 1.180387431486430556e-10 1.706016722606671452e-10 5.910526147862671387e-01 1.445302344890549984e+00
-1.314381489561711098e-10 2.350038184937992669e-11 -1.549385308055510300e-10 1.178794224021035619e+00 -6.593021841031879937e+00
-7.308511046704866833e-10 1.784961614158488062e-12 -7.326360662846452113e-10 1.002442305420012003e+00 -4.104491998445821537e+02
5.281775264915396830e-10 1.356113492874452236e-09 -8.279359663829125526e-10 -1.567533499356819737e+00 -6.105211479225081117e-01
-5.419666256695689987e-10 5.684058147485569197e-10 -1.110372440418126022e-09 2.048783795582106215e+00 -1.953485364869668617e+00
3.018834755226183122e-10 1.459658598395581378e-10 1.559176156830601744e-10 5.164827767175291795e-01 1.068178653929355404e+00
6.503704506129455257e-10 2.758290930205696801e-11 6.227875413108885157e-10 9.575889260096898115e-01 2.257874738631884526e+01
5.795016297527579246e-11 5.025261495266694006e-12 5.292490148000909846e-11 9.132830481009914791e-01 1.053177064116149886e+01
1.352349073539644995e-09 1.567866894469908343e-09 -2.155178209302633478e-10 -1.593655256228822259e-01 -1.374592586210128253e-01
5.619686650340384022e-10 6.391042233703727140e-10 -7.713555833633431187e-11 -1.372595362263876739e-01 -1.206932383102604367e-01
4.991054217839956411e-10 1.585358225276381253e-10 3.405695992563575158e-10 6.823600473804315447e-01 2.148218578151223745e+00
2.864546895915383006e-10 2.994995797007345100e-11 2.565047316214648432e-10 8.954460895271788567e-01 8.564443792467725913e+00
-1.652498442680650529e-10 7.828336401229287007e-12 -1.730781806692943431e-10 1.047372730884576830e+00 -2.210919048421524025e+01
1.283787225956523034e-09 1.911340042176197121e-09 -6.275528162196740878e-10 -4.888293040555046765e-01 -3.283313290005479002e-01
5.194962200390622909e-10 7.421564219113335943e-10 -2.226602018722713034e-10 -4.286079345399835816e-01 -3.000178874674924168e-01
7.247182187875589696e-10 1.849763261134559403e-10 5.397418926741030551e-10 7.447610377135017723e-01 2.917897138594104600e+00
-3.516667382857595751e-10 4.509559530061016034e-11 -3.967623335863697290e-10 1.128233894170469043e+00 -8.798250271263219346e+00
-4.030469475903973660e-10 1.591955444264297617e-11 -4.189665020330403454e-10 1.039498015151379962e+00 -2.631772789512086419e+01
