# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 1.666057375949071471e-08 -1.684956039056652872e-08 8.915741973201853909e+01 -1.011343344701328695e+00
-1.225654403117453744e-10 7.860081722566507993e-09 -7.982647162878252799e-09 6.512967393234485769e+01 -1.015593405340793787e+00
-5.190905464379474725e-10 2.304668897372939024e-09 -2.823759443810886600e-09 5.439820592356793050e+00 -1.225234326297218512e+00
3.668416608353331481e-10 5.296063070142465975e-10 -1.627646461789134494e-10 -4.436918255366169572e-01 -3.073313969701932380e-01
6.676827973921091955e-10 1.068059670121110444e-10 5.608768303799981640e-10 8.400348677107113415e-01 5.251362316830094912e+00
4.548721662157189054e-10 3.069590106518572722e-08 -3.024102889897001146e-08 -6.648247825440364522e+01 -9.851813385360556063e-01
4.132488493632760591e-10 1.354216035130416646e-08 -1.312891150194089118e-08 -3.176998925022925846e+01 -9.694842743961838982e-01
-2.152952783550507314e-10 3.803489728910541406e-09 -4.018785007265591775e-09 1.866638710319544359e+01 -1.056604669316858924e+00
-5.335946767176399797e-10 8.805335789589079808e-10 -1.414128255676547857e-09 2.650191835449767996e+00 -1.605990151276833089e+00
-6.226714681408482057e-10 1.897897526821787305e-10 -8.124612208230268845e-10 1.304799179652227581e+00 -4.280848725186821468e+00
8.031198942505501301e-10 3.631667638830495948e-08 -3.551355649405440656e-08 -4.421949543062272170e+01 -9.778856444443473350e-01
1.375952790858379807e-09 1.555680899059375895e-08 -1.418085619973537852e-08 -1.030620839170560288e+01 -9.115530188941489698e-01
5.651602840720748566e-10 4.370410945969797281e-09 -3.805250661897722218e-09 -6.733046834926636137e+00 -8.706848644077186394e-01
-2.374520260922235148e-10 1.013489141961712669e-09 -1.250941168053936287e-09 5.268184856709059005e+00 -1.234291632994321652e+00
-8.374678107506620310e-10 2.029377488855397216e-10 -1.040405559636201830e-09 1.242323043680493289e+00 -5.126722678997528426e+00
6.572999554875109925e-10 4.205530817501187031e-08 -4.139800821952435807e-08 -6.298191240378220357e+01 -9.843705828345811204e-01
1.227491330369275912e-10 1.760185137729627777e-08 -1.747910224425935088e-08 -1.423969506896718826e+02 -9.930263510124136550e-01
4.490879128365858179e-11 4.903825147620952578e-09 -4.858916356337294216e-09 -1.081952156237470888e+02 -9.908420896072435147e-01
4.698350655961977071e-10 1.128174144210478854e-09 -6.583390786142811468e-10 -1.401213163557473163e+00 -5.835438455957535631e-01
5.607438834933431508e-10 2.309714504216706218e-10 3.297724330716725032e-10 5.880981367415796246e-01 1.427762749333854497e+00
1.384959292694439189e-09 4.391745455743346247e-08 -4.253249526473902493e-08 -3.071028548571418781e+01 -9.684644907895733068e-01
9.691182099942607598e-10 1.821983267802190870e-08 -1.725071446802764629e-08 -1.780042340565430692e+01 -9.468097085675608593e-01
2.053444597321272276e-10 5.057403115401690744e-09 -4.852058655669563620e-09 -2.362887541255846813e+01 -9.593972528891802076e-01
-4.316390813605022176e-10 1.164582010329308651e-09 -1.596221091689810868e-09 3.698045799417910562e+00 -1.370638630454585005e+00
-1.747211379157624652e-09 2.391052262812351906e-10 -1.986316605438859739e-09 1.136849627431177678e+00 -8.307290628196295046e+00
8.317422204797886697e-10 6.612909858403058783e-08 -6.529735636355080257e-08 -7.850672330410756672e+01 -9.874224473297048554e-01
7.580061027865223463e-10 2.642750814279887795e-08 -2.566950204001235509e-08 -3.386450576802502610e+01 -9.713175340372350863e-01
2.844631494557852492e-10 6.912771069567563949e-09 -6.628307920111778648e-09 -2.330111275500038559e+01 -9.588496209995884811e-01
1.027189637038914156e-09 1.664235046600302476e-09 -6.370454095613883201e-10 -6.201828626287576585e-01 -3.827857193986775042e-01
8.384874061714122242e-10 4.483318781065682660e-10 3.901555280648439582e-10 4.653087514412641568e-01 8.702382032537605561e-01
4.714240855035933585e-10 8.338170174477129392e-08 -8.291027765926770439e-08 -1.758719594708440752e+02 -9.943461925621690511e-01
1.701078596139051774e-10 3.192411696793312207e-08 -3.175400910831921573e-08 -1.866698527651307700e+02 -9.946714936615231872e-01
-2.352330452311193215e-10 8.502144756144106957e-09 -8.737377801375226227e-09 3.714349653889251357e+01 -1.027667494729624265e+00
-6.061980276994505670e-13 2.189907501237003906e-09 -2.190513699264703497e-09 3.613528251779049697e+03 -1.000276814444152063e+00
2.071009717535567680e-10 5.226045367017525456e-10 -3.155035649481958035e-10 -1.523428703770808523e+00 -6.037137888993334700e-01
7.932316545130758828e-10 1.003646351428380232e-07 -9.957140348832494118e-08 -1.255262607358334748e+02 -9.920965023846879394e-01
4.934104617171754979e-10 3.738348037533421421e-08 -3.689006991361703623e-08 -7.476547981011911759e+01 -9.868013770584417310e-01
7.480987540808805037e-10 1.001457647007395011e-08 -9.266477715993069091e-09 -1.238670384818101944e+01 -9.252990122631359338e-01
6.432603244535268608e-10 2.638635974047375233e-09 -1.995375649593848166e-09 -3.101972208979300483e+00 -7.562148281231696467e-01
-1.013339224233582006e-10 6.013286382182261510e-10 -7.026625606415844033e-10 6.934129695542265992e+00 -1.168516707808257671e+00
3.353162618682934715e-10 1.058626808590166804e-07 -1.055273645971483805e-07 -3.147099517606985160e+02 -9.968325357042973067e-01
4.414665288075374389e-10 3.910285770828689931e-08 -3.866139117947935981e-08 -8.757490920978575843e+01 -9.887101210837083709e-01
-1.932452923128313336e-10 1.049655482472108669e-08 -1.068980011703391784e-08 5.531726019865438815e+01 -1.018410354210479429e+00
-1.633424719608339354e-10 2.778464400619587328e-09 -2.941806872580421471e-09 1.801005480856077767e+01 -1.058788758252367623e+00
-1.312878356660587447e-10 6.182108946296531806e-10 -7.494987302957119770e-10 5.708820824818246820e+00 -1.212367392432817548e+00
5.243143576250069932e-10 1.136035372985596097e-07 -1.130792229409345972e-07 -2.156706588260350088e+02 -9.953847004231296536e-01
4.848811860811812985e-10 4.127531324715908668e-08 -4.079043206107790672e-08 -8.412459223412426468e+01 -9.882525134775432818e-01
-3.759829428745306495e-11 1.160119155288213032e-08 -1.163878984716958403e-08 3.095563260978455560e+02 -1.003240899360730909e+00
2.974464036561868337e-10 2.805562276389310926e-09 -2.508115872733124092e-09 -8.432160691484479997e+00 -8.939797536631434172e-01
-2.458381650188194397e-10 3.116815420722760191e-10 -5.575197070910954070e-10 2.267832201922008739e+00 -1.788747910396990548e+00
5.632866116741176282e-10 1.444046619254748052e-07 -1.438413753138006743e-07 -2.553608985775402971e+02 -9.960992491228237711e-01
3.552798407750990445e-10 5.072950829962484917e-08 -5.037422845884974977e-08 -1.417874663221825813e+02 -9.929965841837712359e-01
-2.078952733090685192e-10 1.427664669797407513e-08 -1.448454197128314448e-08 6.967230058063719866e+01 -1.014561912030685020e+00
-1.442956260428126750e-10 3.085221307934884526e-09 -3.229516933977697330e-09 2.238125314359491469e+01 -1.046769943430540417e+00
-2.648102702146158892e-10 2.737103483188827254e-10 -5.385206185334986147e-10 2.033609263330510952e+00 -1.967483589279942269e+00
7.259947424319820492e-10 1.551891540751195440e-07 -1.544631593326875616e-07 -2.127607134113083589e+02 -9.953218719003998904e-01
8.868885298187272894e-10 5.390957620561144593e-08 -5.302268767579271730e-08 -5.978506418008373657e+01 -9.835485902089801113e-01
2.886404154093102008e-10 1.509689993720771452e-08 -1.480825952179840380e-08 -5.130348603746070779e+01 -9.808808154912698196e-01
-1.314381489561711098e-10 3.101920105877489664e-09 -3.233358254833660877e-09 2.459984624336002312e+01 -1.042373157421792929e+00
-7.308511046704866833e-10 2.739791539120314451e-10 -1.004830258582518128e-09 1.374876841755008794e+00 -3.667542746354879757e+00
5.281775264915396830e-10 1.923269768780994336e-07 -1.917987993516078973e-07 -3.631332075517228759e+02 -9.972537522553255318e-01
-5.419666256695689987e-10 6.423033030492470696e-08 -6.477229693059427709e-08 1.195134420880100947e+02 -1.008437861413706838e+00
3.018834755226183122e-10 1.700604957313667712e-08 -1.670416609761405731e-08 -5.533315816208865101e+01 -9.822484655107976970e-01
6.503704506129455257e-10 3.030663078850188370e-09 -2.380292628237242740e-09 -3.659902792314628783e+00 -7.854032488297275627e-01
5.795016297527579246e-11 6.156024593080160847e-10 -5.576522963327402923e-10 -9.622963382702831581e+00 -9.058643088586485481e-01
1.352349073539644995e-09 2.107102728281443437e-07 -2.093579237546047117e-07 -1.548105647062191395e+02 -9.935819499667080112e-01
5.619686650340384022e-10 6.858158775011876831e-08 -6.801961908508472815e-08 -1.210380993057055719e+02 -9.918058376384983887e-01
4.991054217839956411e-10 1.738551215953681357e-08 -1.688640673775281638e-08 -3.383334662523655822e+01 -9.712918769833183141e-01
2.864546895915383006e-10 3.039191071568726253e-09 -2.752736381977188056e-09 -9.609674695507244735e+00 -9.057464032876090254e-01
-1.652498442680650529e-10 8.320059263115781459e-10 -9.972557705796431987e-10 6.034836371536389521e+00 -1.198616186546465290e+00
1.283787225956523034e-09 2.332283025526135983e-07 -2.319445153266570825e-07 -1.806720854025012386e+02 -9.944955770294349184e-01
5.194962200390622909e-10 7.236418354511803308e-08 -7.184468732507897172e-08 -1.382968432757350570e+02 -9.928210864188751206e-01
7.247182187875589696e-10 1.724110229251174222e-08 -1.651638407372418314e-08 -2.279007708865910331e+01 -9.579656679432658750e-01
-3.516667382857595751e-10 3.342862167545704791e-09 -3.694528905831464211e-09 1.050576726090410240e+01 -1.105199293497628465e+00
-4.030469475903973660e-10 1.016098136412020985e-09 -1.419145084002418455e-09 3.521041636679621778e+00 -1.396661437657597205e+00
