# data theory diff diff_frac diff_frac2
-1.889866310758144751e-10 3.771478129950271423e-08 -3.790376793057852824e-08 2.005632235190907977e+02 -1.005010943310926885e+00
-1.225654403117453744e-10 1.696046835223829506e-08 -1.708303379255003986e-08 1.393788799607729345e+02 -1.007226536305854347e+00
-5.190905464379474725e-10 4.770374016792215565e-09 -5.289464563230162728e-09 1.018986879943587986e+01 -1.108815481681455939e+00
3.668416608353331481e-10 1.040953398642493276e-09 -6.741117378071600760e-10 -1.837609545960902979e+00 -6.475906978028688199e-01
6.676827973921091955e-10 1.804782899671827611e-10 4.872045074249264344e-10 7.296945635380904793e-01 2.699518637468901083e+00
4.548721662157189054e-10 6.175218820410724269e-08 -6.129731603789152032e-08 -1.347572364074302129e+02 -9.926339101585801572e-01
4.132488493632760591e-10 2.603906581442104387e-08 -2.562581696505776858e-08 -6.201061903630564132e+01 -9.841296591702453078e-01
-2.152952783550507314e-10 7.077515065884800791e-09 -7.292810344239851161e-09 3.387352662798777914e+01 -1.030419614278579532e+00
-5.335946767176399797e-10 1.606087207890562014e-09 -2.139681884608201994e-09 4.009938588162580864e+00 -1.332232692033245236e+00
-6.226714681408482057e-10 3.144295230276849429e-10 -9.371009911685330969e-10 1.504968573502328821e+00 -2.980321256557143084e+00
8.031198942505501301e-10 6.983080082398220376e-08 -6.902768092973165084e-08 -8.594940982522469142e+01 -9.884990593724548580e-01
1.375952790858379807e-09 2.883891447716370908e-08 -2.746296168630532865e-08 -1.995923251783422359e+01 -9.522883293007461392e-01
5.651602840720748566e-10 7.831475075575098572e-09 -7.266314791503023509e-09 -1.285708673501967247e+01 -9.278347592735494143e-01
-2.374520260922235148e-10 1.765078822469720171e-09 -2.002530848561943582e-09 8.433412346560414719e+00 -1.134527718008636832e+00
-8.374678107506620310e-10 3.234395381430270773e-10 -1.160907348893689212e-09 1.386211307456835851e+00 -3.589256142148979922e+00
6.572999554875109925e-10 7.795606774422815303e-08 -7.729876778874064079e-08 -1.176004457986143166e+02 -9.915683284892704563e-01
1.227491330369275912e-10 3.166336504639250167e-08 -3.154061591335557146e-08 -2.569518426160041145e+02 -9.961233073977739938e-01
4.490879128365858179e-11 8.555912323067788388e-09 -8.511003531784129199e-09 -1.895175374021058303e+02 -9.947511393773192934e-01
4.698350655961977071e-10 1.919979232570395826e-09 -1.450144166974198015e-09 -3.086496247643917279e+00 -7.552915898120416971e-01
5.607438834933431508e-10 3.524438832916077123e-10 2.083000002017354386e-10 3.714708378164739422e-01 5.910160739813168362e-01
1.384959292694439189e-09 8.046622948365739865e-08 -7.908127019096296112e-08 -5.710006828945152790e+01 -9.827883162715395082e-01
9.691182099942607598e-10 3.251099820623194086e-08 -3.154187999623767844e-08 -3.254698928464513585e+01 -9.701910656865498916e-01
2.053444597321272276e-10 8.766478996639717105e-09 -8.561134536907589154e-09 -4.169157788856649915e+01 -9.765761761579718758e-01
-4.316390813605022176e-10 1.967078025312587403e-09 -2.398717106673089827e-09 5.557228736361100374e+00 -1.219431601495274187e+00
-1.747211379157624652e-09 3.618680425874858568e-10 -2.109079421745110612e-09 1.207111770736035261e+00 -5.828310802646287314e+00
8.317422204797886697e-10 1.137164602151726779e-07 -1.128847179946928927e-07 -1.357207981212924324e+02 -9.926858238560540837e-01
7.580061027865223463e-10 4.368037255824785446e-08 -4.292236645546133160e-08 -5.662535736542688625e+01 -9.826465284430502267e-01
2.844631494557852492e-10 1.166343140678307474e-08 -1.137896825732728943e-08 -4.000155478520407826e+01 -9.756106809793255730e-01
1.027189637038914156e-09 3.176924470908176984e-09 -2.149734833869262621e-09 -2.092831504868289283e+00 -6.766716846921844164e-01
8.384874061714122242e-10 8.112673734965660691e-10 2.722003267484615512e-11 3.246325761663444026e-02 3.355248043259485835e-02
4.714240855035933585e-10 1.348411877662012544e-07 -1.343697636806976649e-07 -2.850294836700138035e+02 -9.965038569200310725e-01
1.701078596139051774e-10 5.030161753917645655e-08 -5.013150967956255021e-08 -2.947042528978163318e+02 -9.966182427536963706e-01
-2.352330452311193215e-10 1.379237193853852154e-08 -1.402760498376964081e-08 5.963279933730122195e+01 -1.017055300297828646e+00
-6.061980276994505670e-13 3.815773929963820235e-09 -3.816380127991519413e-09 6.295599710996846625e+03 -1.000158866337163888e+00
2.071009717535567680e-10 7.715667524939973705e-10 -5.644657807404406283e-10 -2.725558339784788675e+00 -7.315838570232224836e-01
7.932316545130758828e-10 1.554496909465400943e-07 -1.546564592920270256e-07 -1.949701054062985861e+02 -9.948971808841623465e-01
4.934104617171754979e-10 5.681596262188945754e-08 -5.632255216017227956e-08 -1.141494891781531607e+02 -9.913156366811766151e-01
