# data theory diff diff_frac
-1.223751890611969187e-10 1.766802634939917934e-09 -1.889177824001114905e-09 1.543758860349038642e+01
-3.844160029037763043e-10 3.053106372571334544e-09 -3.437522375475110900e-09 8.942193741959181708e+00
-3.987478334725143385e-10 3.208376881359439280e-09 -3.607124714831953567e-09 9.046129939864846037e+00
-1.847084910398366460e-10 2.415825581497395926e-09 -2.600534072537232650e-09 1.407912575051228998e+01
-7.554481973658228739e-11 1.424412857803125719e-09 -1.499957677539708084e-09 1.985520228613848204e+01
2.432920031015911630e-10 3.184349585337281429e-09 -2.941057582235690266e-09 -1.208859125964611358e+01
3.016535445510622607e-10 5.409961588150896936e-09 -5.108308043599834675e-09 -1.693435444692786618e+01
3.966344817317361189e-10 5.557880447568482717e-09 -5.161245965836746391e-09 -1.301260027444501688e+01
3.845865521925598789e-10 4.077175516608516554e-09 -3.692588964415956520e-09 -9.601451073533903369e+00
2.559522092791161302e-10 2.341561798818081826e-09 -2.085609589538965748e-09 -8.148433629125687361e+00
1.143328895332927644e-10 3.978300554035623102e-09 -3.863967664502330182e-09 -3.379576673234673478e+01
2.297124845314896128e-10 6.679510206051768636e-09 -6.449797721520278946e-09 -2.807769779981689595e+01
5.507183821619248917e-10 6.758821294624916308e-09 -6.208102912462991106e-09 -1.127273596369197328e+01
9.207533493957056672e-10 4.876719948508337419e-09 -3.955966599112632166e-09 -4.296445515738769316e+00
1.019227766774279538e-09 2.758475388634717006e-09 -1.739247621860437468e-09 -1.706436655827112236e+00
1.689250290239560018e-10 4.875297344558314886e-09 -4.706372315534358910e-09 -2.786071633509636669e+01
2.585656158284657158e-10 8.097549426107114914e-09 -7.838983810278648578e-09 -3.031719351067578572e+01
4.063660238169919185e-10 8.080444528588231805e-09 -7.674078504771240610e-09 -1.888464599645585551e+01
4.159879621584125085e-10 5.742299649745646722e-09 -5.326311687587234369e-09 -1.280400437539324798e+01
3.205652640513668472e-10 3.203089361740820616e-09 -2.882524097689453924e-09 -8.992003878584808874e+00
2.042070151772417225e-10 5.270784921092757978e-09 -5.066577905915516230e-09 -2.481098850359266095e+01
3.693692769340349337e-10 8.703955365089701254e-09 -8.334586088155665597e-09 -2.256437286104909745e+01
5.788546665938469869e-10 8.623074030045576457e-09 -8.044219363451728953e-09 -1.389678589063867875e+01
9.019672089934667974e-10 6.081987210482531038e-09 -5.180020001489064551e-09 -5.743024746176315531e+00
1.058103635684731691e-09 3.371245071119152700e-09 -2.313141435434420802e-09 -2.186119920037431275e+00
5.813869431833552791e-10 6.882965642744244763e-09 -6.301578699560889174e-09 -1.083887206867238717e+01
6.399253854988849307e-10 1.144303453511092820e-08 -1.080310914961204409e-08 -1.688182621664548577e+01
6.588788168647590581e-10 1.141352661932252069e-08 -1.075464780245776163e-08 -1.632264921436266647e+01
7.047942036513303181e-10 8.084741307903515064e-09 -7.379947104252185056e-09 -1.047106668303862520e+01
