# data theory diff diff_frac
-1.223751890611969187e-10 6.092958673329988787e-11 -1.833047757944967936e-10 1.497891665792078442e+00
-3.844160029037763043e-10 7.051383469498306329e-11 -4.549298375987593676e-10 1.183431059483320835e+00
-3.987478334725143385e-10 4.844529263562959778e-11 -4.471931261081439299e-10 1.121493557002533281e+00
-1.847084910398366460e-10 2.922845860783438353e-11 -2.139369496476710230e-10 1.158241012328613539e+00
-7.554481973658228739e-11 1.904876336099633552e-11 -9.459358309757861968e-11 1.252151814345676906e+00
2.432920031015911630e-10 7.397798147426975929e-11 1.693140216273213908e-10 6.959292515530036694e-01
3.016535445510622607e-10 8.418766392380165137e-11 2.174658806272605964e-10 7.209127310302471114e-01
3.966344817317361189e-10 5.510032905128171313e-11 3.415341526804544122e-10 8.610803357017536852e-01
3.845865521925598789e-10 3.369166009072245928e-11 3.508948921018374326e-10 9.123951165254128304e-01
2.559522092791161302e-10 2.480995496889714562e-11 2.311422543102189782e-10 9.030680178976620009e-01
1.143328895332927644e-10 6.659197489901791592e-11 4.774091463427484847e-11 4.175606409420195564e-01
2.297124845314896128e-10 7.543160227892218664e-11 1.542808822525674391e-10 6.716260222740231267e-01
5.507183821619248917e-10 4.676365449623262684e-11 5.039547276656922584e-10 9.150860839025291016e-01
9.207533493957056672e-10 2.771388213236711112e-11 8.930394672633385657e-10 9.699008619946309917e-01
1.019227766774279538e-09 2.254403255550512313e-11 9.966837342187743440e-10 9.778812613917946539e-01
1.689250290239560018e-10 6.354732026882776046e-11 1.053777087551282413e-10 6.238134713606244830e-01
2.585656158284657158e-10 7.161199374573256334e-11 1.869536220827331524e-10 7.230413119073013650e-01
4.063660238169919185e-10 4.221255603974176746e-11 3.641534677772501769e-10 8.961218370491714769e-01
4.159879621584125085e-10 2.409054709969663809e-11 3.918974150587158898e-10 9.420883552141764428e-01
3.205652640513668472e-10 2.139181234252234305e-11 2.991734517088444848e-10 9.332684643614581610e-01
2.042070151772417225e-10 6.450441415112323430e-11 1.397026010261184753e-10 6.841224377373296139e-01
3.693692769340349337e-10 7.254082202274220510e-11 2.968284549112927286e-10 8.036089448887836495e-01
5.788546665938469869e-10 4.213176587991654180e-11 5.367229007139304645e-10 9.272152954595108687e-01
9.019672089934667974e-10 2.340571211749183552e-11 8.785614968759749619e-10 9.740503735788677009e-01
1.058103635684731691e-09 2.109277075166165078e-11 1.037010864933070073e-09 9.800654963839985356e-01
5.813869431833552791e-10 2.810479009009875904e-10 3.003390422823676887e-10 5.165906214506232885e-01
6.399253854988849307e-10 3.151453241685521707e-10 3.247800613303327600e-10 5.075280160625831316e-01
6.588788168647590581e-10 2.345957868664893533e-10 4.242830299982697048e-10 6.439469886392745757e-01
7.047942036513303181e-10 1.672125231374976573e-10 5.375816805138326609e-10 7.627498604965547990e-01
6.385909446357404041e-10 1.067825955398237390e-10 5.318083490959166522e-10 8.327840436247748723e-01
4.037284440388027498e-10 3.385786046269667450e-10 6.514983941183600486e-11 1.613704468283002347e-01
3.567957787563106508e-10 3.793432848686259425e-10 -2.254750611231529164e-11 -6.319443069340542618e-02
2.209600246600226293e-10 2.856965058341344597e-10 -6.473648117411183047e-11 -2.929782492272881012e-01
2.864821594032062829e-10 2.065775706540686468e-10 7.990458874913763614e-11 2.789164564927645862e-01
